+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| url     | Number | Number_ | Start_o | End_of_ | Image   | Image_a | Image_l | Name    | Name_li |
|         |        |         |         |         | y-page1 |         |         |         |         |
|         |        |         |         |         | -165px- |         |         |         |         |
|         |        |         |         |         | JKP.tif |         |         |         |         |
|         |        |         |         |         | .jpg    |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ |        |         | March   | July 9, | https:/ | Zachary | https:/ | Zachary | https:/ |
| /en.wik |        |         | 4, 1849 | 1850    | /upload | Taylor  | /en.wik | Taylor  | /en.wik |
| ipedia. |        |         |         |         | .wikime | restore | ipedia. |         | ipedia. |
| org/wik |        |         |         |         | dia.org | d and c | org/wik |         | org/wik |
| i/List_ |        |         |         |         | /wikipe | ropped. | i/File: |         | i/Zacha |
| of_Pres |        |         |         |         | dia/com | png     | Zachary |         | ry_Tayl |
| idents_ |        |         |         |         | mons/th |         | _Taylor |         | or      |
| of_the_ |        |         |         |         | umb/a/a |         | _restor |         |         |
| United_ |        |         |         |         | 6/Zacha |         | ed_and_ |         |         |
| States  |        |         |         |         | ry_Tayl |         | cropped |         |         |
|         |        |         |         |         | or_rest |         | .png    |         |         |
|         |        |         |         |         | ored_an |         |         |         |         |
|         |        |         |         |         | d_cropp |         |         |         |         |
|         |        |         |         |         | ed.png/ |         |         |         |         |
|         |        |         |         |         | 165px-Z |         |         |         |         |
|         |        |         |         |         | achary_ |         |         |         |         |
|         |        |         |         |         | Taylor_ |         |         |         |         |
|         |        |         |         |         | restore |         |         |         |         |
|         |        |         |         |         | d_and_c |         |         |         |         |
|         |        |         |         |         | ropped. |         |         |         |         |
|         |        |         |         |         | png     |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 13     | https:/ | July 9, | March   | https:/ | Millard | https:/ | Millard | https:/ |
| /en.wik |        | /en.wik | 1850    | 4, 1853 | /upload | Fillmor | /en.wik | Fillmor | /en.wik |
| ipedia. |        | ipedia. |  [m]    |         | .wikime | e by    | ipedia. | e       | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | Brady   | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | Studio  | i/File: |         | i/Milla |
| of_Pres |        | dency_o |         |         | dia/com | 1855-65 | Millard |         | rd_Fill |
| idents_ |        | f_Milla |         |         | mons/th | -crop.j | _Fillmo |         | more    |
| of_the_ |        | rd_Fill |         |         | umb/d/d | pg      | re_by_B |         |         |
| United_ |        | more    |         |         | d/Milla |         | rady_St |         |         |
| States  |        |         |         |         | rd_Fill |         | udio_18 |         |         |
|         |        |         |         |         | more_by |         | 55-65-c |         |         |
|         |        |         |         |         | _Brady_ |         | rop.jpg |         |         |
|         |        |         |         |         | Studio_ |         |         |         |         |
|         |        |         |         |         | 1855-65 |         |         |         |         |
|         |        |         |         |         | -crop.j |         |         |         |         |
|         |        |         |         |         | pg/165p |         |         |         |         |
|         |        |         |         |         | x-Milla |         |         |         |         |
|         |        |         |         |         | rd_Fill |         |         |         |         |
|         |        |         |         |         | more_by |         |         |         |         |
|         |        |         |         |         | _Brady_ |         |         |         |         |
|         |        |         |         |         | Studio_ |         |         |         |         |
|         |        |         |         |         | 1855-65 |         |         |         |         |
|         |        |         |         |         | -crop.j |         |         |         |         |
|         |        |         |         |         | pg      |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 14     | https:/ | March   | March   | https:/ | Frankli | https:/ | Frankli | https:/ |
| /en.wik |        | /en.wik | 4, 1853 | 4, 1857 | /upload | n       | /en.wik | n       | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | Pierce  | ipedia. | Pierce  | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | - Cropp | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | ed.jpg  | i/File: |         | i/Frank |
| of_Pres |        | dency_o |         |         | dia/com |         | Frankli |         | lin_Pie |
| idents_ |        | f_Frank |         |         | mons/th |         | n_Pierc |         | rce     |
| of_the_ |        | lin_Pie |         |         | umb/8/8 |         | e_-_Cro |         |         |
| United_ |        | rce     |         |         | 7/Frank |         | pped.jp |         |         |
| States  |        |         |         |         | lin_Pie |         | g       |         |         |
|         |        |         |         |         | rce_-_C |         |         |         |         |
|         |        |         |         |         | ropped. |         |         |         |         |
|         |        |         |         |         | jpg/165 |         |         |         |         |
|         |        |         |         |         | px-Fran |         |         |         |         |
|         |        |         |         |         | klin_Pi |         |         |         |         |
|         |        |         |         |         | erce_-_ |         |         |         |         |
|         |        |         |         |         | Cropped |         |         |         |         |
|         |        |         |         |         | .jpg    |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 14     | https:/ | March   | March   | https:/ | Frankli | https:/ | Frankli | https:/ |
| /en.wik |        | /en.wik | 4, 1853 | 4, 1857 | /upload | n       | /en.wik | n       | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | Pierce  | ipedia. | Pierce  | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | - Cropp | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | ed.jpg  | i/File: |         | i/Frank |
| of_Pres |        | dency_o |         |         | dia/com |         | Frankli |         | lin_Pie |
| idents_ |        | f_Frank |         |         | mons/th |         | n_Pierc |         | rce     |
| of_the_ |        | lin_Pie |         |         | umb/8/8 |         | e_-_Cro |         |         |
| United_ |        | rce     |         |         | 7/Frank |         | pped.jp |         |         |
| States  |        |         |         |         | lin_Pie |         | g       |         |         |
|         |        |         |         |         | rce_-_C |         |         |         |         |
|         |        |         |         |         | ropped. |         |         |         |         |
|         |        |         |         |         | jpg/165 |         |         |         |         |
|         |        |         |         |         | px-Fran |         |         |         |         |
|         |        |         |         |         | klin_Pi |         |         |         |         |
|         |        |         |         |         | erce_-_ |         |         |         |         |
|         |        |         |         |         | Cropped |         |         |         |         |
|         |        |         |         |         | .jpg    |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 15     | https:/ | March   | March   | https:/ | James B | https:/ | James B | https:/ |
| /en.wik |        | /en.wik | 4, 1857 | 4, 1861 | /upload | uchanan | /en.wik | uchanan | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | .jpg    | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org |         | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe |         | i/File: |         | i/James |
| of_Pres |        | dency_o |         |         | dia/com |         | James_B |         | _Buchan |
| idents_ |        | f_James |         |         | mons/th |         | uchanan |         | an      |
| of_the_ |        | _Buchan |         |         | umb/f/f |         | .jpg    |         |         |
| United_ |        | an      |         |         | d/James |         |         |         |         |
| States  |        |         |         |         | _Buchan |         |         |         |         |
|         |        |         |         |         | an.jpg/ |         |         |         |         |
|         |        |         |         |         | 165px-J |         |         |         |         |
|         |        |         |         |         | ames_Bu |         |         |         |         |
|         |        |         |         |         | chanan. |         |         |         |         |
|         |        |         |         |         | jpg     |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 16     | https:/ | March   | April   | https:/ | Abraham | https:/ | Abraham | https:/ |
| /en.wik |        | /en.wik | 4, 1861 | 15,     | /upload | Lincoln | /en.wik | Lincoln | /en.wik |
| ipedia. |        | ipedia. |         | 1865    | .wikime | O-77    | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | matte c | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | ollodio | i/File: |         | i/Abrah |
| of_Pres |        | dency_o |         |         | dia/com | n print | Abraham |         | am_Linc |
| idents_ |        | f_Abrah |         |         | mons/th | .jpg    | _Lincol |         | oln     |
| of_the_ |        | am_Linc |         |         | umb/a/a |         | n_O-77_ |         |         |
| United_ |        | oln     |         |         | b/Abrah |         | matte_c |         |         |
| States  |        |         |         |         | am_Linc |         | ollodio |         |         |
|         |        |         |         |         | oln_O-7 |         | n_print |         |         |
|         |        |         |         |         | 7_matte |         | .jpg    |         |         |
|         |        |         |         |         | _collod |         |         |         |         |
|         |        |         |         |         | ion_pri |         |         |         |         |
|         |        |         |         |         | nt.jpg/ |         |         |         |         |
|         |        |         |         |         | 165px-A |         |         |         |         |
|         |        |         |         |         | braham_ |         |         |         |         |
|         |        |         |         |         | Lincoln |         |         |         |         |
|         |        |         |         |         | _O-77_m |         |         |         |         |
|         |        |         |         |         | atte_co |         |         |         |         |
|         |        |         |         |         | llodion |         |         |         |         |
|         |        |         |         |         | _print. |         |         |         |         |
|         |        |         |         |         | jpg     |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 16     | https:/ | March   | April   | https:/ | Abraham | https:/ | Abraham | https:/ |
| /en.wik |        | /en.wik | 4, 1861 | 15,     | /upload | Lincoln | /en.wik | Lincoln | /en.wik |
| ipedia. |        | ipedia. |         | 1865    | .wikime | O-77    | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | matte c | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | ollodio | i/File: |         | i/Abrah |
| of_Pres |        | dency_o |         |         | dia/com | n print | Abraham |         | am_Linc |
| idents_ |        | f_Abrah |         |         | mons/th | .jpg    | _Lincol |         | oln     |
| of_the_ |        | am_Linc |         |         | umb/a/a |         | n_O-77_ |         |         |
| United_ |        | oln     |         |         | b/Abrah |         | matte_c |         |         |
| States  |        |         |         |         | am_Linc |         | ollodio |         |         |
|         |        |         |         |         | oln_O-7 |         | n_print |         |         |
|         |        |         |         |         | 7_matte |         | .jpg    |         |         |
|         |        |         |         |         | _collod |         |         |         |         |
|         |        |         |         |         | ion_pri |         |         |         |         |
|         |        |         |         |         | nt.jpg/ |         |         |         |         |
|         |        |         |         |         | 165px-A |         |         |         |         |
|         |        |         |         |         | braham_ |         |         |         |         |
|         |        |         |         |         | Lincoln |         |         |         |         |
|         |        |         |         |         | _O-77_m |         |         |         |         |
|         |        |         |         |         | atte_co |         |         |         |         |
|         |        |         |         |         | llodion |         |         |         |         |
|         |        |         |         |         | _print. |         |         |         |         |
|         |        |         |         |         | jpg     |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 17     | https:/ | April   | March   | https:/ | Andrew  | https:/ | Andrew  | https:/ |
| /en.wik |        | /en.wik | 15,     | 4, 1869 | /upload | Johnson | /en.wik | Johnson | /en.wik |
| ipedia. |        | ipedia. | 1865    |         | .wikime | photo p | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | ortrait | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | head    | i/File: |         | i/Andre |
| of_Pres |        | dency_o |         |         | dia/com | and sho | Andrew_ |         | w_Johns |
| idents_ |        | f_Andre |         |         | mons/th | ulders, | Johnson |         | on      |
| of_the_ |        | w_Johns |         |         | umb/e/e | c1870-1 | _photo_ |         |         |
| United_ |        | on      |         |         | 6/Andre | 880-Edi | portrai |         |         |
| States  |        |         |         |         | w_Johns | t1.jpg  | t_head_ |         |         |
|         |        |         |         |         | on_phot |         | and_sho |         |         |
|         |        |         |         |         | o_portr |         | ulders, |         |         |
|         |        |         |         |         | ait_hea |         | _c1870- |         |         |
|         |        |         |         |         | d_and_s |         | 1880-Ed |         |         |
|         |        |         |         |         | houlder |         | it1.jpg |         |         |
|         |        |         |         |         | s%2C_c1 |         |         |         |         |
|         |        |         |         |         | 870-188 |         |         |         |         |
|         |        |         |         |         | 0-Edit1 |         |         |         |         |
|         |        |         |         |         | .jpg/16 |         |         |         |         |
|         |        |         |         |         | 5px-And |         |         |         |         |
|         |        |         |         |         | rew_Joh |         |         |         |         |
|         |        |         |         |         | nson_ph |         |         |         |         |
|         |        |         |         |         | oto_por |         |         |         |         |
|         |        |         |         |         | trait_h |         |         |         |         |
|         |        |         |         |         | ead_and |         |         |         |         |
|         |        |         |         |         | _should |         |         |         |         |
|         |        |         |         |         | ers%2C_ |         |         |         |         |
|         |        |         |         |         | c1870-1 |         |         |         |         |
|         |        |         |         |         | 880-Edi |         |         |         |         |
|         |        |         |         |         | t1.jpg  |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 17     | https:/ | April   | March   | https:/ | Andrew  | https:/ | Andrew  | https:/ |
| /en.wik |        | /en.wik | 15,     | 4, 1869 | /upload | Johnson | /en.wik | Johnson | /en.wik |
| ipedia. |        | ipedia. | 1865    |         | .wikime | photo p | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | ortrait | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | head    | i/File: |         | i/Andre |
| of_Pres |        | dency_o |         |         | dia/com | and sho | Andrew_ |         | w_Johns |
| idents_ |        | f_Andre |         |         | mons/th | ulders, | Johnson |         | on      |
| of_the_ |        | w_Johns |         |         | umb/e/e | c1870-1 | _photo_ |         |         |
| United_ |        | on      |         |         | 6/Andre | 880-Edi | portrai |         |         |
| States  |        |         |         |         | w_Johns | t1.jpg  | t_head_ |         |         |
|         |        |         |         |         | on_phot |         | and_sho |         |         |
|         |        |         |         |         | o_portr |         | ulders, |         |         |
|         |        |         |         |         | ait_hea |         | _c1870- |         |         |
|         |        |         |         |         | d_and_s |         | 1880-Ed |         |         |
|         |        |         |         |         | houlder |         | it1.jpg |         |         |
|         |        |         |         |         | s%2C_c1 |         |         |         |         |
|         |        |         |         |         | 870-188 |         |         |         |         |
|         |        |         |         |         | 0-Edit1 |         |         |         |         |
|         |        |         |         |         | .jpg/16 |         |         |         |         |
|         |        |         |         |         | 5px-And |         |         |         |         |
|         |        |         |         |         | rew_Joh |         |         |         |         |
|         |        |         |         |         | nson_ph |         |         |         |         |
|         |        |         |         |         | oto_por |         |         |         |         |
|         |        |         |         |         | trait_h |         |         |         |         |
|         |        |         |         |         | ead_and |         |         |         |         |
|         |        |         |         |         | _should |         |         |         |         |
|         |        |         |         |         | ers%2C_ |         |         |         |         |
|         |        |         |         |         | c1870-1 |         |         |         |         |
|         |        |         |         |         | 880-Edi |         |         |         |         |
|         |        |         |         |         | t1.jpg  |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 18     | https:/ | March   | March   | https:/ | Ulysses | https:/ | Ulysses | https:/ |
| /en.wik |        | /en.wik | 4, 1869 | 4, 1877 | /upload | S Grant | /en.wik | S.      | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | by      | ipedia. | Grant   | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | Brady c | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | 1870-re | i/File: |         | i/Ulyss |
| of_Pres |        | dency_o |         |         | dia/com | stored. | Ulysses |         | es_S._G |
| idents_ |        | f_Ulyss |         |         | mons/th | jpg     | _S_Gran |         | rant    |
| of_the_ |        | es_S._G |         |         | umb/7/7 |         | t_by_Br |         |         |
| United_ |        | rant    |         |         | 5/Ulyss |         | ady_c18 |         |         |
| States  |        |         |         |         | es_S_Gr |         | 70-rest |         |         |
|         |        |         |         |         | ant_by_ |         | ored.jp |         |         |
|         |        |         |         |         | Brady_c |         | g       |         |         |
|         |        |         |         |         | 1870-re |         |         |         |         |
|         |        |         |         |         | stored. |         |         |         |         |
|         |        |         |         |         | jpg/165 |         |         |         |         |
|         |        |         |         |         | px-Ulys |         |         |         |         |
|         |        |         |         |         | ses_S_G |         |         |         |         |
|         |        |         |         |         | rant_by |         |         |         |         |
|         |        |         |         |         | _Brady_ |         |         |         |         |
|         |        |         |         |         | c1870-r |         |         |         |         |
|         |        |         |         |         | estored |         |         |         |         |
|         |        |         |         |         | .jpg    |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 18     | https:/ | March   | March   | https:/ | Ulysses | https:/ | Ulysses | https:/ |
| /en.wik |        | /en.wik | 4, 1869 | 4, 1877 | /upload | S Grant | /en.wik | S.      | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | by      | ipedia. | Grant   | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | Brady c | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | 1870-re | i/File: |         | i/Ulyss |
| of_Pres |        | dency_o |         |         | dia/com | stored. | Ulysses |         | es_S._G |
| idents_ |        | f_Ulyss |         |         | mons/th | jpg     | _S_Gran |         | rant    |
| of_the_ |        | es_S._G |         |         | umb/7/7 |         | t_by_Br |         |         |
| United_ |        | rant    |         |         | 5/Ulyss |         | ady_c18 |         |         |
| States  |        |         |         |         | es_S_Gr |         | 70-rest |         |         |
|         |        |         |         |         | ant_by_ |         | ored.jp |         |         |
|         |        |         |         |         | Brady_c |         | g       |         |         |
|         |        |         |         |         | 1870-re |         |         |         |         |
|         |        |         |         |         | stored. |         |         |         |         |
|         |        |         |         |         | jpg/165 |         |         |         |         |
|         |        |         |         |         | px-Ulys |         |         |         |         |
|         |        |         |         |         | ses_S_G |         |         |         |         |
|         |        |         |         |         | rant_by |         |         |         |         |
|         |        |         |         |         | _Brady_ |         |         |         |         |
|         |        |         |         |         | c1870-r |         |         |         |         |
|         |        |         |         |         | estored |         |         |         |         |
|         |        |         |         |         | .jpg    |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 18     | https:/ | March   | March   | https:/ | Ulysses | https:/ | Ulysses | https:/ |
| /en.wik |        | /en.wik | 4, 1869 | 4, 1877 | /upload | S Grant | /en.wik | S.      | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | by      | ipedia. | Grant   | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | Brady c | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | 1870-re | i/File: |         | i/Ulyss |
| of_Pres |        | dency_o |         |         | dia/com | stored. | Ulysses |         | es_S._G |
| idents_ |        | f_Ulyss |         |         | mons/th | jpg     | _S_Gran |         | rant    |
| of_the_ |        | es_S._G |         |         | umb/7/7 |         | t_by_Br |         |         |
| United_ |        | rant    |         |         | 5/Ulyss |         | ady_c18 |         |         |
| States  |        |         |         |         | es_S_Gr |         | 70-rest |         |         |
|         |        |         |         |         | ant_by_ |         | ored.jp |         |         |
|         |        |         |         |         | Brady_c |         | g       |         |         |
|         |        |         |         |         | 1870-re |         |         |         |         |
|         |        |         |         |         | stored. |         |         |         |         |
|         |        |         |         |         | jpg/165 |         |         |         |         |
|         |        |         |         |         | px-Ulys |         |         |         |         |
|         |        |         |         |         | ses_S_G |         |         |         |         |
|         |        |         |         |         | rant_by |         |         |         |         |
|         |        |         |         |         | _Brady_ |         |         |         |         |
|         |        |         |         |         | c1870-r |         |         |         |         |
|         |        |         |         |         | estored |         |         |         |         |
|         |        |         |         |         | .jpg    |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 19     | https:/ | March   | March   | https:/ | Preside | https:/ | Rutherf | https:/ |
| /en.wik |        | /en.wik | 4, 1877 | 4, 1881 | /upload | nt Ruth | /en.wik | ord B.  | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | erford  | ipedia. | Hayes   | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | Hayes   | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | 1870 -  | i/File: |         | i/Ruthe |
| of_Pres |        | dency_o |         |         | dia/com | 1880 Re | Preside |         | rford_B |
| idents_ |        | f_Ruthe |         |         | mons/th | stored. | nt_Ruth |         | ._Hayes |
| of_the_ |        | rford_B |         |         | umb/5/5 | jpg     | erford_ |         |         |
| United_ |        | ._Hayes |         |         | 0/Presi |         | Hayes_1 |         |         |
| States  |        |         |         |         | dent_Ru |         | 870_-_1 |         |         |
|         |        |         |         |         | therfor |         | 880_Res |         |         |
|         |        |         |         |         | d_Hayes |         | tored.j |         |         |
|         |        |         |         |         | _1870_- |         | pg      |         |         |
|         |        |         |         |         | _1880_R |         |         |         |         |
|         |        |         |         |         | estored |         |         |         |         |
|         |        |         |         |         | .jpg/16 |         |         |         |         |
|         |        |         |         |         | 5px-Pre |         |         |         |         |
|         |        |         |         |         | sident_ |         |         |         |         |
|         |        |         |         |         | Rutherf |         |         |         |         |
|         |        |         |         |         | ord_Hay |         |         |         |         |
|         |        |         |         |         | es_1870 |         |         |         |         |
|         |        |         |         |         | _-_1880 |         |         |         |         |
|         |        |         |         |         | _Restor |         |         |         |         |
|         |        |         |         |         | ed.jpg  |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ |        |         | March   | Septemb | https:/ | James   | https:/ | James   | https:/ |
| /en.wik |        |         | 4, 1881 | er 19,  | /upload | Abram G | /en.wik | A. Garf | /en.wik |
| ipedia. |        |         |         | 1881    | .wikime | arfield | ipedia. | ield    | ipedia. |
| org/wik |        |         |         |         | dia.org | , photo | org/wik |         | org/wik |
| i/List_ |        |         |         |         | /wikipe | portrai | i/File: |         | i/James |
| of_Pres |        |         |         |         | dia/com | t seate | James_A |         | _A._Gar |
| idents_ |        |         |         |         | mons/th | d.jpg   | bram_Ga |         | field   |
| of_the_ |        |         |         |         | umb/1/1 |         | rfield, |         |         |
| United_ |        |         |         |         | f/James |         | _photo_ |         |         |
| States  |        |         |         |         | _Abram_ |         | portrai |         |         |
|         |        |         |         |         | Garfiel |         | t_seate |         |         |
|         |        |         |         |         | d%2C_ph |         | d.jpg   |         |         |
|         |        |         |         |         | oto_por |         |         |         |         |
|         |        |         |         |         | trait_s |         |         |         |         |
|         |        |         |         |         | eated.j |         |         |         |         |
|         |        |         |         |         | pg/165p |         |         |         |         |
|         |        |         |         |         | x-James |         |         |         |         |
|         |        |         |         |         | _Abram_ |         |         |         |         |
|         |        |         |         |         | Garfiel |         |         |         |         |
|         |        |         |         |         | d%2C_ph |         |         |         |         |
|         |        |         |         |         | oto_por |         |         |         |         |
|         |        |         |         |         | trait_s |         |         |         |         |
|         |        |         |         |         | eated.j |         |         |         |         |
|         |        |         |         |         | pg      |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 21     | https:/ | Septemb | March   | https:/ | Chester | https:/ | Chester | https:/ |
| /en.wik |        | /en.wik | er 19,  | 4, 1885 | /upload | Alan Ar | /en.wik | A.      | /en.wik |
| ipedia. |        | ipedia. | 1881    |         | .wikime | thur.jp | ipedia. | Arthur  | ipedia. |
| org/wik |        | org/wik |  [p]    |         | dia.org | g       | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe |         | i/File: |         | i/Chest |
| of_Pres |        | dency_o |         |         | dia/com |         | Chester |         | er_A._A |
| idents_ |        | f_Chest |         |         | mons/th |         | _Alan_A |         | rthur   |
| of_the_ |        | er_A._A |         |         | umb/7/7 |         | rthur.j |         |         |
| United_ |        | rthur   |         |         | 9/Chest |         | pg      |         |         |
| States  |        |         |         |         | er_Alan |         |         |         |         |
|         |        |         |         |         | _Arthur |         |         |         |         |
|         |        |         |         |         | .jpg/16 |         |         |         |         |
|         |        |         |         |         | 5px-Che |         |         |         |         |
|         |        |         |         |         | ster_Al |         |         |         |         |
|         |        |         |         |         | an_Arth |         |         |         |         |
|         |        |         |         |         | ur.jpg  |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 22     | https:/ | March   | March   | https:/ | Grover  | https:/ | Grover  | https:/ |
| /en.wik |        | /en.wik | 4, 1885 | 4, 1889 | /upload | Clevela | /en.wik | Clevela | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | nd -    | ipedia. | nd      | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | NARA -  | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | 518139  | i/File: |         | i/Grove |
| of_Pres |        | dencies |         |         | dia/com | (croppe | Grover_ |         | r_Cleve |
| idents_ |        | _of_Gro |         |         | mons/th | d).jpg  | Clevela |         | land    |
| of_the_ |        | ver_Cle |         |         | umb/f/f |         | nd_-_NA |         |         |
| United_ |        | veland  |         |         | 3/Grove |         | RA_-_51 |         |         |
| States  |        |         |         |         | r_Cleve |         | 8139_(c |         |         |
|         |        |         |         |         | land_-_ |         | ropped) |         |         |
|         |        |         |         |         | NARA_-_ |         | .jpg    |         |         |
|         |        |         |         |         | 518139_ |         |         |         |         |
|         |        |         |         |         | %28crop |         |         |         |         |
|         |        |         |         |         | ped%29. |         |         |         |         |
|         |        |         |         |         | jpg/165 |         |         |         |         |
|         |        |         |         |         | px-Grov |         |         |         |         |
|         |        |         |         |         | er_Clev |         |         |         |         |
|         |        |         |         |         | eland_- |         |         |         |         |
|         |        |         |         |         | _NARA_- |         |         |         |         |
|         |        |         |         |         | _518139 |         |         |         |         |
|         |        |         |         |         | _%28cro |         |         |         |         |
|         |        |         |         |         | pped%29 |         |         |         |         |
|         |        |         |         |         | .jpg    |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 22     | https:/ | March   | March   | https:/ | Grover  | https:/ | Grover  | https:/ |
| /en.wik |        | /en.wik | 4, 1885 | 4, 1889 | /upload | Clevela | /en.wik | Clevela | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | nd -    | ipedia. | nd      | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | NARA -  | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | 518139  | i/File: |         | i/Grove |
| of_Pres |        | dencies |         |         | dia/com | (croppe | Grover_ |         | r_Cleve |
| idents_ |        | _of_Gro |         |         | mons/th | d).jpg  | Clevela |         | land    |
| of_the_ |        | ver_Cle |         |         | umb/f/f |         | nd_-_NA |         |         |
| United_ |        | veland  |         |         | 3/Grove |         | RA_-_51 |         |         |
| States  |        |         |         |         | r_Cleve |         | 8139_(c |         |         |
|         |        |         |         |         | land_-_ |         | ropped) |         |         |
|         |        |         |         |         | NARA_-_ |         | .jpg    |         |         |
|         |        |         |         |         | 518139_ |         |         |         |         |
|         |        |         |         |         | %28crop |         |         |         |         |
|         |        |         |         |         | ped%29. |         |         |         |         |
|         |        |         |         |         | jpg/165 |         |         |         |         |
|         |        |         |         |         | px-Grov |         |         |         |         |
|         |        |         |         |         | er_Clev |         |         |         |         |
|         |        |         |         |         | eland_- |         |         |         |         |
|         |        |         |         |         | _NARA_- |         |         |         |         |
|         |        |         |         |         | _518139 |         |         |         |         |
|         |        |         |         |         | _%28cro |         |         |         |         |
|         |        |         |         |         | pped%29 |         |         |         |         |
|         |        |         |         |         | .jpg    |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 23     | https:/ | March   | March   | https:/ | Benjami | https:/ | Benjami | https:/ |
| /en.wik |        | /en.wik | 4, 1889 | 4, 1893 | /upload | n Harri | /en.wik | n Harri | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | son,    | ipedia. | son     | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | head    | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | and sho | i/File: |         | i/Benja |
| of_Pres |        | dency_o |         |         | dia/com | ulders  | Benjami |         | min_Har |
| idents_ |        | f_Benja |         |         | mons/th | bw      | n_Harri |         | rison   |
| of_the_ |        | min_Har |         |         | umb/f/f | photo,  | son,_he |         |         |
| United_ |        | rison   |         |         | 8/Benja | 1896.jp | ad_and_ |         |         |
| States  |        |         |         |         | min_Har | g       | shoulde |         |         |
|         |        |         |         |         | rison%2 |         | rs_bw_p |         |         |
|         |        |         |         |         | C_head_ |         | hoto,_1 |         |         |
