+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| url     | Country | Country | Populat | Yearly_ | Net_Cha | Density | Land_Ar | Migrant | Fert_R |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/aus |         |         |         |         |         |         |        |
| ulation |         | tralia- |         |         |         |         |         |         |        |
| -by-cou |         | populat |         |         |         |         |         |         |        |
| ntry/   |         | ion/    |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Cameroo | http:// | 24,678, | 2.60 %  | 624,507 | 52      | 472,710 | -7,200  | 5      |
| www.wor | n       | www.wor | 234     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/cam |         |         |         |         |         |         |        |
| ulation |         | eroon-p |         |         |         |         |         |         |        |
| -by-cou |         | opulati |         |         |         |         |         |         |        |
| ntry/   |         | on/     |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Taiwan  | http:// | 23,694, | 0.29 %  | 67,633  | 669     | 35,410  | 34,000  | 1.100  |
| www.wor |         | www.wor | 089     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/tai |         |         |         |         |         |         |        |
| ulation |         | wan-pop |         |         |         |         |         |         |        |
| -by-cou |         | ulation |         |         |         |         |         |         |        |
| ntry/   |         | /       |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Niger   | http:// | 22,311, | 3.88 %  | 834,027 | 18      | 1,266,7 | -5,699  | 7.400  |
| www.wor |         | www.wor | 375     |         |         |         | 00      |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/nig |         |         |         |         |         |         |        |
| ulation |         | er-popu |         |         |         |         |         |         |        |
| -by-cou |         | lation/ |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Sri     | http:// | 20,950, | 0.35 %  | 73,124  | 334     | 62,710  | -96,954 | 2.100  |
| www.wor | Lanka   | www.wor | 041     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/sri |         |         |         |         |         |         |        |
| ulation |         | -lanka- |         |         |         |         |         |         |        |
| -by-cou |         | populat |         |         |         |         |         |         |        |
| ntry/   |         | ion/    |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Burkina | http:// | 19,751, | 2.91 %  | 558,269 | 72      | 273,600 | -25,000 | 5.600  |
| www.wor | Faso    | www.wor | 651     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/bur |         |         |         |         |         |         |        |
| ulation |         | kina-   |         |         |         |         |         |         |        |
| -by-cou |         | faso-po |         |         |         |         |         |         |        |
| ntry/   |         | pulatio |         |         |         |         |         |         |        |
|         |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Romania | http:// | 19,580, | -0.50 % | -98,672 | 85      | 230,170 | -59,999 | 1.500  |
| www.wor |         | www.wor | 634     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/rom |         |         |         |         |         |         |        |
| ulation |         | ania-po |         |         |         |         |         |         |        |
| -by-cou |         | pulatio |         |         |         |         |         |         |        |
| ntry/   |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Malawi  | http:// | 19,164, | 2.91 %  | 542,624 | 203     | 94,280  | -6,000  | 4.900  |
| www.wor |         | www.wor | 728     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/mal |         |         |         |         |         |         |        |
| ulation |         | awi-pop |         |         |         |         |         |         |        |
| -by-cou |         | ulation |         |         |         |         |         |         |        |
| ntry/   |         | /       |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Mali    | http:// | 19,107, | 3.05 %  | 565,726 | 16      | 1,220,1 | -60,490 | 6.400  |
| www.wor |         | www.wor | 706     |         |         |         | 90      |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/mal |         |         |         |         |         |         |        |
| ulation |         | i-popul |         |         |         |         |         |         |        |
| -by-cou |         | ation/  |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Kazakhs | http:// | 18,403, | 1.10 %  | 199,361 | 7       | 2,699,7 | 31,961  | 2.700  |
| www.wor | tan     | www.wor | 860     |         |         |         | 00      |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/kaz |         |         |         |         |         |         |        |
| ulation |         | akhstan |         |         |         |         |         |         |        |
| -by-cou |         | -popula |         |         |         |         |         |         |        |
| ntry/   |         | tion/   |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Syria   | http:// | 18,284, | 0.08 %  | 14,539  | 100     | 183,630 | -831,57 | 3.100  |
| www.wor |         | www.wor | 407     |         |         |         |         | 9       |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/syr |         |         |         |         |         |         |        |
| ulation |         | ia-popu |         |         |         |         |         |         |        |
| -by-cou |         | lation/ |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Chile   | http:// | 18,197, | 0.79 %  | 142,483 | 24      | 743,532 | 16,164  | 1.800  |
| www.wor |         | www.wor | 209     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/chi |         |         |         |         |         |         |        |
| ulation |         | le-popu |         |         |         |         |         |         |        |
| -by-cou |         | lation/ |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Zambia  | http:// | 17,609, | 3.01 %  | 515,048 | 24      | 743,390 | -6,898  | 5.200  |
| www.wor |         | www.wor | 178     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/zam |         |         |         |         |         |         |        |
| ulation |         | bia-pop |         |         |         |         |         |         |        |
| -by-cou |         | ulation |         |         |         |         |         |         |        |
| ntry/   |         | /       |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Guatema | http:// | 17,245, | 1.96 %  | 331,843 | 161     | 107,160 | -10,026 | 3.200  |
| www.wor | la      | www.wor | 346     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/gua |         |         |         |         |         |         |        |
| ulation |         | temala- |         |         |         |         |         |         |        |
| -by-cou |         | populat |         |         |         |         |         |         |        |
| ntry/   |         | ion/    |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Netherl | http:// | 17,084, | 0.28 %  | 48,521  | 507     | 33,720  | 12,537  | 1.700  |
| www.wor | ands    | www.wor | 459     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/net |         |         |         |         |         |         |        |
| ulation |         | herland |         |         |         |         |         |         |        |
| -by-cou |         | s-popul |         |         |         |         |         |         |        |
| ntry/   |         | ation/  |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Zimbabw | http:// | 16,913, | 2.32 %  | 383,357 | 44      | 386,850 | -50,000 | 4      |
| www.wor | e       | www.wor | 261     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/zim |         |         |         |         |         |         |        |
| ulation |         | babwe-p |         |         |         |         |         |         |        |
| -by-cou |         | opulati |         |         |         |         |         |         |        |
| ntry/   |         | on/     |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Ecuador | http:// | 16,863, | 1.44 %  | 238,567 | 68      | 248,360 | -7,600  | 2.600  |
| www.wor |         | www.wor | 425     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/ecu |         |         |         |         |         |         |        |
| ulation |         | ador-po |         |         |         |         |         |         |        |
| -by-cou |         | pulatio |         |         |         |         |         |         |        |
| ntry/   |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Senegal | http:// | 16,294, | 2.80 %  | 443,703 | 85      | 192,530 | -19,999 | 5      |
| www.wor |         | www.wor | 270     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/sen |         |         |         |         |         |         |        |
| ulation |         | egal-po |         |         |         |         |         |         |        |
| -by-cou |         | pulatio |         |         |         |         |         |         |        |
| ntry/   |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Cambodi | http:// | 16,245, | 1.50 %  | 240,356 | 92      | 176,520 | -30,000 | 2.700  |
| www.wor | a       | www.wor | 729     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/cam |         |         |         |         |         |         |        |
| ulation |         | bodia-p |         |         |         |         |         |         |        |
| -by-cou |         | opulati |         |         |         |         |         |         |        |
| ntry/   |         | on/     |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Chad    | http:// | 15,353, | 3.04 %  | 453,190 | 12      | 1,259,2 | 20,000  | 6.300  |
| www.wor |         | www.wor | 184     |         |         |         | 00      |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/cha |         |         |         |         |         |         |        |
| ulation |         | d-popul |         |         |         |         |         |         |        |
| -by-cou |         | ation/  |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Somalia | http:// | 15,181, | 2.98 %  | 439,402 | 24      | 627,340 | -45,374 | 6.600  |
| www.wor |         | www.wor | 925     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/som |         |         |         |         |         |         |        |
| ulation |         | alia-po |         |         |         |         |         |         |        |
| -by-cou |         | pulatio |         |         |         |         |         |         |        |
| ntry/   |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Guinea  | http:// | 13,052, | 2.64 %  | 335,432 | 53      | 245,720 | -50,000 | 5.100  |
| www.wor |         | www.wor | 608     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/gui |         |         |         |         |         |         |        |
| ulation |         | nea-pop |         |         |         |         |         |         |        |
| -by-cou |         | ulation |         |         |         |         |         |         |        |
| ntry/   |         | /       |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | South   | http:// | 12,919, | 2.73 %  | 343,339 | 21      | 610,952 | 85,000  | 5.200  |
| www.wor | Sudan   | www.wor | 053     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/sou |         |         |         |         |         |         |        |
| ulation |         | th-     |         |         |         |         |         |         |        |
| -by-cou |         | sudan-p |         |         |         |         |         |         |        |
| ntry/   |         | opulati |         |         |         |         |         |         |        |
|         |         | on/     |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Rwanda  | http:// | 12,501, | 2.40 %  | 292,749 | 507     | 24,670  | -15,820 | 4.200  |
| www.wor |         | www.wor | 156     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/rwa |         |         |         |         |         |         |        |
| ulation |         | nda-pop |         |         |         |         |         |         |        |
| -by-cou |         | ulation |         |         |         |         |         |         |        |
| ntry/   |         | /       |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Tunisia | http:// | 11,659, | 1.10 %  | 127,047 | 75      | 155,360 | -13,193 | 2.300  |
| www.wor |         | www.wor | 174     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/tun |         |         |         |         |         |         |        |
| ulation |         | isia-po |         |         |         |         |         |         |        |
| -by-cou |         | pulatio |         |         |         |         |         |         |        |
| ntry/   |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Belgium | http:// | 11,498, | 0.61 %  | 69,183  | 380     | 30,280  | 51,734  | 1.800  |
| www.wor |         | www.wor | 519     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/bel |         |         |         |         |         |         |        |
| ulation |         | gium-po |         |         |         |         |         |         |        |
| -by-cou |         | pulatio |         |         |         |         |         |         |        |
| ntry/   |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Cuba    | http:// | 11,489, | 0.04 %  | 4,446   | 108     | 106,440 | -14,654 | 1.700  |
| www.wor |         | www.wor | 082     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/cub |         |         |         |         |         |         |        |
| ulation |         | a-popul |         |         |         |         |         |         |        |
| -by-cou |         | ation/  |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Benin   | http:// | 11,485, | 2.77 %  | 309,982 | 102     | 112,760 | -8,454  | 5.200  |
| www.wor |         | www.wor | 674     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/ben |         |         |         |         |         |         |        |
| ulation |         | in-popu |         |         |         |         |         |         |        |
| -by-cou |         | lation/ |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Burundi | http:// | 11,216, | 3.24 %  | 352,205 | 437     | 25,680  | -14,000 | 6      |
| www.wor |         | www.wor | 450     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/bur |         |         |         |         |         |         |        |
| ulation |         | undi-po |         |         |         |         |         |         |        |
| -by-cou |         | pulatio |         |         |         |         |         |         |        |
| ntry/   |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Bolivia | http:// | 11,215, | 1.48 %  | 164,074 | 10      | 1,083,3 | -12,359 | 3      |
| www.wor |         | www.wor | 674     |         |         |         | 00      |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/bol |         |         |         |         |         |         |        |
| ulation |         | ivia-po |         |         |         |         |         |         |        |
| -by-cou |         | pulatio |         |         |         |         |         |         |        |
| ntry/   |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Greece  | http:// | 11,142, | -0.16 % | -17,612 | 86      | 128,900 | -32,360 | 1.300  |
| www.wor |         | www.wor | 161     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/gre |         |         |         |         |         |         |        |
| ulation |         | ece-pop |         |         |         |         |         |         |        |
| -by-cou |         | ulation |         |         |         |         |         |         |        |
| ntry/   |         | /       |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Haiti   | http:// | 11,112, | 1.20 %  | 131,716 | 403     | 27,560  | -30,000 | 3.100  |
| www.wor |         | www.wor | 945     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/hai |         |         |         |         |         |         |        |
| ulation |         | ti-popu |         |         |         |         |         |         |        |
| -by-cou |         | lation/ |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Dominic | http:// | 10,882, | 1.08 %  | 115,998 | 225     | 48,320  | -30,602 | 2.500  |
| www.wor | an Repu | www.wor | 996     |         |         |         |         |         |        |
| ldomete | blic    | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/dom |         |         |         |         |         |         |        |
| ulation |         | inican- |         |         |         |         |         |         |        |
| -by-cou |         | republi |         |         |         |         |         |         |        |
| ntry/   |         | c-popul |         |         |         |         |         |         |        |
|         |         | ation/  |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Czech R | http:// | 10,625, | 0.07 %  | 6,947   | 138     | 77,240  | 11,999  | 1.500  |
| www.wor | epublic | www.wor | 250     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/cze |         |         |         |         |         |         |        |
| ulation |         | ch-repu |         |         |         |         |         |         |        |
| -by-cou |         | blic-po |         |         |         |         |         |         |        |
| ntry/   |         | pulatio |         |         |         |         |         |         |        |
|         |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Portuga | http:// | 10,291, | -0.37 % | -38,310 | 112     | 91,590  | -28,000 | 1.300  |
| www.wor | l       | www.wor | 196     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/por |         |         |         |         |         |         |        |
| ulation |         | tugal-p |         |         |         |         |         |         |        |
| -by-cou |         | opulati |         |         |         |         |         |         |        |
| ntry/   |         | on/     |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Sweden  | http:// | 9,982,7 | 0.73 %  | 72,008  | 24      | 410,340 | 50,792  | 1.900  |
| www.wor |         | www.wor | 09      |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/swe |         |         |         |         |         |         |        |
| ulation |         | den-pop |         |         |         |         |         |         |        |
| -by-cou |         | ulation |         |         |         |         |         |         |        |
| ntry/   |         | /       |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Azerbai | http:// | 9,923,9 | 0.98 %  | 96,325  | 120     | 82,658  | 0       | 2.100  |
| www.wor | jan     | www.wor | 14      |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/aze |         |         |         |         |         |         |        |
| ulation |         | rbaijan |         |         |         |         |         |         |        |
| -by-cou |         | -popula |         |         |         |         |         |         |        |
| ntry/   |         | tion/   |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Jordan  | http:// | 9,903,8 | 2.08 %  | 201,449 | 112     | 88,780  | 195,057 | 3.600  |
| www.wor |         | www.wor | 02      |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/jor |         |         |         |         |         |         |        |
| ulation |         | dan-pop |         |         |         |         |         |         |        |
| -by-cou |         | ulation |         |         |         |         |         |         |        |
| ntry/   |         | /       |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Hungary | http:// | 9,688,8 | -0.34 % | -32,712 | 107     | 90,530  | 6,000   | 1.300  |
| www.wor |         | www.wor | 47      |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/hun |         |         |         |         |         |         |        |
| ulation |         | gary-po |         |         |         |         |         |         |        |
| -by-cou |         | pulatio |         |         |         |         |         |         |        |
| ntry/   |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | United  | http:// | 9,541,6 | 1.50 %  | 141,470 | 114     | 83,600  | 96,000  | 1.800  |
| www.wor | Arab Em | www.wor | 15      |         |         |         |         |         |        |
| ldomete | irates  | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/uni |         |         |         |         |         |         |        |
| ulation |         | ted-    |         |         |         |         |         |         |        |
| -by-cou |         | arab-em |         |         |         |         |         |         |        |
| ntry/   |         | irates- |         |         |         |         |         |         |        |
|         |         | populat |         |         |         |         |         |         |        |
|         |         | ion/    |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Belarus | http:// | 9,452,1 | -0.17 % | -16,225 | 47      | 202,910 | 15,160  | 1.600  |
| www.wor |         | www.wor | 13      |         |         |         |         |         |        |
