Table_1
url,Rank,Mountain,Height_[m],Height_[ft],Prominence_[m],Range,Coordinates,Parent_Mountain,First_Ascent,Ascents_(failed_attempts)_bef._2004,Country
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,81,Baltoro Kangri,"7,312","23,990","1,200",Masherbrum Karakoram,35°38′21″N 76°40′24″E / 35.63917°N 76.67333°E / 35.63917; 76.67333 (81. Baltoro Kangri (7312 m)),Chogolisa,1976,1 (0),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,82,Siguang Ri,"7,309","23,980",669,Mahalangur Himalaya,28°08′50″N 86°41′06″E / 28.14722°N 86.68500°E / 28.14722; 86.68500 (82. Siguang Ri (7309 m)),Cho Oyu,1989,2 (1),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,83,The Crown / Huang Guan,"7,295","23,934","1,919",Yengisogat Karakoram,36°06′24″N 76°12′21″E / 36.10667°N 76.20583°E / 36.10667; 76.20583 (83. The Crown / Huang Guan (7295 m)),Skil Brum,1993,1 (3),China[dp 2]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,84,Gyala Peri,"7,294","23,930","2,942",Assam Himalaya,29°48′52″N 94°58′07″E / 29.81444°N 94.96861°E / 29.81444; 94.96861 (84. Gyala Peri (7294 m)),Mount Everest,1986,1 (0),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,85,Porong Ri,"7,292","23,924",512,Langtang Himalaya,28°23′22″N 85°43′12″E / 28.38944°N 85.72000°E / 28.38944; 85.72000 (85. Porong Ri (7292 m)),Shisha Pangma,1982,5 (0),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,86,Baintha Brakk / The Ogre,"7,285","23,901","1,891",Panmah Karakoram,35°56′51″N 75°45′12″E / 35.94750°N 75.75333°E / 35.94750; 75.75333 (86. Baintha Brakk / The Ogre (7285 m)),Kanjut Sar,1977,3 (13),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,87,Yutmaru Sar,"7,283","23,894",680,Hispar Karakoram,36°13′35″N 75°22′02″E / 36.22639°N 75.36722°E / 36.22639; 75.36722 (87. Yutmaru Sar (7283 m)),Yukshin Gardan Sar,1980,1 (1),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,88,Baltistan Peak / K6,"7,282","23,891","1,962",Masherbrum Karakoram,35°25′06″N 76°33′06″E / 35.41833°N 76.55167°E / 35.41833; 76.55167 (88. Baltistan Peak / K6 (7282 m)),Chogolisa,1970,1 (3),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,89,"Kangpenqing /
 Gang Benchhen","7,281","23,888","1,345",Baiku Himalaya,28°33′03″N 85°32′44″E / 28.55083°N 85.54556°E / 28.55083; 85.54556 (89. Kangpenqing / Gang Benchhen (7281 m)),Shisha Pangma,1982,1 (1),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,90,Muztagh Tower,"7,276","23,871","1,710",Baltoro Karakoram,35°49′40″N 76°21′40″E / 35.82778°N 76.36111°E / 35.82778; 76.36111 (90. Muztagh Tower (7276 m)),Skil Brum,1956,4 (2),Pakistan[dp 1] • China[dp 2]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,91,Mana Peak,"7,272","23,858",732,Garhwal Himalaya,30°52′50″N 79°36′55″E / 30.88056°N 79.61528°E / 30.88056; 79.61528 (91. Mana Peak (7272 m)),Kamet,1937,7 (3),India
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,118,Dhaulagiri VI,"7,268","23,845",488,Dhaulagiri Himalaya,28°42′31″N 83°16′27″E / 28.70861°N 83.27417°E / 28.70861; 83.27417 (Dhaulagiri VI (7268 m)),Dhaulagiri IV,1970,5 (0),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,92,Diran,"7,266","23,839","1,329",Rakaposhi-Haramosh Karakoram,36°07′13″N 74°39′42″E / 36.12028°N 74.66167°E / 36.12028; 74.66167 (92. Diran (7266 m)),Malubiting,1968,12 (8),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,93,Labuche Kang III / East[13],"7,250","23,786",570,Labuche Himalaya,28°18′05″N 86°23′02″E / 28.30139°N 86.38389°E / 28.30139; 86.38389 (93. Labuche Kang III / East (7250 m)),Labuche Kang,unclimbed,0 (0),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,94,Putha Hiunchuli,"7,246","23,773","1,151",Dhaulagiri Himalaya,28°44′52″N 83°08′46″E / 28.74778°N 83.14611°E / 28.74778; 83.14611 (94. Putha Hiunchuli (7246 m)),Churen Himal,1954,11 (5),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,95,Apsarasas Kangri,"7,245","23,770",607,Siachen Karakoram,35°32′19″N 77°08′55″E / 35.53861°N 77.14861°E / 35.53861; 77.14861 (95. Apsarasas Kangri (7245 m)),Teram Kangri,1976,2 (0),India • China[dp 2][dp 3]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,96,Mukut Parbat,"7,242","23,760",683,Garhwal Himalaya,30°56′57″N 79°34′12″E / 30.94917°N 79.57000°E / 30.94917; 79.57000 (96. Mukut Parbat (7242 m)),Kamet,1951,2 (1),India • China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,97,Rimo III,"7,233","23,730",613,Rimo Karakoram,35°22′31″N 77°21′42″E / 35.37528°N 77.36167°E / 35.37528; 77.36167 (97. Rimo III (7233 m)),Rimo I,1985,1 (0),India[dp 5]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,98,Langtang Lirung,"7,227","23,711","1,534",Langtang Himalaya,28°15′22″N 85°31′01″E / 28.25611°N 85.51694°E / 28.25611; 85.51694 (98. Langtang Lirung (7227 m)),Shisha Pangma,1978,14 (13),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,99,Karjiang,"7,221","23,691",895,Kula Kangri Himalaya,28°15′27″N 90°38′49″E / 28.25750°N 90.64694°E / 28.25750; 90.64694 (99. Karjiang (7221 m)),Kula Kangri,unclimbed,0 (2),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,100,Annapurna Dakshin,"7,219","23,684",769,Annapurna Himalaya,28°31′06″N 83°48′22″E / 28.51833°N 83.80611°E / 28.51833; 83.80611 (100. Annapurna Dakshin (7219 m)),Annapurna,1964,10 (16),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,101,Khartaphu,"7,213","23,665",712,Mahalangur Himalaya,28°03′49″N 86°58′39″E / 28.06361°N 86.97750°E / 28.06361; 86.97750 (101. Khartaphu (7213 m)),Mount Everest,1935,1 (0),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,102,Tongshanjiabu[14],"7,207","23,645","1,757",Lunana Himalaya,28°11′12″N 89°57′27″E / 28.18667°N 89.95750°E / 28.18667; 89.95750 (102. Tongshanjiabu (7207 m)),Gangkar Puensum,unclimbed,0 (0),Bhutan • China[dp 6]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,103,Malangutti Sar,"7,207","23,645",507,Hispar Karakoram,36°21′47″N 75°08′57″E / 36.36306°N 75.14917°E / 36.36306; 75.14917 (103. Malangutti Sar (7207 m)),Distaghil Sar,1985,1 (0),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,104,"Noijin Kangsang /
 Norin Kang","7,206","23,642","2,160",Nagarze Himalaya,28°56′48″N 90°10′42″E / 28.94667°N 90.17833°E / 28.94667; 90.17833 (104. Noijin Kangsang / Norin Kang (7206 m)),Gangkar Puensum,1986,4 (1),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,105,Langtang Ri,"7,205","23,638",665,Langtang Himalaya,28°22′53″N 85°41′01″E / 28.38139°N 85.68361°E / 28.38139; 85.68361 (105. Langtang Ri (7205 m)),Shisha Pangma,1981,4 (0),Nepal • China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,106,Kangphu Kang,"7,204","23,635","1,244",Lunana Himalaya,28°09′20″N 90°03′48″E / 28.15556°N 90.06333°E / 28.15556; 90.06333 (106. Kangphu Kang (7204 m)),Tongshanjiabu,2002,1 (0),Bhutan • China[dp 6]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,107,Singhi Kangri,"7,202","23,629",730,Siachen Karakoram,35°35′59″N 76°59′01″E / 35.59972°N 76.98361°E / 35.59972; 76.98361 (107. Singhi Kangri (7202 m)),Teram Kangri,1976,2 (0),India • China[dp 2][dp 3]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,108,Lupghar Sar,"7,200","23,622",730,Hispar Karakoram,36°21′01″N 75°02′13″E / 36.35028°N 75.03694°E / 36.35028; 75.03694 (108. Lupghar Sar (7200 m)),Momhil Sar,1979,1 (0),Pakistan[dp 1]
