Table_1
url,Country,Country_link,Population,Yearly_Change,Net_Change,Density_Pk_M,Land_Area_(km),Migrants_Net,Fert_Rate,Med_Age,Urban_Pop,World_Share
http://www.worldometers.info/world-population/population-by-country/,Namibia,http://www.worldometers.info/world-population/namibia-population/,"2,587,801",2.13 %,"54,007",3,"823,290",-274,3.6,21,47 %,0.03 %
http://www.worldometers.info/world-population/population-by-country/,Botswana,http://www.worldometers.info/world-population/botswana-population/,"2,333,201",1.81 %,"41,540",4,"566,730","3,000",2.9,24,52 %,0.03 %
http://www.worldometers.info/world-population/population-by-country/,Lesotho,http://www.worldometers.info/world-population/lesotho-population/,"2,263,010",1.33 %,"29,671",75,"30,360","-5,000",3.3,21,27 %,0.03 %
http://www.worldometers.info/world-population/population-by-country/,Gambia,http://www.worldometers.info/world-population/gambia-population/,"2,163,765",3.01 %,"63,197",214,"10,120","-2,695",5.6,17,59 %,0.03 %
http://www.worldometers.info/world-population/population-by-country/,TFYR Macedonia,http://www.worldometers.info/world-population/macedonia-population/,"2,085,051",0.09 %,"1,891",83,"25,220","-1,771",1.5,37,58 %,0.03 %
http://www.worldometers.info/world-population/population-by-country/,Slovenia,http://www.worldometers.info/world-population/slovenia-population/,"2,081,260",0.06 %,"1,284",103,"20,140","3,314",1.6,43,50 %,0.03 %
http://www.worldometers.info/world-population/population-by-country/,Gabon,http://www.worldometers.info/world-population/gabon-population/,"2,067,561",2.09 %,"42,424",8,"257,670","17,088",4.0,23,78 %,0.03 %
http://www.worldometers.info/world-population/population-by-country/,Latvia,http://www.worldometers.info/world-population/latvia-population/,"1,929,938",-1.01 %,"-19,732",31,"62,200","-16,665",1.5,43,70 %,0.03 %
http://www.worldometers.info/world-population/population-by-country/,Guinea-Bissau,http://www.worldometers.info/world-population/guinea-bissau-population/,"1,907,268",2.47 %,"45,985",68,"28,120","-2,001",4.9,19,50 %,0.02 %
http://www.worldometers.info/world-population/population-by-country/,Bahrain,http://www.worldometers.info/world-population/bahrain-population/,"1,566,993",4.99 %,"74,409","2,062",760,"8,400",2.1,31,80 %,0.02 %
http://www.worldometers.info/world-population/population-by-country/,Swaziland,http://www.worldometers.info/world-population/swaziland-population/,"1,391,385",1.76 %,"24,131",81,"17,200","-1,200",3.3,20,20 %,0.02 %
http://www.worldometers.info/world-population/population-by-country/,Trinidad and Tobago,http://www.worldometers.info/world-population/trinidad-and-tobago-population/,"1,372,598",0.25 %,"3,473",268,"5,130","-1,000",1.8,34,8 %,0.02 %
http://www.worldometers.info/world-population/population-by-country/,Timor-Leste,http://www.worldometers.info/world-population/timor-leste-population/,"1,324,094",2.14 %,"27,783",89,"14,870","-10,001",5.9,17,31 %,0.02 %
http://www.worldometers.info/world-population/population-by-country/,Equatorial Guinea,http://www.worldometers.info/world-population/equatorial-guinea-population/,"1,313,894",3.64 %,"46,205",47,"28,050","18,000",5.0,22,26 %,0.02 %
http://www.worldometers.info/world-population/population-by-country/,Estonia,http://www.worldometers.info/world-population/estonia-population/,"1,306,788",-0.22 %,"-2,844",31,"42,390","-2,103",1.6,42,66 %,0.02 %
http://www.worldometers.info/world-population/population-by-country/,Mauritius,http://www.worldometers.info/world-population/mauritius-population/,"1,268,315",0.25 %,"3,177",625,"2,030","-2,416",1.5,36,39 %,0.02 %
http://www.worldometers.info/world-population/population-by-country/,Cyprus,http://www.worldometers.info/world-population/cyprus-population/,"1,189,085",0.81 %,"9,534",129,"9,240","4,502",1.4,35,67 %,0.02 %
http://www.worldometers.info/world-population/population-by-country/,Djibouti,http://www.worldometers.info/world-population/djibouti-population/,"971,408",1.51 %,"14,423",42,"23,180","1,200",3.1,24,74 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Fiji,http://www.worldometers.info/world-population/fiji-population/,"912,241",0.74 %,"6,739",50,"18,270","-5,744",2.6,28,54 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Réunion,http://www.worldometers.info/world-population/reunion-population/,"883,247",0.76 %,"6,685",353,"2,500","-2,828",2.4,35,99 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Comoros,http://www.worldometers.info/world-population/comoros-population/,"832,347",2.26 %,"18,435",447,"1,861","-2,000",4.6,20,28 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Bhutan,http://www.worldometers.info/world-population/bhutan-population/,"817,054",1.17 %,"9,444",21,"38,117","2,000",2.2,26,39 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Guyana,http://www.worldometers.info/world-population/guyana-population/,"782,225",0.56 %,"4,366",4,"196,850","-5,456",2.6,25,30 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Macao,http://www.worldometers.info/world-population/china-macao-sar-population/,"632,418",1.58 %,"9,851","21,081",30,"8,470",1.2,38,95 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Montenegro,http://www.worldometers.info/world-population/montenegro-population/,"629,219",0.04 %,259,47,"13,450",-622,1.7,38,64 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Solomon Islands,http://www.worldometers.info/world-population/solomon-islands-population/,"623,281",1.95 %,"11,938",22,"27,990","-2,374",4.1,20,23 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Luxembourg,http://www.worldometers.info/world-population/luxembourg-population/,"590,321",1.18 %,"6,866",228,"2,590","9,741",1.5,39,86 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Suriname,http://www.worldometers.info/world-population/suriname-population/,"568,301",0.87 %,"4,899",4,"156,000","-1,000",2.5,28,65 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Western Sahara,http://www.worldometers.info/world-population/western-sahara-population/,"567,421",2.68 %,"14,793",2,"266,000",572,2.6,27,92 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Cabo Verde,http://www.worldometers.info/world-population/cabo-verde-population/,"553,335",1.27 %,"6,947",137,"4,030","-2,210",2.5,24,62 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Guadeloupe,http://www.worldometers.info/world-population/guadeloupe-population/,"449,173",-0.09 %,-395,266,"1,690","-2,001",2.0,42,N.A.,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Maldives,http://www.worldometers.info/world-population/maldives-population/,"444,259",1.82 %,"7,929","1,481",300,"4,383",2.2,28,40 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Brunei,http://www.worldometers.info/world-population/brunei-darussalam-population/,"434,076",1.25 %,"5,379",82,"5,270",406,1.9,30,79 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Malta,http://www.worldometers.info/world-population/malta-population/,"432,089",0.29 %,"1,254","1,350",320,"1,889",1.4,41,96 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Bahamas,http://www.worldometers.info/world-population/bahamas-population/,"399,285",0.99 %,"3,924",40,"10,010","1,934",1.8,33,83 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Martinique,http://www.worldometers.info/world-population/martinique-population/,"385,065",0.04 %,169,363,"1,060","-3,354",2.0,44,94 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Belize,http://www.worldometers.info/world-population/belize-population/,"382,444",2.07 %,"7,763",17,"22,810","1,519",2.6,23,42 %,0.01 %
http://www.worldometers.info/world-population/population-by-country/,Iceland,http://www.worldometers.info/world-population/iceland-population/,"337,780",0.82 %,"2,755",3,"100,250",-433,2.0,36,96 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,French Guiana,http://www.worldometers.info/world-population/french-guiana-population/,"289,763",2.49 %,"7,032",4,"82,200","1,200",3.5,24,80 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Barbados,http://www.worldometers.info/world-population/barbados-population/,"286,388",0.23 %,669,666,430,436,1.8,39,32 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,French Polynesia,http://www.worldometers.info/world-population/french-polynesia-population/,"285,859",1.01 %,"2,852",78,"3,660","-1,000",2.1,31,56 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Vanuatu,http://www.worldometers.info/world-population/vanuatu-population/,"282,117",2.13 %,"5,873",23,"12,190",121,3.4,22,26 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,New Caledonia,http://www.worldometers.info/world-population/new-caledonia-population/,"279,821",1.29 %,"3,566",15,"18,280","1,132",2.2,33,69 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Mayotte,http://www.worldometers.info/world-population/mayotte-population/,"259,682",2.62 %,"6,637",692,375,-300,4.1,19,44 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Sao Tome & Principe,http://www.worldometers.info/world-population/sao-tome-and-principe-population/,"208,818",2.20 %,"4,491",218,960,"-1,120",4.7,18,67 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Samoa,http://www.worldometers.info/world-population/samoa-population/,"197,695",0.64 %,"1,255",70,"2,830","-2,538",4.2,21,19 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Saint Lucia,http://www.worldometers.info/world-population/saint-lucia-population/,"179,667",0.46 %,823,295,610,8,1.5,33,19 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Channel Islands,http://www.worldometers.info/world-population/channel-islands-population/,"166,083",0.47 %,769,874,190,731,1.5,43,31 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Guam,http://www.worldometers.info/world-population/guam-population/,"165,718",0.91 %,"1,489",307,540,"-1,519",2.4,30,N.A.,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Curaçao,http://www.worldometers.info/world-population/curacao-population/,"161,577",0.65 %,"1,038",364,444,"1,363",2.1,41,93 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Kiribati,http://www.worldometers.info/world-population/kiribati-population/,"118,414",1.73 %,"2,016",146,810,-426,3.8,22,41 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,St. Vincent & Grenadines,http://www.worldometers.info/world-population/saint-vincent-and-the-grenadines-population/,"110,200",0.28 %,303,283,390,"-1,000",2.0,30,51 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Tonga,http://www.worldometers.info/world-population/tonga-population/,"109,008",0.91 %,988,151,720,"-1,616",3.8,21,24 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Grenada,http://www.worldometers.info/world-population/grenada-population/,"108,339",0.48 %,514,319,340,-855,2.2,27,35 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Micronesia,http://www.worldometers.info/world-population/micronesia-population/,"106,227",0.65 %,683,152,700,"-1,638",3.3,22,23 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Aruba,http://www.worldometers.info/world-population/aruba-population/,"105,670",0.39 %,406,587,180,251,1.8,40,41 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,U.S. Virgin Islands,http://www.worldometers.info/world-population/united-states-virgin-islands-population/,"104,914",0.01 %,13,300,350,-900,2.3,41,97 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Antigua and Barbuda,http://www.worldometers.info/world-population/antigua-and-barbuda-population/,"103,050",1.02 %,"1,038",234,440,-11,2.1,31,21 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Seychelles,http://www.worldometers.info/world-population/seychelles-population/,"95,235",0.53 %,498,207,460,-440,2.4,35,54 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Isle of Man,http://www.worldometers.info/world-population/isle-of-man-population/,"84,831",0.65 %,544,149,570,,N.A.,N.A.,54 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Andorra,http://www.worldometers.info/world-population/andorra-population/,"76,953",-0.02 %,-12,164,470,,N.A.,N.A.,90 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Dominica,http://www.worldometers.info/world-population/dominica-population/,"74,308",0.52 %,383,99,750,,N.A.,N.A.,69 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Cayman Islands,http://www.worldometers.info/world-population/cayman-islands-population/,"62,348",1.28 %,789,260,240,,N.A.,N.A.,98 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Bermuda,http://www.worldometers.info/world-population/bermuda-population/,"61,070",-0.45 %,-279,"1,221",50,,N.A.,N.A.,N.A.,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Greenland,http://www.worldometers.info/world-population/greenland-population/,"56,565",0.15 %,85,0,"410,450",,N.A.,N.A.,88 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Saint Kitts & Nevis,http://www.worldometers.info/world-population/saint-kitts-and-nevis-population/,"55,850",0.91 %,505,215,260,,N.A.,N.A.,33 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,American Samoa,http://www.worldometers.info/world-population/american-samoa-population/,"55,679",0.07 %,38,278,200,,N.A.,N.A.,88 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Northern Mariana Islands,http://www.worldometers.info/world-population/northern-mariana-islands-population/,"55,194",0.09 %,50,120,460,,N.A.,N.A.,90 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Marshall Islands,http://www.worldometers.info/world-population/marshall-islands-population/,"53,167",0.08 %,40,295,180,,N.A.,N.A.,74 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Faeroe Islands,http://www.worldometers.info/world-population/faeroe-islands-population/,"49,489",0.40 %,199,35,"1,396",,N.A.,N.A.,43 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Sint Maarten,http://www.worldometers.info/world-population/sint-maarten-population/,"40,552",1.08 %,432,"1,193",34,,N.A.,N.A.,N.A.,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Monaco,http://www.worldometers.info/world-population/monaco-population/,"38,897",0.52 %,202,"26,105",1,,N.A.,N.A.,N.A.,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Liechtenstein,http://www.worldometers.info/world-population/liechtenstein-population/,"38,155",0.61 %,233,238,160,,N.A.,N.A.,14 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Turks and Caicos,http://www.worldometers.info/world-population/turks-and-caicos-islands-population/,"35,963",1.46 %,517,38,950,,N.A.,N.A.,91 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Gibraltar,http://www.worldometers.info/world-population/gibraltar-population/,"34,733",0.47 %,162,"3,473",10,,N.A.,N.A.,85 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,San Marino,http://www.worldometers.info/world-population/san-marino-population/,"33,557",0.47 %,157,559,60,,N.A.,N.A.,90 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,British Virgin Islands,http://www.worldometers.info/world-population/british-virgin-islands-population/,"31,719",1.68 %,523,211,150,,N.A.,N.A.,43 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Caribbean Netherlands,http://www.worldometers.info/world-population/caribbean-netherlands-population/,"25,702",1.20 %,304,78,328,,N.A.,N.A.,60 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Palau,http://www.worldometers.info/world-population/palau-population/,"21,964",1.08 %,235,48,460,,N.A.,N.A.,87 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Cook Islands,http://www.worldometers.info/world-population/cook-islands-population/,"17,411",0.18 %,31,73,240,,N.A.,N.A.,91 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Anguilla,http://www.worldometers.info/world-population/anguilla-population/,"15,045",0.91 %,136,167,90,,N.A.,N.A.,99 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Wallis & Futuna,http://www.worldometers.info/world-population/wallis-and-futuna-islands-population/,"11,683",-0.76 %,-90,83,140,,N.A.,N.A.,0 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Nauru,http://www.worldometers.info/world-population/nauru-population/,"11,312",-0.41 %,-47,566,20,,N.A.,N.A.,90 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Tuvalu,http://www.worldometers.info/world-population/tuvalu-population/,"11,287",0.85 %,95,376,30,,N.A.,N.A.,54 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Saint Pierre & Miquelon,http://www.worldometers.info/world-population/saint-pierre-and-miquelon-population/,"6,342",0.35 %,22,28,230,,N.A.,N.A.,86 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Montserrat,http://www.worldometers.info/world-population/montserrat-population/,"5,203",0.50 %,26,52,100,,N.A.,N.A.,9 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Saint Helena,http://www.worldometers.info/world-population/saint-helena-population/,"4,074",0.62 %,25,10,390,,N.A.,N.A.,40 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Falkland Islands,http://www.worldometers.info/world-population/falkland-islands-malvinas-population/,"2,922",0.41 %,12,0,"12,170",,N.A.,N.A.,81 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Niue,http://www.worldometers.info/world-population/niue-population/,"1,624",0.37 %,6,6,260,,N.A.,N.A.,33 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Tokelau,http://www.worldometers.info/world-population/tokelau-population/,"1,319",1.46 %,19,132,10,,N.A.,N.A.,0 %,0.00 %
http://www.worldometers.info/world-population/population-by-country/,Holy See,http://www.worldometers.info/world-population/holy-see-population/,801,1.14 %,9,"2,003",0,,N.A.,N.A.,N.A.,0.00 %
