+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ur | Nu | Nu | St | En | Im | Im | Im | Na | Na | Li | Ag | Pr | Pa | Pa | Te | Te | Te | Vi | V |
|    |    |    |    |    | x- |    |    |    |    |    |    |    |    |    |    |    |    |    | u |
|    |    |    |    |    | An |    |    |    |    |    |    |    |    |    |    |    |    |    | n |
|    |    |    |    |    | dr |    |    |    |    |    |    |    |    |    |    |    |    |    | ; |
|    |    |    |    |    | ew |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _j |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ac |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ks |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | on |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _h |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ea |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | d. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 7  | ht | Ma | Ma | ht | An | ht | An | ht | 17 | (L | U. | De | ht | (1 | 11 | (1 |    |   |
| tp |    | tp | rc | rc | tp | dr | tp | dr | tp | 67 | iv | S. | mo | tp | 82 |    | 82 |    |   |
| s: |    | s: | h  | h  | s: | ew | s: | ew | s: | –1 | ed | Se | cr | s: | 8) |    | 9) |    |   |
| // |    | // | 4, | 4, | // | ja | // | Ja | // | 84 | :  | na | at | // |    |    |    |    |   |
| en |    | en | 18 | 18 | up | ck | en | ck | en | 5  | 78 | to | ic | en |    |    |    |    |   |
| .w |    | .w | 29 | 37 | lo | so | .w | so | .w |    | ye | r  |    | .w |    |    |    |    |   |
| ik |    | ik |    |    | ad | n  | ik | n  | ik |    | ar | (C |    | ik |    |    |    |    |   |
| ip |    | ip |    |    | .w | he | ip |    | ip |    | s) | la |    | ip |    |    |    |    |   |
| ed |    | ed |    |    | ik | ad | ed |    | ed |    |    | ss |    | ed |    |    |    |    |   |
| ia |    | ia |    |    | im | .j | ia |    | ia |    |    | 2) |    | ia |    |    |    |    |   |
| .o |    | .o |    |    | ed | pg | .o |    | .o |    |    | fr |    | .o |    |    |    |    |   |
| rg |    | rg |    |    | ia |    | rg |    | rg |    |    | om |    | rg |    |    |    |    |   |
| /w |    | /w |    |    | .o |    | /w |    | /w |    |    | Te |    | /w |    |    |    |    |   |
| ik |    | ik |    |    | rg |    | ik |    | ik |    |    | nn |    | ik |    |    |    |    |   |
| i/ |    | i/ |    |    | /w |    | i/ |    | i/ |    |    | es |    | i/ |    |    |    |    |   |
| Li |    | Pr |    |    | ik |    | Fi |    | An |    |    | se |    | De |    |    |    |    |   |
| st |    | es |    |    | ip |    | le |    | dr |    |    | e  |    | mo |    |    |    |    |   |
| _o |    | id |    |    | ed |    | :A |    | ew |    |    |  ( |    | cr |    |    |    |    |   |
| f_ |    | en |    |    | ia |    | nd |    | _J |    |    | 17 |    | at |    |    |    |    |   |
| Pr |    | cy |    |    | /c |    | re |    | ac |    |    | 97 |    | ic |    |    |    |    |   |
| es |    | _o |    |    | om |    | w_ |    | ks |    |    | –1 |    | _P |    |    |    |    |   |
| id |    | f_ |    |    | mo |    | ja |    | on |    |    | 79 |    | ar |    |    |    |    |   |
| en |    | An |    |    | ns |    | ck |    |    |    |    | 8  |    | ty |    |    |    |    |   |
| ts |    | dr |    |    | /t |    | so |    |    |    |    | &  |    | _( |    |    |    |    |   |
| _o |    | ew |    |    | hu |    | n_ |    |    |    |    | 18 |    | Un |    |    |    |    |   |
| f_ |    | _J |    |    | mb |    | he |    |    |    |    | 23 |    | it |    |    |    |    |   |
| th |    | ac |    |    | /4 |    | ad |    |    |    |    | –1 |    | ed |    |    |    |    |   |
| e_ |    | ks |    |    | /4 |    | .j |    |    |    |    | 82 |    | _S |    |    |    |    |   |
| Un |    | on |    |    | 3/ |    | pg |    |    |    |    | 5) |    | ta |    |    |    |    |   |
| it |    |    |    |    | An |    |    |    |    |    |    |    |    | te |    |    |    |    |   |
| ed |    |    |    |    | dr |    |    |    |    |    |    |    |    | s) |    |    |    |    |   |
| _S |    |    |    |    | ew |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
| ta |    |    |    |    | _j |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
| te |    |    |    |    | ac |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
| s  |    |    |    |    | ks |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | on |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _h |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ea |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | d. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g/ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 16 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 5p |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | x- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | An |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | dr |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ew |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _j |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ac |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ks |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | on |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _h |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ea |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | d. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 7  | ht | Ma | Ma | ht | An | ht | An | ht | 17 | (L | U. | De | ht | (1 | 12 | (1 | Ma | h |
| tp |    | tp | rc | rc | tp | dr | tp | dr | tp | 67 | iv | S. | mo | tp | 83 |    | 83 | rt | t |
| s: |    | s: | h  | h  | s: | ew | s: | ew | s: | –1 | ed | Se | cr | s: | 2) |    | 3) | in | t |
| // |    | // | 4, | 4, | // | ja | // | Ja | // | 84 | :  | na | at | // |    |    |    | Va | p |
| en |    | en | 18 | 18 | up | ck | en | ck | en | 5  | 78 | to | ic | en |    |    |    | n  | s |
| .w |    | .w | 29 | 37 | lo | so | .w | so | .w |    | ye | r  |    | .w |    |    |    | Bu | : |
| ik |    | ik |    |    | ad | n  | ik | n  | ik |    | ar | (C |    | ik |    |    |    | re | / |
| ip |    | ip |    |    | .w | he | ip |    | ip |    | s) | la |    | ip |    |    |    | n  | / |
| ed |    | ed |    |    | ik | ad | ed |    | ed |    |    | ss |    | ed |    |    |    |    | e |
| ia |    | ia |    |    | im | .j | ia |    | ia |    |    | 2) |    | ia |    |    |    |    | n |
| .o |    | .o |    |    | ed | pg | .o |    | .o |    |    | fr |    | .o |    |    |    |    | . |
| rg |    | rg |    |    | ia |    | rg |    | rg |    |    | om |    | rg |    |    |    |    | w |
| /w |    | /w |    |    | .o |    | /w |    | /w |    |    | Te |    | /w |    |    |    |    | i |
| ik |    | ik |    |    | rg |    | ik |    | ik |    |    | nn |    | ik |    |    |    |    | k |
| i/ |    | i/ |    |    | /w |    | i/ |    | i/ |    |    | es |    | i/ |    |    |    |    | i |
| Li |    | Pr |    |    | ik |    | Fi |    | An |    |    | se |    | De |    |    |    |    | p |
| st |    | es |    |    | ip |    | le |    | dr |    |    | e  |    | mo |    |    |    |    | e |
| _o |    | id |    |    | ed |    | :A |    | ew |    |    |  ( |    | cr |    |    |    |    | d |
| f_ |    | en |    |    | ia |    | nd |    | _J |    |    | 17 |    | at |    |    |    |    | i |
| Pr |    | cy |    |    | /c |    | re |    | ac |    |    | 97 |    | ic |    |    |    |    | a |
| es |    | _o |    |    | om |    | w_ |    | ks |    |    | –1 |    | _P |    |    |    |    | . |
| id |    | f_ |    |    | mo |    | ja |    | on |    |    | 79 |    | ar |    |    |    |    | o |
| en |    | An |    |    | ns |    | ck |    |    |    |    | 8  |    | ty |    |    |    |    | r |
| ts |    | dr |    |    | /t |    | so |    |    |    |    | &  |    | _( |    |    |    |    | g |
| _o |    | ew |    |    | hu |    | n_ |    |    |    |    | 18 |    | Un |    |    |    |    | / |
| f_ |    | _J |    |    | mb |    | he |    |    |    |    | 23 |    | it |    |    |    |    | w |
| th |    | ac |    |    | /4 |    | ad |    |    |    |    | –1 |    | ed |    |    |    |    | i |
| e_ |    | ks |    |    | /4 |    | .j |    |    |    |    | 82 |    | _S |    |    |    |    | k |
| Un |    | on |    |    | 3/ |    | pg |    |    |    |    | 5) |    | ta |    |    |    |    | i |
| it |    |    |    |    | An |    |    |    |    |    |    |    |    | te |    |    |    |    | / |
| ed |    |    |    |    | dr |    |    |    |    |    |    |    |    | s) |    |    |    |    | M |
| _S |    |    |    |    | ew |    |    |    |    |    |    |    |    |    |    |    |    |    | a |
| ta |    |    |    |    | _j |    |    |    |    |    |    |    |    |    |    |    |    |    | r |
| te |    |    |    |    | ac |    |    |    |    |    |    |    |    |    |    |    |    |    | t |
| s  |    |    |    |    | ks |    |    |    |    |    |    |    |    |    |    |    |    |    | i |
|    |    |    |    |    | on |    |    |    |    |    |    |    |    |    |    |    |    |    | n |
|    |    |    |    |    | _h |    |    |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | ea |    |    |    |    |    |    |    |    |    |    |    |    |    | V |
|    |    |    |    |    | d. |    |    |    |    |    |    |    |    |    |    |    |    |    | a |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    | n |
|    |    |    |    |    | g/ |    |    |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | 16 |    |    |    |    |    |    |    |    |    |    |    |    |    | B |
|    |    |    |    |    | 5p |    |    |    |    |    |    |    |    |    |    |    |    |    | u |
|    |    |    |    |    | x- |    |    |    |    |    |    |    |    |    |    |    |    |    | r |
|    |    |    |    |    | An |    |    |    |    |    |    |    |    |    |    |    |    |    | e |
|    |    |    |    |    | dr |    |    |    |    |    |    |    |    |    |    |    |    |    | n |
|    |    |    |    |    | ew |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _j |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ac |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ks |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | on |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _h |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ea |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | d. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 8  | ht | Ma | Ma | ht | Ma | ht | Ma | ht | 17 | (L | 8t | De | ht | (1 | 13 | (1 | Ri | h |
| tp |    | tp | rc | rc | tp | rt | tp | rt | tp | 82 | iv | h  | mo | tp | 83 |    | 83 | ch | t |
| s: |    | s: | h  | h  | s: | in | s: | in | s: | –1 | ed |  V | cr | s: | 6) |    | 7) | ar | t |
| // |    | // | 4, | 4, | // | Va | // | Va | // | 86 | :  | ic | at | // |    |    |    | d  | p |
| en |    | en | 18 | 18 | up | n  | en | n  | en | 2  | 79 | e  | ic | en |    |    |    | M. | s |
| .w |    | .w | 37 | 41 | lo | Bu | .w | Bu | .w |    | ye | Pr |    | .w |    |    |    | Jo | : |
| ik |    | ik |    |    | ad | re | ik | re | ik |    | ar | es |    | ik |    |    |    | hn | / |
| ip |    | ip |    |    | .w | n  | ip | n  | ip |    | s) | id |    | ip |    |    |    | so | / |
| ed |    | ed |    |    | ik | ed | ed |    | ed |    |    | en |    | ed |    |    |    | n  | e |
| ia |    | ia |    |    | im | it | ia |    | ia |    |    | t  |    | ia |    |    |    |    | n |
| .o |    | .o |    |    | ed | .j | .o |    | .o |    |    | of |    | .o |    |    |    |    | . |
| rg |    | rg |    |    | ia | pg | rg |    | rg |    |    | th |    | rg |    |    |    |    | w |
| /w |    | /w |    |    | .o |    | /w |    | /w |    |    | e  |    | /w |    |    |    |    | i |
| ik |    | ik |    |    | rg |    | ik |    | ik |    |    | Un |    | ik |    |    |    |    | k |
| i/ |    | i/ |    |    | /w |    | i/ |    | i/ |    |    | it |    | i/ |    |    |    |    | i |
| Li |    | Pr |    |    | ik |    | Fi |    | Ma |    |    | ed |    | De |    |    |    |    | p |
| st |    | es |    |    | ip |    | le |    | rt |    |    | St |    | mo |    |    |    |    | e |
| _o |    | id |    |    | ed |    | :M |    | in |    |    | at |    | cr |    |    |    |    | d |
| f_ |    | en |    |    | ia |    | ar |    | _V |    |    | es |    | at |    |    |    |    | i |
| Pr |    | cy |    |    | /c |    | ti |    | an |    |    |    |    | ic |    |    |    |    | a |
| es |    | _o |    |    | om |    | n_ |    | _B |    |    |    |    | _P |    |    |    |    | . |
| id |    | f_ |    |    | mo |    | Va |    | ur |    |    |    |    | ar |    |    |    |    | o |
| en |    | Ma |    |    | ns |    | n_ |    | en |    |    |    |    | ty |    |    |    |    | r |
| ts |    | rt |    |    | /t |    | Bu |    |    |    |    |    |    | _( |    |    |    |    | g |
| _o |    | in |    |    | hu |    | re |    |    |    |    |    |    | Un |    |    |    |    | / |
| f_ |    | _V |    |    | mb |    | n_ |    |    |    |    |    |    | it |    |    |    |    | w |
| th |    | an |    |    | /9 |    | ed |    |    |    |    |    |    | ed |    |    |    |    | i |
| e_ |    | _B |    |    | /9 |    | it |    |    |    |    |    |    | _S |    |    |    |    | k |
| Un |    | ur |    |    | 4/ |    | .j |    |    |    |    |    |    | ta |    |    |    |    | i |
| it |    | en |    |    | Ma |    | pg |    |    |    |    |    |    | te |    |    |    |    | / |
| ed |    |    |    |    | rt |    |    |    |    |    |    |    |    | s) |    |    |    |    | R |
| _S |    |    |    |    | in |    |    |    |    |    |    |    |    |    |    |    |    |    | i |
| ta |    |    |    |    | _V |    |    |    |    |    |    |    |    |    |    |    |    |    | c |
| te |    |    |    |    | an |    |    |    |    |    |    |    |    |    |    |    |    |    | h |
| s  |    |    |    |    | _B |    |    |    |    |    |    |    |    |    |    |    |    |    | a |
|    |    |    |    |    | ur |    |    |    |    |    |    |    |    |    |    |    |    |    | r |
|    |    |    |    |    | en |    |    |    |    |    |    |    |    |    |    |    |    |    | d |
|    |    |    |    |    | _e |    |    |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | di |    |    |    |    |    |    |    |    |    |    |    |    |    | M |
|    |    |    |    |    | t. |    |    |    |    |    |    |    |    |    |    |    |    |    | e |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    | n |
|    |    |    |    |    | g/ |    |    |    |    |    |    |    |    |    |    |    |    |    | t |
|    |    |    |    |    | 16 |    |    |    |    |    |    |    |    |    |    |    |    |    | o |
|    |    |    |    |    | 5p |    |    |    |    |    |    |    |    |    |    |    |    |    | r |
|    |    |    |    |    | x- |    |    |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | Ma |    |    |    |    |    |    |    |    |    |    |    |    |    | J |
|    |    |    |    |    | rt |    |    |    |    |    |    |    |    |    |    |    |    |    | o |
|    |    |    |    |    | in |    |    |    |    |    |    |    |    |    |    |    |    |    | h |
|    |    |    |    |    | _V |    |    |    |    |    |    |    |    |    |    |    |    |    | n |
|    |    |    |    |    | an |    |    |    |    |    |    |    |    |    |    |    |    |    | s |
|    |    |    |    |    | _B |    |    |    |    |    |    |    |    |    |    |    |    |    | o |
|    |    |    |    |    | ur |    |    |    |    |    |    |    |    |    |    |    |    |    | n |
|    |    |    |    |    | en |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _e |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | di |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | t. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht |    |    | Ma | Ap | ht | Wi | ht | Wi | ht | 17 | (L | Un | Wh | ht | (1 | 14 | (1 | Jo | h |
| tp |    |    | rc | ri | tp | ll | tp | ll | tp | 73 | iv | it | ig | tp | 84 |    | 84 | hn | t |
| s: |    |    | h  | l  | s: | ia | s: | ia | s: | –1 | ed | ed |    | s: | 0) |    | 1) | Ty | t |
| // |    |    | 4, | 4, | // | m  | // | m  | // | 84 | :  | St |    | // |    |    |  ( | le | p |
| en |    |    | 18 | 18 | up | He | en | He | en | 1  | 68 | at |    | en |    |    | 18 | r  | s |
| .w |    |    | 41 | 41 | lo | nr | .w | nr | .w |    | ye | es |    | .w |    |    | 41 |    | : |
| ik |    |    |    |    | ad | y  | ik | y  | ik |    | ar | Mi |    | ik |    |    | )  |    | / |
| ip |    |    |    |    | .w | Ha | ip | Ha | ip |    | s) | ni |    | ip |    |    |    |    | / |
| ed |    |    |    |    | ik | rr | ed | rr | ed |    |    | st |    | ed |    |    |    |    | e |
| ia |    |    |    |    | im | is | ia | is | ia |    |    | er |    | ia |    |    |    |    | n |
| .o |    |    |    |    | ed | on | .o | on | .o |    |    | to |    | .o |    |    |    |    | . |
| rg |    |    |    |    | ia | da | rg |    | rg |    |    | Co |    | rg |    |    |    |    | w |
| /w |    |    |    |    | .o | gu | /w |    | /w |    |    | lo |    | /w |    |    |    |    | i |
| ik |    |    |    |    | rg | er | ik |    | ik |    |    | mb |    | ik |    |    |    |    | k |
| i/ |    |    |    |    | /w | re | i/ |    | i/ |    |    | ia |    | i/ |    |    |    |    | i |
| Li |    |    |    |    | ik | ot | Fi |    | Wi |    |    |  ( |    | Wh |    |    |    |    | p |
| st |    |    |    |    | ip | yp | le |    | ll |    |    | 18 |    | ig |    |    |    |    | e |
| _o |    |    |    |    | ed | e  | :W |    | ia |    |    | 28 |    | _P |    |    |    |    | d |
| f_ |    |    |    |    | ia | ed | il |    | m_ |    |    | –1 |    | ar |    |    |    |    | i |
| Pr |    |    |    |    | /c | it | li |    | He |    |    | 82 |    | ty |    |    |    |    | a |
| es |    |    |    |    | om | .j | am |    | nr |    |    | 9) |    | _( |    |    |    |    | . |
| id |    |    |    |    | mo | pg | _H |    | y_ |    |    |    |    | Un |    |    |    |    | o |
| en |    |    |    |    | ns |    | en |    | Ha |    |    |    |    | it |    |    |    |    | r |
| ts |    |    |    |    | /t |    | ry |    | rr |    |    |    |    | ed |    |    |    |    | g |
| _o |    |    |    |    | hu |    | _H |    | is |    |    |    |    | _S |    |    |    |    | / |
| f_ |    |    |    |    | mb |    | ar |    | on |    |    |    |    | ta |    |    |    |    | w |
| th |    |    |    |    | /c |    | ri |    |    |    |    |    |    | te |    |    |    |    | i |
| e_ |    |    |    |    | /c |    | so |    |    |    |    |    |    | s) |    |    |    |    | k |
| Un |    |    |    |    | 5/ |    | n_ |    |    |    |    |    |    |    |    |    |    |    | i |
| it |    |    |    |    | Wi |    | da |    |    |    |    |    |    |    |    |    |    |    | / |
| ed |    |    |    |    | ll |    | gu |    |    |    |    |    |    |    |    |    |    |    | J |
| _S |    |    |    |    | ia |    | er |    |    |    |    |    |    |    |    |    |    |    | o |
| ta |    |    |    |    | m_ |    | re |    |    |    |    |    |    |    |    |    |    |    | h |
| te |    |    |    |    | He |    | ot |    |    |    |    |    |    |    |    |    |    |    | n |
| s  |    |    |    |    | nr |    | yp |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | y_ |    | e_ |    |    |    |    |    |    |    |    |    |    |    | T |
|    |    |    |    |    | Ha |    | ed |    |    |    |    |    |    |    |    |    |    |    | y |
|    |    |    |    |    | rr |    | it |    |    |    |    |    |    |    |    |    |    |    | l |
|    |    |    |    |    | is |    | .j |    |    |    |    |    |    |    |    |    |    |    | e |
|    |    |    |    |    | on |    | pg |    |    |    |    |    |    |    |    |    |    |    | r |
|    |    |    |    |    | _d |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ag |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ue |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rr |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | eo |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ty |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | pe |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _e |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | di |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | t. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g/ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 16 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 5p |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | x- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Wi |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ll |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ia |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | m_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | He |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | nr |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | y_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Ha |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rr |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | is |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | on |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _d |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ag |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ue |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rr |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | eo |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ty |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | pe |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _e |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | di |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | t. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 10 | ht | Ap | Ma | ht | Ty | ht | Jo | ht | 17 | (L | 10 | Wh | ht | (1 | 14 | (1 |    |   |
| tp |    | tp | ri | rc | tp | le | tp | hn | tp | 90 | iv | th | ig | tp | 84 |    | 84 |    |   |
| s: |    | s: | l  | h  | s: | r  | s: | Ty | s: | –1 | ed |  V |    | s: | 0) |    | 1) |    |   |
| // |    | // | 4, | 4, | // | Da | // | le | // | 86 | :  | ic |    | // |    |    |  ( |    |   |
| en |    | en | 18 | 18 | up | gu | en | r  | en | 2  | 71 | e  |    | en |    |    | 18 |    |   |
| .w |    | .w | 41 | 45 | lo | er | .w |    | .w |    | ye | Pr |    | .w |    |    | 41 |    |   |
| ik |    | ik |  [ |    | ad | re | ik |    | ik |    | ar | es |    | ik |    |    | )  |    |   |
| ip |    | ip | k] |    | .w | ot | ip |    | ip |    | s) | id |    | ip |    |    |    |    |   |
| ed |    | ed |    |    | ik | yp | ed |    | ed |    |    | en |    | ed |    |    |    |    |   |
| ia |    | ia |    |    | im | e  | ia |    | ia |    |    | t  |    | ia |    |    |    |    |   |
| .o |    | .o |    |    | ed | cr | .o |    | .o |    |    | of |    | .o |    |    |    |    |   |
| rg |    | rg |    |    | ia | op | rg |    | rg |    |    | th |    | rg |    |    |    |    |   |
| /w |    | /w |    |    | .o | (r | /w |    | /w |    |    | e  |    | /w |    |    |    |    |   |
| ik |    | ik |    |    | rg | es | ik |    | ik |    |    | Un |    | ik |    |    |    |    |   |
| i/ |    | i/ |    |    | /w | to | i/ |    | i/ |    |    | it |    | i/ |    |    |    |    |   |
| Li |    | Pr |    |    | ik | ra | Fi |    | Jo |    |    | ed |    | Wh |    |    |    |    |   |
| st |    | es |    |    | ip | ti | le |    | hn |    |    | St |    | ig |    |    |    |    |   |
| _o |    | id |    |    | ed | on | :T |    | _T |    |    | at |    | _P |    |    |    |    |   |
| f_ |    | en |    |    | ia | ). | yl |    | yl |    |    | es |    | ar |    |    |    |    |   |
| Pr |    | cy |    |    | /c | jp | er |    | er |    |    |    |    | ty |    |    |    |    |   |
| es |    | _o |    |    | om | g  | _D |    |    |    |    |    |    | _( |    |    |    |    |   |
| id |    | f_ |    |    | mo |    | ag |    |    |    |    |    |    | Un |    |    |    |    |   |
| en |    | Jo |    |    | ns |    | ue |    |    |    |    |    |    | it |    |    |    |    |   |
| ts |    | hn |    |    | /t |    | rr |    |    |    |    |    |    | ed |    |    |    |    |   |
| _o |    | _T |    |    | hu |    | eo |    |    |    |    |    |    | _S |    |    |    |    |   |
| f_ |    | yl |    |    | mb |    | ty |    |    |    |    |    |    | ta |    |    |    |    |   |
| th |    | er |    |    | /2 |    | pe |    |    |    |    |    |    | te |    |    |    |    |   |
| e_ |    |    |    |    | /2 |    | _c |    |    |    |    |    |    | s) |    |    |    |    |   |
| Un |    |    |    |    | f/ |    | ro |    |    |    |    |    |    |    |    |    |    |    |   |
| it |    |    |    |    | Ty |    | p_ |    |    |    |    |    |    |    |    |    |    |    |   |
