+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| url   | Rank | Mall_ | Mall_ | Locat | Locat | Metro | Metro | Retai | Stor | Anch | Year | Owne |
|       |      |       |       |       |       |       |       |       |      | port |      |      |
|       |      |       |       |       |       |       |       |       |      | ing  |      |      |
|       |      |       |       |       |       |       |       |       |      | Good |      |      |
|       |      |       |       |       |       |       |       |       |      | s, B |      |      |
|       |      |       |       |       |       |       |       |       |      | loom |      |      |
|       |      |       |       |       |       |       |       |       |      | ingd |      |      |
|       |      |       |       |       |       |       |       |       |      | ale' |      |      |
|       |      |       |       |       |       |       |       |       |      | s -  |      |      |
|       |      |       |       |       |       |       |       |       |      | The  |      |      |
|       |      |       |       |       |       |       |       |       |      | Outl |      |      |
|       |      |       |       |       |       |       |       |       |      | et S |      |      |
|       |      |       |       |       |       |       |       |       |      | tore |      |      |
|       |      |       |       |       |       |       |       |       |      | , Ra |      |      |
|       |      |       |       |       |       |       |       |       |      | info |      |      |
|       |      |       |       |       |       |       |       |       |      | rest |      |      |
|       |      |       |       |       |       |       |       |       |      | Cafe |      |      |
|       |      |       |       |       |       |       |       |       |      | , Ce |      |      |
|       |      |       |       |       |       |       |       |       |      | ntur |      |      |
|       |      |       |       |       |       |       |       |       |      | y 21 |      |      |
|       |      |       |       |       |       |       |       |       |      | Depa |      |      |
|       |      |       |       |       |       |       |       |       |      | rtme |      |      |
|       |      |       |       |       |       |       |       |       |      | nt S |      |      |
|       |      |       |       |       |       |       |       |       |      | tore |      |      |
|       |      |       |       |       |       |       |       |       |      | ,    |      |      |
|       |      |       |       |       |       |       |       |       |      | Off  |      |      |
|       |      |       |       |       |       |       |       |       |      | 5th  |      |      |
|       |      |       |       |       |       |       |       |       |      | Saks |      |      |
|       |      |       |       |       |       |       |       |       |      | Fift |      |      |
|       |      |       |       |       |       |       |       |       |      | h Av |      |      |
|       |      |       |       |       |       |       |       |       |      | enue |      |      |
|       |      |       |       |       |       |       |       |       |      | ,    |      |      |
|       |      |       |       |       |       |       |       |       |      | Gap  |      |      |
|       |      |       |       |       |       |       |       |       |      | Outl |      |      |
|       |      |       |       |       |       |       |       |       |      | et,  |      |      |
|       |      |       |       |       |       |       |       |       |      | Fore |      |      |
|       |      |       |       |       |       |       |       |       |      | ver  |      |      |
|       |      |       |       |       |       |       |       |       |      | 21,  |      |      |
|       |      |       |       |       |       |       |       |       |      | Supe |      |      |
|       |      |       |       |       |       |       |       |       |      | r Ta |      |      |
|       |      |       |       |       |       |       |       |       |      | rget |      |      |
|       |      |       |       |       |       |       |       |       |      | , Br |      |      |
|       |      |       |       |       |       |       |       |       |      | ands |      |      |
|       |      |       |       |       |       |       |       |       |      | mart |      |      |
|       |      |       |       |       |       |       |       |       |      | USA, |      |      |
|       |      |       |       |       |       |       |       |       |      | Tren |      |      |
|       |      |       |       |       |       |       |       |       |      | dmax |      |      |
|       |      |       |       |       |       |       |       |       |      | Outl |      |      |
|       |      |       |       |       |       |       |       |       |      | et S |      |      |
|       |      |       |       |       |       |       |       |       |      | tore |      |      |
|       |      |       |       |       |       |       |       |       |      | , Bu |      |      |
|       |      |       |       |       |       |       |       |       |      | rlin |      |      |
|       |      |       |       |       |       |       |       |       |      | gton |      |      |
|       |      |       |       |       |       |       |       |       |      | Coat |      |      |
|       |      |       |       |       |       |       |       |       |      | Fact |      |      |
|       |      |       |       |       |       |       |       |       |      | ory, |      |      |
|       |      |       |       |       |       |       |       |       |      | Rega |      |      |
|       |      |       |       |       |       |       |       |       |      | l Ci |      |      |
|       |      |       |       |       |       |       |       |       |      | nema |      |      |
|       |      |       |       |       |       |       |       |       |      | s, I |      |      |
|       |      |       |       |       |       |       |       |       |      | MAX. |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 12   | Woodf | https | Schau | https | Chica | https | 2,224 | 300; | Sear | 1971 | Simo |
| ://en |      | ield  | ://en | mburg | ://en | go    | ://en | ,000  | 300  | s, J |      | n Pr |
| .wiki |      | Mall  | .wiki | , Ill | .wiki |       | .wiki | squar |      | CPen |      | oper |
| pedia |      |       | pedia | inois | pedia |       | pedia | e     |      | ney, |      | ty G |
| .org/ |      |       | .org/ |       | .org/ |       | .org/ | feet  |      | Macy |      | roup |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (206, |      | 's,  |      |      |
| List_ |      |       | Woodf |       | Schau |       | Chica | 600 m |      | Nord |      |      |
| of_la |      |       | ield_ |       | mburg |       | go    |       |      | stro |      |      |
| rgest |      |       | Mall  |       | ,_Ill |       |       |       |      | m,   |      |      |
| _shop |      |       |       |       | inois |       |       |       |      | Lord |      |      |
| ping_ |      |       |       |       |       |       |       |       |      | & Ta |      |      |
| malls |      |       |       |       |       |       |       |       |      | ylor |      |      |
| _in_t |      |       |       |       |       |       |       |       |      |      |      |      |
| he_Un |      |       |       |       |       |       |       |       |      |      |      |      |
| ited_ |      |       |       |       |       |       |       |       |      |      |      |      |
| State |      |       |       |       |       |       |       |       |      |      |      |      |
| s     |      |       |       |       |       |       |       |       |      |      |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 13   | Palis | https | West  | https | New   | https | 2,217 | 400; | Lord | 1998 | The  |
| ://en |      | ades  | ://en | Nyack | ://en | York  | ://en | ,322  | 400  | & Ta |      | Pyra |
| .wiki |      | Cente | .wiki | , New | .wiki | City  | .wiki | squar |      | ylor |      | mid  |
| pedia |      | r     | pedia | York  | pedia |       | pedia | e     |      | , Ba |      | Comp |
| .org/ |      |       | .org/ |       | .org/ |       | .org/ | feet  |      | rnes |      | anie |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (205, |      | & No |      | s    |
| List_ |      |       | Palis |       | West_ |       | New_Y | 996.0 |      | ble, |      |      |
| of_la |      |       | ades_ |       | Nyack |       | ork_m |  m    |      | Macy |      |      |
| rgest |      |       | Cente |       | ,_New |       | etrop |       |      | 's,  |      |      |
| _shop |      |       | r     |       | _York |       | olita |       |      | Targ |      |      |
| ping_ |      |       |       |       |       |       | n_are |       |      | et,  |      |      |
| malls |      |       |       |       |       |       | a     |       |      | AMC  |      |      |
| _in_t |      |       |       |       |       |       |       |       |      | Thea |      |      |
| he_Un |      |       |       |       |       |       |       |       |      | ters |      |      |
| ited_ |      |       |       |       |       |       |       |       |      |      |      |      |
| State |      |       |       |       |       |       |       |       |      |      |      |      |
| s     |      |       |       |       |       |       |       |       |      |      |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 14   | Millc | https | Erie, | https | Erie  | https | 2,200 | 175; | Macy | 1975 | Cafa |
| ://en |      | reek  | ://en | Penns | ://en | Count | ://en | ,000  | 175  | 's,  |      | ro C |
| .wiki |      | Mall  | .wiki | ylvan | .wiki | y     | .wiki | squar |      | JCPe |      | ompa |
| pedia |      |       | pedia | ia    | pedia |       | pedia | e     |      | nney |      | ny   |
| .org/ |      |       | .org/ |       | .org/ |       | .org/ | feet  |      | , Bo |      |      |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (200, |      | scov |      |      |
| List_ |      |       | Millc |       | Erie, |       | Erie_ | 000 m |      | 's,  |      |      |
| of_la |      |       | reek_ |       | _Penn |       | Count |       |      | Bon- |      |      |
| rgest |      |       | Mall  |       | sylva |       | y,_Pe |       |      | Ton, |      |      |
| _shop |      |       |       |       | nia   |       | nnsyl |       |      | H&M  |      |      |
| ping_ |      |       |       |       |       |       | vania |       |      |      |      |      |
| malls |      |       |       |       |       |       |       |       |      |      |      |      |
| _in_t |      |       |       |       |       |       |       |       |      |      |      |      |
| he_Un |      |       |       |       |       |       |       |       |      |      |      |      |
| ited_ |      |       |       |       |       |       |       |       |      |      |      |      |
| State |      |       |       |       |       |       |       |       |      |      |      |      |
| s     |      |       |       |       |       |       |       |       |      |      |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 15   | Plaza | https | San   | https | San   | https | 2,173 | 300+ | Macy | 1968 | Plaz |
| ://en |      | Las A | ://en | Juan, | ://en | Juan  | ://en | ,000  | ;    | 's,  |      | a    |
| .wiki |      | méric | .wiki | Puert | .wiki |       | .wiki | squar | 300+ | Sear |      | Las  |
| pedia |      | as    | pedia | o     | pedia |       | pedia | e     |      | s, J |      | Amér |
| .org/ |      |       | .org/ | Rico  | .org/ |       | .org/ | feet  |      | CPen |      | icas |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (201, |      | ney, |      | ,    |
| List_ |      |       | Plaza |       | San_J |       | San_J | 900 m |      | Old  |      | Inc, |
| of_la |      |       | _Las_ |       | uan,_ |       | uan,_ |       |      | Navy |      | Empr |
| rgest |      |       | Am%C3 |       | Puert |       | Puert |       |      | , Ca |      | esas |
| _shop |      |       | %A9ri |       | o_Ric |       | o_Ric |       |      | ribb |      | Fona |
| ping_ |      |       | cas   |       | o     |       | o     |       |      | ean  |      | lled |
| malls |      |       |       |       |       |       |       |       |      | Cine |      | as,  |
| _in_t |      |       |       |       |       |       |       |       |      | mas, |      | Inc. |
| he_Un |      |       |       |       |       |       |       |       |      | Kmar |      |      |
| ited_ |      |       |       |       |       |       |       |       |      | t,   |      |      |
| State |      |       |       |       |       |       |       |       |      | Toys |      |      |
| s     |      |       |       |       |       |       |       |       |      | "R"  |      |      |
|       |      |       |       |       |       |       |       |       |      | Us,  |      |      |
|       |      |       |       |       |       |       |       |       |      | Fore |      |      |
|       |      |       |       |       |       |       |       |       |      | ver  |      |      |
|       |      |       |       |       |       |       |       |       |      | 21   |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 16   | South | https | Brain | https | Bosto | https | 2,165 | 225; | Macy | 1961 | Simo |
| ://en |      | Shore | ://en | tree, | ://en | n     | ://en | ,000  | 225  | 's,  |      | n Pr |
| .wiki |      | Plaza | .wiki | Massa | .wiki |       | .wiki | squar |      | Lord |      | oper |
| pedia |      |       | pedia | chuse | pedia |       | pedia | e     |      | & Ta |      | ty G |
| .org/ |      |       | .org/ | tts   | .org/ |       | .org/ | feet  |      | ylor |      | roup |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (201, |      | , Se |      |      |
| List_ |      |       | South |       | Brain |       | Bosto | 100 m |      | ars, |      |      |
| of_la |      |       | _Shor |       | tree, |       | n     |       |      | Nord |      |      |
| rgest |      |       | e_Pla |       | _Mass |       |       |       |      | stro |      |      |
| _shop |      |       | za    |       | achus |       |       |       |      | m, T |      |      |
| ping_ |      |       |       |       | etts  |       |       |       |      | arge |      |      |
| malls |      |       |       |       |       |       |       |       |      | t    |      |      |
| _in_t |      |       |       |       |       |       |       |       |      |      |      |      |
| he_Un |      |       |       |       |       |       |       |       |      |      |      |      |
| ited_ |      |       |       |       |       |       |       |       |      |      |      |      |
| State |      |       |       |       |       |       |       |       |      |      |      |      |
| s     |      |       |       |       |       |       |       |       |      |      |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 17   | Westf | https | Param | https | New   | https | 2,132 | 346; | Macy | 1957 | West |
| ://en |      | ield  | ://en | us,   | ://en | York  | ://en | ,112  | 346  | ’s,  |      | fiel |
| .wiki |      | Garde | .wiki | New J | .wiki | City  | .wiki | squar |      | Nord |      | d Co |
| pedia |      | n     | pedia | ersey | pedia |       | pedia | e     |      | stro |      | rpor |
| .org/ |      | State | .org/ |       | .org/ |       | .org/ | feet  |      | m, N |      | atio |
| wiki/ |      | Plaza | wiki/ |       | wiki/ |       | wiki/ | (198, |      | eima |      | n    |
| List_ |      |       | Westf |       | Param |       | New_Y | 079.7 |      | n Ma |      |      |
| of_la |      |       | ield_ |       | us,_N |       | ork_m |  m    |      | rcus |      |      |
| rgest |      |       | Garde |       | ew_Je |       | etrop |       |      | ,    |      |      |
| _shop |      |       | n_Sta |       | rsey  |       | olita |       |      | Lord |      |      |
| ping_ |      |       | te_Pl |       |       |       | n_are |       |      | & Ta |      |      |
| malls |      |       | aza   |       |       |       | a     |       |      | ylor |      |      |
| _in_t |      |       |       |       |       |       |       |       |      | ,    |      |      |
| he_Un |      |       |       |       |       |       |       |       |      | AMC  |      |      |
| ited_ |      |       |       |       |       |       |       |       |      | Thea |      |      |
| State |      |       |       |       |       |       |       |       |      | tres |      |      |
| s     |      |       |       |       |       |       |       |       |      |      |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 18   | Lakew | https | Lakew | https | Los A | https | 2,092 | 255; | Macy | 1951 | Mace |
| ://en |      | ood C | ://en | ood,  | ://en | ngele | ://en | ,710  | 255  | 's,  |      | rich |
| .wiki |      | enter | .wiki | Calif | .wiki | s     | .wiki | squar |      | Targ |      |      |
| pedia |      |       | pedia | ornia | pedia |       | pedia | e     |      | et,  |      |      |
| .org/ |      |       | .org/ |       | .org/ |       | .org/ | feet  |      | Fore |      |      |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (194, |      | ver  |      |      |
| List_ |      |       | Lakew |       | Lakew |       | Los_A | 419 m |      | 21,  |      |      |
| of_la |      |       | ood_C |       | ood,_ |       | ngele |       |      | JCPe |      |      |
| rgest |      |       | enter |       | Calif |       | s     |       |      | nney |      |      |
| _shop |      |       |       |       | ornia |       |       |       |      | , Pa |      |      |
| ping_ |      |       |       |       |       |       |       |       |      | cifi |      |      |
| malls |      |       |       |       |       |       |       |       |      | c Th |      |      |
| _in_t |      |       |       |       |       |       |       |       |      | eatr |      |      |
| he_Un |      |       |       |       |       |       |       |       |      | es,  |      |      |
| ited_ |      |       |       |       |       |       |       |       |      | Cost |      |      |
| State |      |       |       |       |       |       |       |       |      | co   |      |      |
| s     |      |       |       |       |       |       |       |       |      |      |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 19   | Scott | https | Scott | https | Phoen | https | 2,049 | 250+ | Macy | 1961 | Mace |
| ://en |      | sdale | ://en | sdale | ://en | ix    | ://en | ,169  | ;    | ’s,  |      | rich |
| .wiki |      | Fashi | .wiki | , Ari | .wiki |       | .wiki | squar | 250+ | Dick |      |      |
| pedia |      | on Sq | pedia | zona  | pedia |       | pedia | e     |      | 's S |      |      |
| .org/ |      | uare  | .org/ |       | .org/ |       | .org/ | feet  |      | port |      |      |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (190, |      | ing  |      |      |
| List_ |      |       | Scott |       | Scott |       | Phoen | 374.0 |      | Good |      |      |
| of_la |      |       | sdale |       | sdale |       | ix,_A |  m    |      | s, D |      |      |
| rgest |      |       | _Fash |       | ,_Ari |       | rizon |       |      | illa |      |      |
| _shop |      |       | ion_S |       | zona  |       | a     |       |      | rd's |      |      |
| ping_ |      |       | quare |       |       |       |       |       |      | , Fo |      |      |
| malls |      |       |       |       |       |       |       |       |      | reve |      |      |
| _in_t |      |       |       |       |       |       |       |       |      | r    |      |      |
| he_Un |      |       |       |       |       |       |       |       |      | 21,  |      |      |
| ited_ |      |       |       |       |       |       |       |       |      | H&M, |      |      |
| State |      |       |       |       |       |       |       |       |      | Nord |      |      |
| s     |      |       |       |       |       |       |       |       |      | stro |      |      |
|       |      |       |       |       |       |       |       |       |      | m, N |      |      |
|       |      |       |       |       |       |       |       |       |      | eima |      |      |
|       |      |       |       |       |       |       |       |       |      | n Ma |      |      |
|       |      |       |       |       |       |       |       |       |      | rcus |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 20   | Oakbr | https | Oak B | https | Chica | https | 2,018 | 175; | Macy | 1962 | Gene |
| ://en |      | ook C | ://en | rook, | ://en | go    | ://en | ,000  | 175  | ’s,  |      | ral  |
| .wiki |      | enter | .wiki | Illin | .wiki |       | .wiki | squar |      | Sear |      | Grow |
| pedia |      |       | pedia | ois   | pedia |       | pedia | e     |      | s, N |      | th P |
| .org/ |      |       | .org/ |       | .org/ |       | .org/ | feet  |      | ords |      | rope |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (187, |      | trom |      | rtie |
| List_ |      |       | Oakbr |       | Oak_B |       | Chica | 500 m |      | , Ne |      | s, C |
| of_la |      |       | ook_C |       | rook, |       | go    |       |      | iman |      | alPE |
| rgest |      |       | enter |       | _Illi |       |       |       |      | Marc |      | RS   |
| _shop |      |       |       |       | nois  |       |       |       |      | us,  |      |      |
| ping_ |      |       |       |       |       |       |       |       |      | Lord |      |      |
| malls |      |       |       |       |       |       |       |       |      | & Ta |      |      |
| _in_t |      |       |       |       |       |       |       |       |      | ylor |      |      |
| he_Un |      |       |       |       |       |       |       |       |      |      |      |      |
| ited_ |      |       |       |       |       |       |       |       |      |      |      |      |
| State |      |       |       |       |       |       |       |       |      |      |      |      |
| s     |      |       |       |       |       |       |       |       |      |      |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
