+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| url       | Number | Number_li | Presiden | Name     | Prior_of | Party    | Term     | Vice_Pre |
| https://e | 18     | https://e | March 4, | Ulysses  | Commandi | Republic | (1872)   | Henry    |
| n.wikiped |        | n.wikiped | 1869     | S. Grant | ng       | an       |  22      | Wilson   |
| ia.org/wi |        | ia.org/wi |  –       |  1822–18 | General  |          |  (1873)  |  March   |
| ki/List_o |        | ki/Presid |  March   | 85       | of the   |          |          | 4, 1873  |
| f_Preside |        | ency_of_U | 4, 1877  |  (Lived: | U.S.     |          |          | –        |
| nts_of_th |        | lysses_S. |          | 63       | Army     |          |          | November |
| e_United_ |        | _Grant    |          | years)   |  (1864–1 |          |          | 22, 1875 |
| States#Pr |        |           |          |  [54][55 | 869)     |          |          |  (Died   |
| esidents  |        |           |          | ][56]    |  (No     |          |          | in       |
|           |        |           |          |          | prior    |          |          | office)  |
|           |        |           |          |          | elected  |          |          |          |
|           |        |           |          |          | office); |          |          |          |
|           |        |           |          |          | Commandi |          |          |          |
|           |        |           |          |          | ng       |          |          |          |
|           |        |           |          |          | General  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | U.S.     |          |          |          |
|           |        |           |          |          | Army     |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 18     | https://e | March 4, | Ulysses  | Commandi | Republic | (1872)   | Office   |
| n.wikiped |        | n.wikiped | 1869     | S. Grant | ng       | an       |  22      | vacant   |
| ia.org/wi |        | ia.org/wi |  –       |  1822–18 | General  |          |  (1873)  | (Balance |
| ki/List_o |        | ki/Presid |  March   | 85       | of the   |          |          | of       |
| f_Preside |        | ency_of_U | 4, 1877  |  (Lived: | U.S.     |          |          | Wilson's |
| nts_of_th |        | lysses_S. |          | 63       | Army     |          |          | term)    |
| e_United_ |        | _Grant    |          | years)   |  (1864–1 |          |          |          |
| States#Pr |        |           |          |  [54][55 | 869)     |          |          |          |
| esidents  |        |           |          | ][56]    |  (No     |          |          |          |
|           |        |           |          |          | prior    |          |          |          |
|           |        |           |          |          | elected  |          |          |          |
|           |        |           |          |          | office); |          |          |          |
|           |        |           |          |          | Commandi |          |          |          |
|           |        |           |          |          | ng       |          |          |          |
|           |        |           |          |          | General  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | U.S.     |          |          |          |
|           |        |           |          |          | Army     |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 19     | https://e | March 4, | Rutherfo | 29th &   | Republic | (1876)   | William  |
| n.wikiped |        | n.wikiped | 1877     | rd B.    | 32nd     | an       |  23      | A.       |
| ia.org/wi |        | ia.org/wi |  –       | Hayes    | Governor |          |  (1877)  | Wheeler  |
| ki/List_o |        | ki/Presid |  March   |  1822–18 | of Ohio  |          |          |          |
| f_Preside |        | ency_of_R | 4, 1881  | 93       |  (1868–1 |          |          |          |
| nts_of_th |        | utherford |          |  (Lived: | 872 & 18 |          |          |          |
| e_United_ |        | _B._Hayes |          | 70       | 76–1877) |          |          |          |
| States#Pr |        |           |          | years)   | ; 29th & |          |          |          |
| esidents  |        |           |          |  [57][58 | 32nd     |          |          |          |
|           |        |           |          | ][59]    | Governor |          |          |          |
|           |        |           |          |          | of Ohio  |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e |        |           | March 4, | James A. | U.S. Rep | Republic | (1880)   | Chester  |
| n.wikiped |        |           | 1881     | Garfield | resentat | an       |  24      | A.       |
| ia.org/wi |        |           |  –       |  1831–18 | ive for  |          |  (1881)  | Arthur   |
| ki/List_o |        |           |  Septemb | 81       | Ohio's   |          |  (1881)  |  (Succee |
| f_Preside |        |           | er 19,   |  (Lived: | 19th     |          |  [j]     | ded to p |
| nts_of_th |        |           | 1881     | 49       | District |          |          | residenc |
| e_United_ |        |           |  (Died   | years)   |  (1863–1 |          |          | y)       |
| States#Pr |        |           | in       |  [60][61 | 881);    |          |          |          |
| esidents  |        |           | office)  | ][62]    | U.S. Rep |          |          |          |
|           |        |           |          |          | resentat |          |          |          |
|           |        |           |          |          | ive      |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 21     | https://e | Septembe | Chester  | 20th     | Republic | (1880)   | Office   |
| n.wikiped |        | n.wikiped | r 19,    | A.       |  Vice Pr | an       |  24      | vacant   |
| ia.org/wi |        | ia.org/wi | 1881     | Arthur   | esident  |          |  (1881)  |          |
| ki/List_o |        | ki/Presid |  [p]     |  1829–18 | of the   |          |  (1881)  |          |
| f_Preside |        | ency_of_C |  –       | 86       | United   |          |  [j]     |          |
| nts_of_th |        | hester_A. |  March   |  (Lived: | States;  |          |          |          |
| e_United_ |        | _Arthur   | 4, 1885  | 57       | 20th     |          |          |          |
| States#Pr |        |           |          | years)   |  Vice Pr |          |          |          |
| esidents  |        |           |          |  [63][64 | esident  |          |          |          |
|           |        |           |          | ][65]    | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 22     | https://e | March 4, | Grover C | 28th     | Democrat | (1884)   | Thomas   |
| n.wikiped |        | n.wikiped | 1885     | leveland | Governor | ic       |  25      | A. Hendr |
| ia.org/wi |        | ia.org/wi |  –       |  1837–19 | of New   |          |  (1885)  | icks     |
| ki/List_o |        | ki/Presid |  March   | 08       | York     |          |          |  March 4 |
| f_Preside |        | encies_of | 4, 1889  |  (Lived: |  (1883–1 |          |          | –        |
| nts_of_th |        | _Grover_C |          | 71       | 885);    |          |          | November |
| e_United_ |        | leveland  |          | years)   | 28th     |          |          | 25, 1885 |
| States#Pr |        |           |          | [66][67] | Governor |          |          |  (Died   |
| esidents  |        |           |          |          | of New   |          |          | in       |
|           |        |           |          |          | York     |          |          | office)  |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 22     | https://e | March 4, | Grover C | 28th     | Democrat | (1884)   | Office   |
| n.wikiped |        | n.wikiped | 1885     | leveland | Governor | ic; Demo |  25      | vacant   |
| ia.org/wi |        | ia.org/wi |  –       |  1837–19 | of New   | cratic   |  (1885)  | (Balance |
| ki/List_o |        | ki/Presid |  March   | 08       | York     |          |          | of Hendr |
| f_Preside |        | encies_of | 4, 1889  |  (Lived: |  (1883–1 |          |          | icks's   |
| nts_of_th |        | _Grover_C |          | 71       | 885);    |          |          | term)    |
| e_United_ |        | leveland  |          | years)   | 28th     |          |          |          |
| States#Pr |        |           |          | [66][67] | Governor |          |          |          |
| esidents  |        |           |          |          | of New   |          |          |          |
|           |        |           |          |          | York     |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 23     | https://e | March 4, | Benjamin | U.S.     | Republic | (1888)   | Levi P.  |
| n.wikiped |        | n.wikiped | 1889     | Harrison | Senator  | an       |  26      | Morton   |
| ia.org/wi |        | ia.org/wi |  –       |  1833–19 | (Class   |          |  (1889)  |          |
| ki/List_o |        | ki/Presid |  March   | 01       | 1) from  |          |          |          |
| f_Preside |        | ency_of_B | 4, 1893  |  (Lived: | Indiana  |          |          |          |
| nts_of_th |        | enjamin_H |          | 67       |  (1881–1 |          |          |          |
| e_United_ |        | arrison   |          | years)   | 887);    |          |          |          |
| States#Pr |        |           |          |  [68][69 | U.S.     |          |          |          |
| esidents  |        |           |          | ][70]    | Senator  |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 24     | https://e | March 4, | Grover C | 22nd     | Democrat | (1892)   | Adlai St |
| n.wikiped |        | n.wikiped | 1893     | leveland |  Preside | ic       |  27      | evenson  |
| ia.org/wi |        | ia.org/wi |  –       |  1837–19 | nt of    |          |  (1893)  |          |
| ki/List_o |        | ki/Presid |  March   | 08       | the      |          |          |          |
| f_Preside |        | encies_of | 4, 1897  |  (Lived: | United   |          |          |          |
| nts_of_th |        | _Grover_C |          | 71       | States   |          |          |          |
| e_United_ |        | leveland  |          | years)   |  (1885–1 |          |          |          |
| States#Pr |        |           |          | [66][67] | 889);    |          |          |          |
| esidents  |        |           |          |          | 22nd     |          |          |          |
|           |        |           |          |          |  Preside |          |          |          |
|           |        |           |          |          | nt of    |          |          |          |
|           |        |           |          |          | the      |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 25     | https://e | March 4, | William  | 39th     | Republic | (1896)   | Garret   |
| n.wikiped |        | n.wikiped | 1897     | McKinley | Governor | an       |  28      | Hobart   |
| ia.org/wi |        | ia.org/wi |  –       |  1843–19 | of Ohio  |          |  (1897)  |  March   |
| ki/List_o |        | ki/Presid |  Septemb | 01       |  (1892–1 |          |          | 4, 1897  |
| f_Preside |        | ency_of_W | er 14,   |  (Lived: | 896);    |          |          | –        |
| nts_of_th |        | illiam_Mc | 1901     | 58       | 39th     |          |          | November |
| e_United_ |        | Kinley    |  (Died   | years)   | Governor |          |          | 21, 1899 |
| States#Pr |        |           | in       |  [71][72 | of Ohio  |          |          |  (Died   |
| esidents  |        |           | office)  | ][73]    |          |          |          | in       |
|           |        |           |          |          |          |          |          | office)  |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 25     | https://e | March 4, | William  | 39th     | Republic | (1896)   | Office   |
| n.wikiped |        | n.wikiped | 1897     | McKinley | Governor | an       |  28      | vacant   |
| ia.org/wi |        | ia.org/wi |  –       |  1843–19 | of Ohio  |          |  (1897)  | (Balance |
| ki/List_o |        | ki/Presid |  Septemb | 01       |  (1892–1 |          |          | of       |
| f_Preside |        | ency_of_W | er 14,   |  (Lived: | 896);    |          |          | Hobart's |
| nts_of_th |        | illiam_Mc | 1901     | 58       | 39th     |          |          | term)    |
| e_United_ |        | Kinley    |  (Died   | years)   | Governor |          |          |          |
| States#Pr |        |           | in       |  [71][72 | of Ohio  |          |          |          |
| esidents  |        |           | office)  | ][73]    |          |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 25     | https://e | March 4, | William  | 39th     | Republic | (1900)   | Theodore |
| n.wikiped |        | n.wikiped | 1897     | McKinley | Governor | an       |  29      | Roosevel |
| ia.org/wi |        | ia.org/wi |  –       |  1843–19 | of Ohio  |          |  (1901)  | t        |
| ki/List_o |        | ki/Presid |  Septemb | 01       |  (1892–1 |          |  (1901)  |  March 4 |
| f_Preside |        | ency_of_W | er 14,   |  (Lived: | 896);    |          |  [j]     | – Septem |
| nts_of_th |        | illiam_Mc | 1901     | 58       | 39th     |          |          | ber 14,  |
| e_United_ |        | Kinley    |  (Died   | years)   | Governor |          |          | 1901     |
| States#Pr |        |           | in       |  [71][72 | of Ohio  |          |          |  (Succee |
| esidents  |        |           | office)  | ][73]    |          |          |          | ded to p |
|           |        |           |          |          |          |          |          | residenc |
|           |        |           |          |          |          |          |          | y)       |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 26     | https://e | Septembe | Theodore | 25th     | Republic | (1900)   | Office   |
| n.wikiped |        | n.wikiped | r 14,    | Roosevel |  Vice Pr | an       |  29      | vacant   |
| ia.org/wi |        | ia.org/wi | 1901     | t        | esident  |          |  (1901)  |  Septemb |
| ki/List_o |        | ki/Presid |  –       |  1858–19 | of the   |          |  (1901)  | er 14,   |
| f_Preside |        | ency_of_T |  March   | 19       | United   |          |  [j]     | 1901 –   |
| nts_of_th |        | heodore_R | 4, 1909  |  (Lived: | States;  |          |          | March 4, |
| e_United_ |        | oosevelt  |          | 60       | 25th     |          |          | 1905     |
| States#Pr |        |           |          | years)   |  Vice Pr |          |          |          |
| esidents  |        |           |          |  [74][75 | esident  |          |          |          |
|           |        |           |          | ][76]    | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 26     | https://e | Septembe | Theodore | 25th     | Republic | (1904)   | Charles  |
| n.wikiped |        | n.wikiped | r 14,    | Roosevel |  Vice Pr | an       |  30      | W. Fairb |
| ia.org/wi |        | ia.org/wi | 1901     | t        | esident  |          |  (1905)  | anks     |
| ki/List_o |        | ki/Presid |  –       |  1858–19 | of the   |          |          |  March   |
| f_Preside |        | ency_of_T |  March   | 19       | United   |          |          | 4, 1905  |
| nts_of_th |        | heodore_R | 4, 1909  |  (Lived: | States;  |          |          | – March  |
| e_United_ |        | oosevelt  |          | 60       | 25th     |          |          | 4, 1909  |
| States#Pr |        |           |          | years)   |  Vice Pr |          |          |          |
| esidents  |        |           |          |  [74][75 | esident  |          |          |          |
|           |        |           |          | ][76]    | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 27     | https://e | March 4, | William  | 42nd     | Republic | (1908)   | James S. |
| n.wikiped |        | n.wikiped | 1909     | Howard   |  United  | an       |  31      | Sherman  |
| ia.org/wi |        | ia.org/wi |  –       | Taft     | States S |          |  (1909)  |  March   |
| ki/List_o |        | ki/Presid |  March   |  1857–19 | ecretary |          |          | 4, 1909  |
| f_Preside |        | ency_of_W | 4, 1913  | 30       | of War   |          |          | –        |
| nts_of_th |        | illiam_Ho |          |  (Lived: |  (1904–1 |          |          | October  |
| e_United_ |        | ward_Taft |          | 72       | 908);    |          |          | 30, 1912 |
| States#Pr |        |           |          | years)   | 42nd     |          |          |  (Died   |
| esidents  |        |           |          |  [77][78 |  United  |          |          | in       |
|           |        |           |          | ][79]    | States S |          |          | office)  |
|           |        |           |          |          | ecretary |          |          |          |
|           |        |           |          |          | of War   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 27     | https://e | March 4, | William  | 42nd     | Republic | (1908)   | Office   |
| n.wikiped |        | n.wikiped | 1909     | Howard   |  United  | an       |  31      | vacant   |
| ia.org/wi |        | ia.org/wi |  –       | Taft     | States S |          |  (1909)  | (Balance |
| ki/List_o |        | ki/Presid |  March   |  1857–19 | ecretary |          |          | of Sherm |
| f_Preside |        | ency_of_W | 4, 1913  | 30       | of War   |          |          | an's     |
| nts_of_th |        | illiam_Ho |          |  (Lived: |  (1904–1 |          |          | term)    |
| e_United_ |        | ward_Taft |          | 72       | 908);    |          |          |          |
| States#Pr |        |           |          | years)   | 42nd     |          |          |          |
| esidents  |        |           |          |  [77][78 |  United  |          |          |          |
|           |        |           |          | ][79]    | States S |          |          |          |
|           |        |           |          |          | ecretary |          |          |          |
|           |        |           |          |          | of War   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 28     | https://e | March 4, | Woodrow  | 34th     | Democrat | (1912)   | Thomas   |
| n.wikiped |        | n.wikiped | 1913     | Wilson   | Governor | ic       |  32      | R.       |
| ia.org/wi |        | ia.org/wi |  –       |  1856–19 | of New   |          |  (1913)  | Marshall |
| ki/List_o |        | ki/Presid |  March   | 24       | Jersey   |          |          |          |
| f_Preside |        | ency_of_W | 4, 1921  |  (Lived: |  (1911–1 |          |          |          |
| nts_of_th |        | oodrow_Wi |          | 67       | 913);    |          |          |          |
| e_United_ |        | lson      |          | years)   | 34th     |          |          |          |
| States#Pr |        |           |          |  [80][81 | Governor |          |          |          |
| esidents  |        |           |          | ][82]    | of New   |          |          |          |
|           |        |           |          |          | Jersey   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 28     | https://e | March 4, | Woodrow  | 34th     | Democrat | (1916)   | Thomas   |
| n.wikiped |        | n.wikiped | 1913     | Wilson   | Governor | ic       |  33      | R.       |
| ia.org/wi |        | ia.org/wi |  –       |  1856–19 | of New   |          |  (1917)  | Marshall |
| ki/List_o |        | ki/Presid |  March   | 24       | Jersey   |          |          |          |
| f_Preside |        | ency_of_W | 4, 1921  |  (Lived: |  (1911–1 |          |          |          |
| nts_of_th |        | oodrow_Wi |          | 67       | 913);    |          |          |          |
| e_United_ |        | lson      |          | years)   | 34th     |          |          |          |
| States#Pr |        |           |          |  [80][81 | Governor |          |          |          |
| esidents  |        |           |          | ][82]    | of New   |          |          |          |
|           |        |           |          |          | Jersey   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 29     | https://e | March 4, | Warren   | U.S.     | Republic | (1920)   | Calvin   |
| n.wikiped |        | n.wikiped | 1921     | G.       | Senator  | an       |  34      | Coolidge |
| ia.org/wi |        | ia.org/wi |  –       | Harding  | (Class   |          |  (1921)  |  (Succee |
| ki/List_o |        | ki/Presid |  August  |  1865–19 | 3) from  |          |  (1923)  | ded to p |
| f_Preside |        | ency_of_W | 2, 1923  | 23       | Ohio     |          |  [j]     | residenc |
| nts_of_th |        | arren_G._ |  (Died   |  (Lived: |  (1915–1 |          |          | y)       |
| e_United_ |        | Harding   | in       | 57       | 921);    |          |          |          |
| States#Pr |        |           | office)  | years)   | U.S.     |          |          |          |
| esidents  |        |           |          |  [83][84 | Senator  |          |          |          |
|           |        |           |          | ][85]    |          |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 30     | https://e | August   | Calvin   | 29th     | Republic | (1920)   | Office   |
| n.wikiped |        | n.wikiped | 2, 1923  | Coolidge |  Vice Pr | an       |  34      | vacant   |
| ia.org/wi |        | ia.org/wi |  [q]     |  1872–19 | esident  |          |  (1921)  |  August  |
| ki/List_o |        | ki/Presid |  –       | 33       | of the   |          |  (1923)  | 2, 1923  |
| f_Preside |        | ency_of_C |  March   |  (Lived: | United   |          |  [j]     | – March  |
| nts_of_th |        | alvin_Coo | 4, 1929  | 60       | States;  |          |          | 4, 1925  |
| e_United_ |        | lidge     |          | years)   | 29th     |          |          |          |
| States#Pr |        |           |          |  [86][87 |  Vice Pr |          |          |          |
| esidents  |        |           |          | ][88]    | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 30     | https://e | August   | Calvin   | 29th     | Republic | (1924)   | Charles  |
| n.wikiped |        | n.wikiped | 2, 1923  | Coolidge |  Vice Pr | an       |  35      | G. Dawes |
| ia.org/wi |        | ia.org/wi |  [q]     |  1872–19 | esident  |          |  (1925)  |  March   |
| ki/List_o |        | ki/Presid |  –       | 33       | of the   |          |          | 4, 1925  |
| f_Preside |        | ency_of_C |  March   |  (Lived: | United   |          |          | – March  |
| nts_of_th |        | alvin_Coo | 4, 1929  | 60       | States;  |          |          | 4, 1929  |
| e_United_ |        | lidge     |          | years)   | 29th     |          |          |          |
| States#Pr |        |           |          |  [86][87 |  Vice Pr |          |          |          |
| esidents  |        |           |          | ][88]    | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 31     | https://e | March 4, | Herbert  | 3rd      | Republic | (1928)   | Charles  |
| n.wikiped |        | n.wikiped | 1929     | Hoover   |  United  | an       |  36      | Curtis   |
| ia.org/wi |        | ia.org/wi |  –       |  1874–19 | States S |          |  (1929)  |          |
| ki/List_o |        | ki/Presid |  March   | 64       | ecretary |          |          |          |
| f_Preside |        | ency_of_H | 4, 1933  |  (Lived: | of       |          |          |          |
| nts_of_th |        | erbert_Ho |          | 90       | Commerce |          |          |          |
| e_United_ |        | over      |          | years)   |  (1921–1 |          |          |          |
| States#Pr |        |           |          |  [89][90 | 928)     |          |          |          |
| esidents  |        |           |          | ][91]    |  (No     |          |          |          |
|           |        |           |          |          | prior    |          |          |          |
|           |        |           |          |          | elected  |          |          |          |
|           |        |           |          |          | office); |          |          |          |
|           |        |           |          |          | 3rd      |          |          |          |
|           |        |           |          |          |  United  |          |          |          |
|           |        |           |          |          | States S |          |          |          |
|           |        |           |          |          | ecretary |          |          |          |
|           |        |           |          |          | of       |          |          |          |
|           |        |           |          |          | Commerce |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 32     | https://e | March 4, | Franklin | 44th     | Democrat | (1932)   | John N.  |
| n.wikiped |        | n.wikiped | 1933     | D. Roose | Governor | ic       |  37      | Garner   |
| ia.org/wi |        | ia.org/wi |  –       | velt     | of New   |          |  (1933)  |  March   |
| ki/List_o |        | ki/Presid |  April   |  1882–19 | York     |          |          | 4, 1933  |
| f_Preside |        | ency_of_F | 12, 1945 | 45       |  (1929–1 |          |          | –        |
| nts_of_th |        | ranklin_D |  (Died   |  (Lived: | 932);    |          |          | January  |
| e_United_ |        | ._Rooseve | in       | 63       | 44th     |          |          | 20, 1941 |
| States#Pr |        | lt        | office)  | years)   | Governor |          |          |  [r]     |
| esidents  |        |           |          |  [92][93 | of New   |          |          |          |
|           |        |           |          | ][94]    | York     |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 32     | https://e | March 4, | Franklin | 44th     | Democrat | (1936)   | John N.  |
| n.wikiped |        | n.wikiped | 1933     | D. Roose | Governor | ic       |  38      | Garner   |
| ia.org/wi |        | ia.org/wi |  –       | velt     | of New   |          |  (1937)  |  March   |
| ki/List_o |        | ki/Presid |  April   |  1882–19 | York     |          |          | 4, 1933  |
| f_Preside |        | ency_of_F | 12, 1945 | 45       |  (1929–1 |          |          | –        |
| nts_of_th |        | ranklin_D |  (Died   |  (Lived: | 932);    |          |          | January  |
| e_United_ |        | ._Rooseve | in       | 63       | 44th     |          |          | 20, 1941 |
| States#Pr |        | lt        | office)  | years)   | Governor |          |          |  [r]     |
| esidents  |        |           |          |  [92][93 | of New   |          |          |          |
|           |        |           |          | ][94]    | York     |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 32     | https://e | March 4, | Franklin | 44th     | Democrat | (1940)   | Henry A. |
| n.wikiped |        | n.wikiped | 1933     | D. Roose | Governor | ic; Demo |  39      | Wallace  |
| ia.org/wi |        | ia.org/wi |  –       | velt     | of New   | cratic   |  (1941)  |  January |
| ki/List_o |        | ki/Presid |  April   |  1882–19 | York     |          |          | 20, 1941 |
| f_Preside |        | ency_of_F | 12, 1945 | 45       |  (1929–1 |          |          | –        |
| nts_of_th |        | ranklin_D |  (Died   |  (Lived: | 932);    |          |          | January  |
| e_United_ |        | ._Rooseve | in       | 63       | 44th     |          |          | 20, 1945 |
| States#Pr |        | lt        | office)  | years)   | Governor |          |          |          |
| esidents  |        |           |          |  [92][93 | of New   |          |          |          |
|           |        |           |          | ][94]    | York     |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 32     | https://e | March 4, | Franklin | 44th     | Democrat | (1944)   | Harry S. |
| n.wikiped |        | n.wikiped | 1933     | D. Roose | Governor | ic       |  40      | Truman   |
| ia.org/wi |        | ia.org/wi |  –       | velt     | of New   |          |  (1945)  |  January |
| ki/List_o |        | ki/Presid |  April   |  1882–19 | York     |          |  (1945)  | 20 –     |
| f_Preside |        | ency_of_F | 12, 1945 | 45       |  (1929–1 |          |  [j]     | April    |
| nts_of_th |        | ranklin_D |  (Died   |  (Lived: | 932);    |          |          | 12, 1945 |
| e_United_ |        | ._Rooseve | in       | 63       | 44th     |          |          |  (Succee |
| States#Pr |        | lt        | office)  | years)   | Governor |          |          | ded to p |
| esidents  |        |           |          |  [92][93 | of New   |          |          | residenc |
|           |        |           |          | ][94]    | York     |          |          | y)       |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 33     | https://e | April    | Harry S. | 34th     | Democrat | (1944)   | Office   |
| n.wikiped |        | n.wikiped | 12, 1945 | Truman   |  Vice Pr | ic       |  40      | vacant   |
| ia.org/wi |        | ia.org/wi |  –       |  1884–19 | esident  |          |  (1945)  |  April   |
| ki/List_o |        | ki/Presid |  January | 72       | of the   |          |  (1945)  | 12, 1945 |
| f_Preside |        | ency_of_H | 20, 1953 |  (Lived: | United   |          |  [j]     | –        |
| nts_of_th |        | arry_S._T |          | 88       | States;  |          |          | January  |
| e_United_ |        | ruman     |          | years)   | 34th     |          |          | 20, 1949 |
| States#Pr |        |           |          |  [95][96 |  Vice Pr |          |          |          |
| esidents  |        |           |          | ][97]    | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 33     | https://e | April    | Harry S. | 34th     | Democrat | (1948)   | Alben W. |
| n.wikiped |        | n.wikiped | 12, 1945 | Truman   |  Vice Pr | ic       |  41      | Barkley  |
| ia.org/wi |        | ia.org/wi |  –       |  1884–19 | esident  |          |  (1949)  |  January |
| ki/List_o |        | ki/Presid |  January | 72       | of the   |          |          | 20, 1949 |
| f_Preside |        | ency_of_H | 20, 1953 |  (Lived: | United   |          |          | –        |
| nts_of_th |        | arry_S._T |          | 88       | States;  |          |          | January  |
| e_United_ |        | ruman     |          | years)   | 34th     |          |          | 20, 1953 |
| States#Pr |        |           |          |  [95][96 |  Vice Pr |          |          |          |
| esidents  |        |           |          | ][97]    | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 34     | https://e | January  | Dwight   | Supreme  | Republic | (1952)   | Richard  |
| n.wikiped |        | n.wikiped | 20, 1953 | D. Eisen | Allied C | an       |  42      | Nixon    |
| ia.org/wi |        | ia.org/wi |  –       | hower    | ommander |          |  (1953)  |          |
| ki/List_o |        | ki/Presid |  January |  1890–19 | Europe   |          |          |          |
| f_Preside |        | ency_of_D | 20, 1961 | 69       |  (1949–1 |          |          |          |
| nts_of_th |        | wight_D._ |          |  (Lived: | 952)     |          |          |          |
| e_United_ |        | Eisenhowe |          | 78       |  (No     |          |          |          |
| States#Pr |        | r         |          | years)   | prior    |          |          |          |
| esidents  |        |           |          |  [98][99 | elected  |          |          |          |
|           |        |           |          | ][100]   | office); |          |          |          |
|           |        |           |          |          | Supreme  |          |          |          |
|           |        |           |          |          | Allied C |          |          |          |
|           |        |           |          |          | ommander |          |          |          |
|           |        |           |          |          | Europe   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 34     | https://e | January  | Dwight   | Supreme  | Republic | (1956)   | Richard  |
| n.wikiped |        | n.wikiped | 20, 1953 | D. Eisen | Allied C | an       |  43      | Nixon    |
| ia.org/wi |        | ia.org/wi |  –       | hower    | ommander |          |  (1957)  |          |
| ki/List_o |        | ki/Presid |  January |  1890–19 | Europe   |          |          |          |
| f_Preside |        | ency_of_D | 20, 1961 | 69       |  (1949–1 |          |          |          |
| nts_of_th |        | wight_D._ |          |  (Lived: | 952)     |          |          |          |
| e_United_ |        | Eisenhowe |          | 78       |  (No     |          |          |          |
| States#Pr |        | r         |          | years)   | prior    |          |          |          |
| esidents  |        |           |          |  [98][99 | elected  |          |          |          |
|           |        |           |          | ][100]   | office); |          |          |          |
|           |        |           |          |          | Supreme  |          |          |          |
|           |        |           |          |          | Allied C |          |          |          |
|           |        |           |          |          | ommander |          |          |          |
|           |        |           |          |          | Europe   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 35     | https://e | January  | John F.  | U.S.     | Democrat | (1960)   | Lyndon   |
| n.wikiped |        | n.wikiped | 20, 1961 | Kennedy  | Senator  | ic       |  44      | B.       |
