+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| url  | Numb | Pres | Pres | Pres | Pres | Date | Live | Prio | Par | Par | Beg | Ter | End | Vic |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 9    | Marc | Apri | Will | http | 1773 | (Liv | Unit | Whi | htt | (18 | 14  | (18 | Joh |
| s:// |      | h 4, | l 4, | iam  | s:// | –184 | ed:  | ed S | g   | ps: | 40) |     | 41) | n T |
| en.w |      | 1841 | 1841 | Henr | en.w | 1    | 68 y | tate |     | //e |     |     |  (1 | yle |
| ikip |      |      |      | y Ha | ikip |      | ears | s Mi |     | n.w |     |     | 841 | r   |
| edia |      |      |      | rris | edia |      | )    | nist |     | iki |     |     | )   |  (S |
| .org |      |      |      | on   | .org |      |      | er   |     | ped |     |     |     | ucc |
| /wik |      |      |      |      | /wik |      |      | to C |     | ia. |     |     |     | eed |
| i/Li |      |      |      |      | i/Wi |      |      | olom |     | org |     |     |     | ed  |
| st_o |      |      |      |      | llia |      |      | bia  |     | /wi |     |     |     | to  |
| f_Pr |      |      |      |      | m_He |      |      |  (18 |     | ki/ |     |     |     | pre |
| esid |      |      |      |      | nry_ |      |      | 28–1 |     | Whi |     |     |     | sid |
| ents |      |      |      |      | Harr |      |      | 829) |     | g_P |     |     |     | enc |
| _of_ |      |      |      |      | ison |      |      |      |     | art |     |     |     | y)  |
| the_ |      |      |      |      |      |      |      |      |     | y_( |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 10   | Apri | Marc | John | http | 1790 | (Liv | 10th | Whi | htt | (18 | 14  | (18 | Off |
| s:// |      | l 4, | h 4, | Tyle | s:// | –186 | ed:  | Vice | g   | ps: | 40) |     | 41) | ice |
| en.w |      | 1841 | 1845 | r    | en.w | 2    | 71 y | Pres |     | //e |     |     |  (1 | vac |
| ikip |      |  [k] |      |      | ikip |      | ears | iden |     | n.w |     |     | 841 | ant |
| edia |      |      |      |      | edia |      | )    | t of |     | iki |     |     | )   |     |
| .org |      |      |      |      | .org |      |      | the  |     | ped |     |     |     |     |
| /wik |      |      |      |      | /wik |      |      | Unit |     | ia. |     |     |     |     |
| i/Li |      |      |      |      | i/Jo |      |      | ed S |     | org |     |     |     |     |
| st_o |      |      |      |      | hn_T |      |      | tate |     | /wi |     |     |     |     |
| f_Pr |      |      |      |      | yler |      |      | s    |     | ki/ |     |     |     |     |
| esid |      |      |      |      |      |      |      |      |     | Whi |     |     |     |     |
| ents |      |      |      |      |      |      |      |      |     | g_P |     |     |     |     |
| _of_ |      |      |      |      |      |      |      |      |     | art |     |     |     |     |
| the_ |      |      |      |      |      |      |      |      |     | y_( |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 10   | Apri | Marc | John | http | 1790 | (Liv | 10th |     |     | (18 | 14  | (18 | Off |
| s:// |      | l 4, | h 4, | Tyle | s:// | –186 | ed:  | Vice |     |     | 40) |     | 41) | ice |
| en.w |      | 1841 | 1845 | r    | en.w | 2    | 71 y | Pres |     |     |     |     |  (1 | vac |
| ikip |      |  [k] |      |      | ikip |      | ears | iden |     |     |     |     | 841 | ant |
| edia |      |      |      |      | edia |      | )    | t of |     |     |     |     | )   |     |
| .org |      |      |      |      | .org |      |      | the  |     |     |     |     |     |     |
| /wik |      |      |      |      | /wik |      |      | Unit |     |     |     |     |     |     |
| i/Li |      |      |      |      | i/Jo |      |      | ed S |     |     |     |     |     |     |
| st_o |      |      |      |      | hn_T |      |      | tate |     |     |     |     |     |     |
| f_Pr |      |      |      |      | yler |      |      | s    |     |     |     |     |     |     |
| esid |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
| ents |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
| _of_ |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
| the_ |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 11   | Marc | Marc | Jame | http | 1795 | (Liv | 9th  | Dem | htt | (18 | 15  | (18 | Geo |
| s:// |      | h 4, | h 4, | s K. | s:// | –184 | ed:  |  Gov | ocr | ps: | 44) |     | 45) | rge |
| en.w |      | 1845 | 1849 | Polk | en.w | 9    | 53 y | erno | ati | //e |     |     |     | M.  |
| ikip |      |      |      |      | ikip |      | ears | r of | c   | n.w |     |     |     | Dal |
| edia |      |      |      |      | edia |      | )    | Tenn |     | iki |     |     |     | las |
| .org |      |      |      |      | .org |      |      | esse |     | ped |     |     |     |     |
| /wik |      |      |      |      | /wik |      |      | e    |     | ia. |     |     |     |     |
| i/Li |      |      |      |      | i/Ja |      |      |  (18 |     | org |     |     |     |     |
| st_o |      |      |      |      | mes_ |      |      | 39–1 |     | /wi |     |     |     |     |
| f_Pr |      |      |      |      | K._P |      |      | 841) |     | ki/ |     |     |     |     |
| esid |      |      |      |      | olk  |      |      |      |     | Dem |     |     |     |     |
| ents |      |      |      |      |      |      |      |      |     | ocr |     |     |     |     |
| _of_ |      |      |      |      |      |      |      |      |     | ati |     |     |     |     |
| the_ |      |      |      |      |      |      |      |      |     | c_P |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 12   | Marc | July | Zach | http | 1784 | (Liv | Majo | Whi | htt | (18 | 16  | (18 | Mil |
| s:// |      | h 4, | 9,   | ary  | s:// | –185 | ed:  | r Ge | g   | ps: | 48) |     | 49) | lar |
| en.w |      | 1849 | 1850 | Tayl | en.w | 0    | 65 y | nera |     | //e |     |     |  (1 | d F |
| ikip |      |      |      | or   | ikip |      | ears | l of |     | n.w |     |     | 850 | ill |
| edia |      |      |      |      | edia |      | )    | the  |     | iki |     |     | )   | mor |
| .org |      |      |      |      | .org |      |      | 1st  |     | ped |     |     |     | e   |
| /wik |      |      |      |      | /wik |      |      | Infa |     | ia. |     |     |     |  (S |
| i/Li |      |      |      |      | i/Za |      |      | ntry |     | org |     |     |     | ucc |
| st_o |      |      |      |      | char |      |      | Regi |     | /wi |     |     |     | eed |
| f_Pr |      |      |      |      | y_Ta |      |      | ment |     | ki/ |     |     |     | ed  |
| esid |      |      |      |      | ylor |      |      |  Uni |     | Whi |     |     |     | to  |
| ents |      |      |      |      |      |      |      | ted  |     | g_P |     |     |     | pre |
| _of_ |      |      |      |      |      |      |      | Stat |     | art |     |     |     | sid |
| the_ |      |      |      |      |      |      |      | es   |     | y_( |     |     |     | enc |
| Unit |      |      |      |      |      |      |      | Army |     | Uni |     |     |     | y)  |
| ed_S |      |      |      |      |      |      |      |  (18 |     | ted |     |     |     |     |
| tate |      |      |      |      |      |      |      | 46–1 |     | _St |     |     |     |     |
| s    |      |      |      |      |      |      |      | 849) |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |  (No |     | s)  |     |     |     |     |
|      |      |      |      |      |      |      |      | prio |     |     |     |     |     |     |
|      |      |      |      |      |      |      |      | r el |     |     |     |     |     |     |
|      |      |      |      |      |      |      |      | ecte |     |     |     |     |     |     |
|      |      |      |      |      |      |      |      | d of |     |     |     |     |     |     |
|      |      |      |      |      |      |      |      | fice |     |     |     |     |     |     |
|      |      |      |      |      |      |      |      | )    |     |     |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 13   | July | Marc | Mill | http | 1800 | (Liv | 12th | Whi | htt | (18 | 16  | (18 | Off |
| s:// |      | 9,   | h 4, | ard  | s:// | –187 | ed:  | Vice | g   | ps: | 48) |     | 49) | ice |
| en.w |      | 1850 | 1853 | Fill | en.w | 4    | 74 y | Pres |     | //e |     |     |  (1 | vac |
| ikip |      |  [m] |      | more | ikip |      | ears | iden |     | n.w |     |     | 850 | ant |
| edia |      |      |      |      | edia |      | )    | t of |     | iki |     |     | )   |     |
| .org |      |      |      |      | .org |      |      | the  |     | ped |     |     |     |     |
| /wik |      |      |      |      | /wik |      |      | Unit |     | ia. |     |     |     |     |
| i/Li |      |      |      |      | i/Mi |      |      | ed S |     | org |     |     |     |     |
| st_o |      |      |      |      | llar |      |      | tate |     | /wi |     |     |     |     |
| f_Pr |      |      |      |      | d_Fi |      |      | s    |     | ki/ |     |     |     |     |
| esid |      |      |      |      | llmo |      |      |      |     | Whi |     |     |     |     |
| ents |      |      |      |      | re   |      |      |      |     | g_P |     |     |     |     |
| _of_ |      |      |      |      |      |      |      |      |     | art |     |     |     |     |
| the_ |      |      |      |      |      |      |      |      |     | y_( |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 14   | Marc | Marc | Fran | http | 1804 | (Liv | Brig | Dem | htt | (18 | 17  | (18 | Wil |
| s:// |      | h 4, | h 4, | klin | s:// | –186 | ed:  | adie | ocr | ps: | 52) |     | 53) | lia |
| en.w |      | 1853 | 1857 | Pier | en.w | 9    | 64 y | r Ge | ati | //e |     |     |     | m   |
| ikip |      |      |      | ce   | ikip |      | ears | nera | c   | n.w |     |     |     | R.  |
| edia |      |      |      |      | edia |      | )    | l of |     | iki |     |     |     | Kin |
| .org |      |      |      |      | .org |      |      | the  |     | ped |     |     |     | g   |
| /wik |      |      |      |      | /wik |      |      | 9th  |     | ia. |     |     |     |  Ma |
| i/Li |      |      |      |      | i/Fr |      |      | Infa |     | org |     |     |     | rch |
| st_o |      |      |      |      | ankl |      |      | ntry |     | /wi |     |     |     | 4 – |
| f_Pr |      |      |      |      | in_P |      |      |  Uni |     | ki/ |     |     |     | Apr |
| esid |      |      |      |      | ierc |      |      | ted  |     | Dem |     |     |     | il  |
| ents |      |      |      |      | e    |      |      | Stat |     | ocr |     |     |     | 18, |
| _of_ |      |      |      |      |      |      |      | es   |     | ati |     |     |     | 185 |
| the_ |      |      |      |      |      |      |      | Army |     | c_P |     |     |     | 3   |
| Unit |      |      |      |      |      |      |      |  (18 |     | art |     |     |     |  (D |
| ed_S |      |      |      |      |      |      |      | 47–1 |     | y_( |     |     |     | ied |
| tate |      |      |      |      |      |      |      | 848) |     | Uni |     |     |     | in  |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     | off |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     | ice |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     | )   |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 14   | Marc | Marc | Fran | http | 1804 | (Liv | Brig | Dem | htt | (18 | 17  | (18 | Off |
| s:// |      | h 4, | h 4, | klin | s:// | –186 | ed:  | adie | ocr | ps: | 52) |     | 53) | ice |
| en.w |      | 1853 | 1857 | Pier | en.w | 9    | 64 y | r Ge | ati | //e |     |     |     | vac |
| ikip |      |      |      | ce   | ikip |      | ears | nera | c   | n.w |     |     |     | ant |
| edia |      |      |      |      | edia |      | )    | l of |     | iki |     |     |     |  (B |
| .org |      |      |      |      | .org |      |      | the  |     | ped |     |     |     | ala |
| /wik |      |      |      |      | /wik |      |      | 9th  |     | ia. |     |     |     | nce |
| i/Li |      |      |      |      | i/Fr |      |      | Infa |     | org |     |     |     | of  |
| st_o |      |      |      |      | ankl |      |      | ntry |     | /wi |     |     |     | Kin |
| f_Pr |      |      |      |      | in_P |      |      |  Uni |     | ki/ |     |     |     | g's |
| esid |      |      |      |      | ierc |      |      | ted  |     | Dem |     |     |     | ter |
| ents |      |      |      |      | e    |      |      | Stat |     | ocr |     |     |     | m)  |
| _of_ |      |      |      |      |      |      |      | es   |     | ati |     |     |     |     |
| the_ |      |      |      |      |      |      |      | Army |     | c_P |     |     |     |     |
| Unit |      |      |      |      |      |      |      |  (18 |     | art |     |     |     |     |
| ed_S |      |      |      |      |      |      |      | 47–1 |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      | 848) |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 15   | Marc | Marc | Jame | http | 1791 | (Liv | Unit | Dem | htt | (18 | 18  | (18 | Joh |
| s:// |      | h 4, | h 4, | s Bu | s:// | –186 | ed:  | ed S | ocr | ps: | 56) |     | 57) | n   |
| en.w |      | 1857 | 1861 | chan | en.w | 8    | 77 y | tate | ati | //e |     |     |     | C.  |
| ikip |      |      |      | an   | ikip |      | ears | s Mi | c   | n.w |     |     |     | Bre |
| edia |      |      |      |      | edia |      | )    | nist |     | iki |     |     |     | cki |
| .org |      |      |      |      | .org |      |      | er   |     | ped |     |     |     | nri |
| /wik |      |      |      |      | /wik |      |      | to   |     | ia. |     |     |     | dge |
| i/Li |      |      |      |      | i/Ja |      |      | the  |     | org |     |     |     |     |
| st_o |      |      |      |      | mes_ |      |      |  Cou |     | /wi |     |     |     |     |
| f_Pr |      |      |      |      | Buch |      |      | rt   |     | ki/ |     |     |     |     |
| esid |      |      |      |      | anan |      |      | of   |     | Dem |     |     |     |     |
| ents |      |      |      |      |      |      |      | St J |     | ocr |     |     |     |     |
| _of_ |      |      |      |      |      |      |      | ames |     | ati |     |     |     |     |
| the_ |      |      |      |      |      |      |      | 's   |     | c_P |     |     |     |     |
| Unit |      |      |      |      |      |      |      |  (18 |     | art |     |     |     |     |
| ed_S |      |      |      |      |      |      |      | 53–1 |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      | 856) |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 16   | Marc | Apri | Abra | http | 1809 | (Liv | U.S. | Rep | htt | (18 | 19  | (18 | Han |
| s:// |      | h 4, | l    | ham  | s:// | –186 | ed:  | Repr | ubl | ps: | 60) |     | 61) | nib |
| en.w |      | 1861 | 15,  | Linc | en.w | 5    | 56 y | esen | ica | //e |     |     |     | al  |
| ikip |      |      | 1865 | oln  | ikip |      | ears | tati | n   | n.w |     |     |     | Ham |
| edia |      |      |      |      | edia |      | )    | ve   |     | iki |     |     |     | lin |
| .org |      |      |      |      | .org |      |      | for  |     | ped |     |     |     |  Ma |
| /wik |      |      |      |      | /wik |      |      | Illi |     | ia. |     |     |     | rch |
| i/Li |      |      |      |      | i/Ab |      |      | nois |     | org |     |     |     | 4,  |
| st_o |      |      |      |      | raha |      |      | 's   |     | /wi |     |     |     | 186 |
| f_Pr |      |      |      |      | m_Li |      |      | 7th  |     | ki/ |     |     |     | 1 – |
| esid |      |      |      |      | ncol |      |      | Dist |     | Rep |     |     |     | Mar |
| ents |      |      |      |      | n    |      |      | rict |     | ubl |     |     |     | ch  |
| _of_ |      |      |      |      |      |      |      |  (18 |     | ica |     |     |     | 4,  |
| the_ |      |      |      |      |      |      |      | 47–1 |     | n_P |     |     |     | 186 |
| Unit |      |      |      |      |      |      |      | 849) |     | art |     |     |     | 5   |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 16   | Marc | Apri | Abra | http | 1809 | (Liv | U.S. | Rep | htt | (18 | 20  | (18 | And |
| s:// |      | h 4, | l    | ham  | s:// | –186 | ed:  | Repr | ubl | ps: | 64) |     | 65) | rew |
| en.w |      | 1861 | 15,  | Linc | en.w | 5    | 56 y | esen | ica | //e |     |     |  (1 | Joh |
| ikip |      |      | 1865 | oln  | ikip |      | ears | tati | n   | n.w |     |     | 865 | nso |
| edia |      |      |      |      | edia |      | )    | ve   |     | iki |     |     | )   | n   |
| .org |      |      |      |      | .org |      |      | for  |     | ped |     |     |     |  Ma |
| /wik |      |      |      |      | /wik |      |      | Illi |     | ia. |     |     |     | rch |
| i/Li |      |      |      |      | i/Ab |      |      | nois |     | org |     |     |     | 4 – |
| st_o |      |      |      |      | raha |      |      | 's   |     | /wi |     |     |     | Apr |
| f_Pr |      |      |      |      | m_Li |      |      | 7th  |     | ki/ |     |     |     | il  |
| esid |      |      |      |      | ncol |      |      | Dist |     | Rep |     |     |     | 15, |
| ents |      |      |      |      | n    |      |      | rict |     | ubl |     |     |     | 186 |
| _of_ |      |      |      |      |      |      |      |  (18 |     | ica |     |     |     | 5   |
| the_ |      |      |      |      |      |      |      | 47–1 |     | n_P |     |     |     |  (S |
| Unit |      |      |      |      |      |      |      | 849) |     | art |     |     |     | ucc |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     | eed |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     | ed  |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     | to  |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     | pre |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     | sid |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     | enc |
|      |      |      |      |      |      |      |      |      |     |     |     |     |     | y)  |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 17   | Apri | Marc | Andr | http | 1808 | (Liv | 16th | Nat | htt | (18 | 20  | (18 | Off |
| s:// |      | l    | h 4, | ew J | s:// | –187 | ed:  | Vice | ion | ps: | 64) |     | 65) | ice |
| en.w |      | 15,  | 1869 | ohns | en.w | 5    | 66 y | Pres | al  | //e |     |     |  (1 | vac |
| ikip |      | 1865 |      | on   | ikip |      | ears | iden | Uni | n.w |     |     | 865 | ant |
| edia |      |      |      |      | edia |      | )    | t of | on  | iki |     |     | )   |     |
| .org |      |      |      |      | .org |      |      | the  |     | ped |     |     |     |     |
| /wik |      |      |      |      | /wik |      |      | Unit |     | ia. |     |     |     |     |
| i/Li |      |      |      |      | i/An |      |      | ed S |     | org |     |     |     |     |
| st_o |      |      |      |      | drew |      |      | tate |     | /wi |     |     |     |     |
| f_Pr |      |      |      |      | _Joh |      |      | s    |     | ki/ |     |     |     |     |
| esid |      |      |      |      | nson |      |      |      |     | Nat |     |     |     |     |
| ents |      |      |      |      |      |      |      |      |     | ion |     |     |     |     |
| _of_ |      |      |      |      |      |      |      |      |     | al_ |     |     |     |     |
| the_ |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | on_ |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | Par |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | ty_ |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | (Un |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ite |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | d_S |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | tat |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | es) |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 17   | Apri | Marc | Andr | http | 1808 | (Liv | 16th | Dem | htt | (18 | 20  | (18 | Off |
| s:// |      | l    | h 4, | ew J | s:// | –187 | ed:  | Vice | ocr | ps: | 64) |     | 65) | ice |
| en.w |      | 15,  | 1869 | ohns | en.w | 5    | 66 y | Pres | ati | //e |     |     |  (1 | vac |
| ikip |      | 1865 |      | on   | ikip |      | ears | iden | c   | n.w |     |     | 865 | ant |
| edia |      |      |      |      | edia |      | )    | t of |     | iki |     |     | )   |     |
| .org |      |      |      |      | .org |      |      | the  |     | ped |     |     |     |     |
| /wik |      |      |      |      | /wik |      |      | Unit |     | ia. |     |     |     |     |
| i/Li |      |      |      |      | i/An |      |      | ed S |     | org |     |     |     |     |
| st_o |      |      |      |      | drew |      |      | tate |     | /wi |     |     |     |     |
| f_Pr |      |      |      |      | _Joh |      |      | s    |     | ki/ |     |     |     |     |
| esid |      |      |      |      | nson |      |      |      |     | Dem |     |     |     |     |
| ents |      |      |      |      |      |      |      |      |     | ocr |     |     |     |     |
| _of_ |      |      |      |      |      |      |      |      |     | ati |     |     |     |     |
| the_ |      |      |      |      |      |      |      |      |     | c_P |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 18   | Marc | Marc | Ulys | http | 1822 | (Liv | Comm | Rep | htt | (18 | 21  | (18 | Sch |
| s:// |      | h 4, | h 4, | ses  | s:// | –188 | ed:  | andi | ubl | ps: | 68) |     | 69) | uyl |
| en.w |      | 1869 | 1877 | S. G | en.w | 5    | 63 y | ng G | ica | //e |     |     |     | er  |
| ikip |      |      |      | rant | ikip |      | ears | ener | n   | n.w |     |     |     | Col |
| edia |      |      |      |      | edia |      | )    | al   |     | iki |     |     |     | fax |
| .org |      |      |      |      | .org |      |      | of   |     | ped |     |     |     |  Ma |
| /wik |      |      |      |      | /wik |      |      | the  |     | ia. |     |     |     | rch |
| i/Li |      |      |      |      | i/Ul |      |      | U.S. |     | org |     |     |     | 4,  |
| st_o |      |      |      |      | ysse |      |      | Army |     | /wi |     |     |     | 186 |
| f_Pr |      |      |      |      | s_S. |      |      |  (18 |     | ki/ |     |     |     | 9 – |
| esid |      |      |      |      | _Gra |      |      | 64–1 |     | Rep |     |     |     | Mar |
| ents |      |      |      |      | nt   |      |      | 869) |     | ubl |     |     |     | ch  |
| _of_ |      |      |      |      |      |      |      |  (No |     | ica |     |     |     | 4,  |
| the_ |      |      |      |      |      |      |      | prio |     | n_P |     |     |     | 187 |
| Unit |      |      |      |      |      |      |      | r el |     | art |     |     |     | 3   |
| ed_S |      |      |      |      |      |      |      | ecte |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      | d of |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      | fice |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      | )    |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 18   | Marc | Marc | Ulys | http | 1822 | (Liv | Comm | Rep | htt | (18 | 22  | (18 | Hen |
| s:// |      | h 4, | h 4, | ses  | s:// | –188 | ed:  | andi | ubl | ps: | 72) |     | 73) | ry  |
| en.w |      | 1869 | 1877 | S. G | en.w | 5    | 63 y | ng G | ica | //e |     |     |     | Wil |
| ikip |      |      |      | rant | ikip |      | ears | ener | n   | n.w |     |     |     | son |
| edia |      |      |      |      | edia |      | )    | al   |     | iki |     |     |     |  Ma |
| .org |      |      |      |      | .org |      |      | of   |     | ped |     |     |     | rch |
| /wik |      |      |      |      | /wik |      |      | the  |     | ia. |     |     |     | 4,  |
| i/Li |      |      |      |      | i/Ul |      |      | U.S. |     | org |     |     |     | 187 |
| st_o |      |      |      |      | ysse |      |      | Army |     | /wi |     |     |     | 3 – |
| f_Pr |      |      |      |      | s_S. |      |      |  (18 |     | ki/ |     |     |     | Nov |
| esid |      |      |      |      | _Gra |      |      | 64–1 |     | Rep |     |     |     | emb |
| ents |      |      |      |      | nt   |      |      | 869) |     | ubl |     |     |     | er  |
| _of_ |      |      |      |      |      |      |      |  (No |     | ica |     |     |     | 22, |
| the_ |      |      |      |      |      |      |      | prio |     | n_P |     |     |     | 187 |
| Unit |      |      |      |      |      |      |      | r el |     | art |     |     |     | 5   |
| ed_S |      |      |      |      |      |      |      | ecte |     | y_( |     |     |     |  (D |
| tate |      |      |      |      |      |      |      | d of |     | Uni |     |     |     | ied |
| s    |      |      |      |      |      |      |      | fice |     | ted |     |     |     | in  |
|      |      |      |      |      |      |      |      | )    |     | _St |     |     |     | off |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     | ice |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     | )   |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 18   | Marc | Marc | Ulys | http | 1822 | (Liv | Comm | Rep | htt | (18 | 22  | (18 | Off |
| s:// |      | h 4, | h 4, | ses  | s:// | –188 | ed:  | andi | ubl | ps: | 72) |     | 73) | ice |
| en.w |      | 1869 | 1877 | S. G | en.w | 5    | 63 y | ng G | ica | //e |     |     |     | vac |
| ikip |      |      |      | rant | ikip |      | ears | ener | n   | n.w |     |     |     | ant |
| edia |      |      |      |      | edia |      | )    | al   |     | iki |     |     |     |  (B |
| .org |      |      |      |      | .org |      |      | of   |     | ped |     |     |     | ala |
| /wik |      |      |      |      | /wik |      |      | the  |     | ia. |     |     |     | nce |
