+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| url   | Team | Team | Coac | Seas | Curr | Curr | Curr | Curr | Care | Care | Care | Care | Acco |
| onal_ |      | Viki |      |      |      |      |      |      |      |      |      |      | erth |
| Footb |      | ngs  |      |      |      |      |      |      |      |      |      |      | s    |
| all_L |      |      |      |      |      |      |      |      |      |      |      |      |      |
| eague |      |      |      |      |      |      |      |      |      |      |      |      |      |
| _head |      |      |      |      |      |      |      |      |      |      |      |      |      |
| _coac |      |      |      |      |      |      |      |      |      |      |      |      |      |
| hes   |      |      |      |      |      |      |      |      |      |      |      |      |      |
+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| https | New  | http | Bill | 2000 | 214  | 74   | 0    | 0.74 | 250  | 118  | 0    | 0.67 | 5 Su |
| ://en | Engl | s:// | Beli |      |      |      |      | 3    |      |      |      | 9    | per  |
| .wiki | and  | en.w | chic |      |      |      |      |      |      |      |      |      | Bowl |
| pedia | Patr | ikip | k    |      |      |      |      |      |      |      |      |      | Cham |
| .org/ | iots | edia |      |      |      |      |      |      |      |      |      |      | pion |
| wiki/ |      | .org |      |      |      |      |      |      |      |      |      |      | ship |
| List_ |      | /wik |      |      |      |      |      |      |      |      |      |      | s    |
| of_cu |      | i/Ne |      |      |      |      |      |      |      |      |      |      |  8   |
| rrent |      | w_En |      |      |      |      |      |      |      |      |      |      | AFC  |
| _Nati |      | glan |      |      |      |      |      |      |      |      |      |      | Cham |
| onal_ |      | d_Pa |      |      |      |      |      |      |      |      |      |      | pion |
| Footb |      | trio |      |      |      |      |      |      |      |      |      |      | ship |
| all_L |      | ts   |      |      |      |      |      |      |      |      |      |      | s    |
| eague |      |      |      |      |      |      |      |      |      |      |      |      |  15  |
| _head |      |      |      |      |      |      |      |      |      |      |      |      | AFC  |
| _coac |      |      |      |      |      |      |      |      |      |      |      |      | East |
| hes   |      |      |      |      |      |      |      |      |      |      |      |      | Cham |
|       |      |      |      |      |      |      |      |      |      |      |      |      | pion |
|       |      |      |      |      |      |      |      |      |      |      |      |      | ship |
|       |      |      |      |      |      |      |      |      |      |      |      |      | s    |
|       |      |      |      |      |      |      |      |      |      |      |      |      |  15  |
|       |      |      |      |      |      |      |      |      |      |      |      |      | Play |
|       |      |      |      |      |      |      |      |      |      |      |      |      | off  |
|       |      |      |      |      |      |      |      |      |      |      |      |      | Bert |
|       |      |      |      |      |      |      |      |      |      |      |      |      | hs   |
|       |      |      |      |      |      |      |      |      |      |      |      |      |  3   |
|       |      |      |      |      |      |      |      |      |      |      |      |      | AP C |
|       |      |      |      |      |      |      |      |      |      |      |      |      | oach |
|       |      |      |      |      |      |      |      |      |      |      |      |      | of   |
|       |      |      |      |      |      |      |      |      |      |      |      |      | the  |
|       |      |      |      |      |      |      |      |      |      |      |      |      | Year |
|       |      |      |      |      |      |      |      |      |      |      |      |      | Awar |
|       |      |      |      |      |      |      |      |      |      |      |      |      | ds   |
+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| https | New  | http | Sean | 2006 | 105  | 71   | 0    | 0.59 | 105  | 71   | 0    | 0.59 | 1 Su |
| ://en | Orle | s:// | Payt |      |      |      |      | 7    |      |      |      | 7    | per  |
| .wiki | ans  | en.w | on   |      |      |      |      |      |      |      |      |      | Bowl |
| pedia | Sain | ikip |      |      |      |      |      |      |      |      |      |      | Cham |
| .org/ | ts   | edia |      |      |      |      |      |      |      |      |      |      | pion |
| wiki/ |      | .org |      |      |      |      |      |      |      |      |      |      | ship |
| List_ |      | /wik |      |      |      |      |      |      |      |      |      |      |  1   |
| of_cu |      | i/Ne |      |      |      |      |      |      |      |      |      |      | NFC  |
| rrent |      | w_Or |      |      |      |      |      |      |      |      |      |      | Cham |
| _Nati |      | lean |      |      |      |      |      |      |      |      |      |      | pion |
| onal_ |      | s_Sa |      |      |      |      |      |      |      |      |      |      | ship |
| Footb |      | ints |      |      |      |      |      |      |      |      |      |      |  4   |
| all_L |      |      |      |      |      |      |      |      |      |      |      |      | NFC  |
| eague |      |      |      |      |      |      |      |      |      |      |      |      | Sout |
| _head |      |      |      |      |      |      |      |      |      |      |      |      | h Ch |
| _coac |      |      |      |      |      |      |      |      |      |      |      |      | ampi |
| hes   |      |      |      |      |      |      |      |      |      |      |      |      | onsh |
|       |      |      |      |      |      |      |      |      |      |      |      |      | ips  |
|       |      |      |      |      |      |      |      |      |      |      |      |      |  6 P |
|       |      |      |      |      |      |      |      |      |      |      |      |      | layo |
|       |      |      |      |      |      |      |      |      |      |      |      |      | ff B |
|       |      |      |      |      |      |      |      |      |      |      |      |      | erth |
|       |      |      |      |      |      |      |      |      |      |      |      |      | s    |
|       |      |      |      |      |      |      |      |      |      |      |      |      |  1   |
|       |      |      |      |      |      |      |      |      |      |      |      |      | AP C |
|       |      |      |      |      |      |      |      |      |      |      |      |      | oach |
|       |      |      |      |      |      |      |      |      |      |      |      |      | of   |
|       |      |      |      |      |      |      |      |      |      |      |      |      | the  |
|       |      |      |      |      |      |      |      |      |      |      |      |      | Year |
|       |      |      |      |      |      |      |      |      |      |      |      |      | Awar |
|       |      |      |      |      |      |      |      |      |      |      |      |      | d    |
+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| https | New  | http | Pat  | 2018 | 0    | 0    | 0    | –    | 10   | 23   | 0    | 0.30 |      |
| ://en | York | s:// | Shur |      |      |      |      |      |      |      |      | 3    |      |
| .wiki | Gian | en.w | mur  |      |      |      |      |      |      |      |      |      |      |
| pedia | ts   | ikip |      |      |      |      |      |      |      |      |      |      |      |
| .org/ |      | edia |      |      |      |      |      |      |      |      |      |      |      |
| wiki/ |      | .org |      |      |      |      |      |      |      |      |      |      |      |
| List_ |      | /wik |      |      |      |      |      |      |      |      |      |      |      |
| of_cu |      | i/Ne |      |      |      |      |      |      |      |      |      |      |      |
| rrent |      | w_Yo |      |      |      |      |      |      |      |      |      |      |      |
| _Nati |      | rk_G |      |      |      |      |      |      |      |      |      |      |      |
| onal_ |      | iant |      |      |      |      |      |      |      |      |      |      |      |
| Footb |      | s    |      |      |      |      |      |      |      |      |      |      |      |
| all_L |      |      |      |      |      |      |      |      |      |      |      |      |      |
| eague |      |      |      |      |      |      |      |      |      |      |      |      |      |
| _head |      |      |      |      |      |      |      |      |      |      |      |      |      |
| _coac |      |      |      |      |      |      |      |      |      |      |      |      |      |
| hes   |      |      |      |      |      |      |      |      |      |      |      |      |      |
+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| https | New  | http | Todd | 2015 | 20   | 28   | 0    | 0.41 | 22   | 29   | 0    | 0.43 |      |
| ://en | York | s:// | Bowl |      |      |      |      | 7    |      |      |      | 1    |      |
| .wiki | Jets | en.w | es   |      |      |      |      |      |      |      |      |      |      |
| pedia |      | ikip |      |      |      |      |      |      |      |      |      |      |      |
| .org/ |      | edia |      |      |      |      |      |      |      |      |      |      |      |
| wiki/ |      | .org |      |      |      |      |      |      |      |      |      |      |      |
| List_ |      | /wik |      |      |      |      |      |      |      |      |      |      |      |
| of_cu |      | i/Ne |      |      |      |      |      |      |      |      |      |      |      |
| rrent |      | w_Yo |      |      |      |      |      |      |      |      |      |      |      |
| _Nati |      | rk_J |      |      |      |      |      |      |      |      |      |      |      |
| onal_ |      | ets  |      |      |      |      |      |      |      |      |      |      |      |
| Footb |      |      |      |      |      |      |      |      |      |      |      |      |      |
| all_L |      |      |      |      |      |      |      |      |      |      |      |      |      |
| eague |      |      |      |      |      |      |      |      |      |      |      |      |      |
| _head |      |      |      |      |      |      |      |      |      |      |      |      |      |
| _coac |      |      |      |      |      |      |      |      |      |      |      |      |      |
| hes   |      |      |      |      |      |      |      |      |      |      |      |      |      |
+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| https | Oakl | http | Jon  | 2018 | 0    | 0    | 0    | –    | 95   | 81   | 0    | 0.54 | 1 Su |
| ://en | and  | s:// | Grud |      |      |      |      |      |      |      |      | 0    | per  |
| .wiki | Raid | en.w | en   |      |      |      |      |      |      |      |      |      | Bowl |
| pedia | ers  | ikip |      |      |      |      |      |      |      |      |      |      | Cham |
| .org/ |      | edia |      |      |      |      |      |      |      |      |      |      | pion |
| wiki/ |      | .org |      |      |      |      |      |      |      |      |      |      | ship |
| List_ |      | /wik |      |      |      |      |      |      |      |      |      |      |  2   |
| of_cu |      | i/Oa |      |      |      |      |      |      |      |      |      |      | AFC  |
| rrent |      | klan |      |      |      |      |      |      |      |      |      |      | West |
| _Nati |      | d_Ra |      |      |      |      |      |      |      |      |      |      | Cham |
| onal_ |      | ider |      |      |      |      |      |      |      |      |      |      | pion |
| Footb |      | s    |      |      |      |      |      |      |      |      |      |      | ship |
| all_L |      |      |      |      |      |      |      |      |      |      |      |      | s    |
| eague |      |      |      |      |      |      |      |      |      |      |      |      |  2 P |
| _head |      |      |      |      |      |      |      |      |      |      |      |      | layo |
| _coac |      |      |      |      |      |      |      |      |      |      |      |      | ff B |
| hes   |      |      |      |      |      |      |      |      |      |      |      |      | erth |
|       |      |      |      |      |      |      |      |      |      |      |      |      | s    |
+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| https | Phil | http | Doug | 2016 | 20   | 12   | 0    | 0.62 | 20   | 12   | 0    | 0.62 | 1 Su |
| ://en | adel | s:// | Pede |      |      |      |      | 5    |      |      |      | 5    | per  |
| .wiki | phia | en.w | rson |      |      |      |      |      |      |      |      |      | Bowl |
| pedia | Eagl | ikip |      |      |      |      |      |      |      |      |      |      | Cham |
| .org/ | es   | edia |      |      |      |      |      |      |      |      |      |      | pion |
| wiki/ |      | .org |      |      |      |      |      |      |      |      |      |      | ship |
| List_ |      | /wik |      |      |      |      |      |      |      |      |      |      |  1   |
| of_cu |      | i/Ph |      |      |      |      |      |      |      |      |      |      | NFC  |
| rrent |      | ilad |      |      |      |      |      |      |      |      |      |      | Cham |
| _Nati |      | elph |      |      |      |      |      |      |      |      |      |      | pion |
| onal_ |      | ia_E |      |      |      |      |      |      |      |      |      |      | ship |
| Footb |      | agle |      |      |      |      |      |      |      |      |      |      |  1   |
| all_L |      | s    |      |      |      |      |      |      |      |      |      |      | NFC  |
| eague |      |      |      |      |      |      |      |      |      |      |      |      | East |
| _head |      |      |      |      |      |      |      |      |      |      |      |      | Cham |
| _coac |      |      |      |      |      |      |      |      |      |      |      |      | pion |
| hes   |      |      |      |      |      |      |      |      |      |      |      |      | ship |
|       |      |      |      |      |      |      |      |      |      |      |      |      |  1 P |
|       |      |      |      |      |      |      |      |      |      |      |      |      | layo |
|       |      |      |      |      |      |      |      |      |      |      |      |      | ff B |
|       |      |      |      |      |      |      |      |      |      |      |      |      | erth |
+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| https | Pitt | http | Mike | 2007 | 116  | 60   | 0    | 0.65 | 116  | 60   | 0    | 0.65 | 1 Su |
| ://en | sbur | s:// | Toml |      |      |      |      | 9    |      |      |      | 9    | per  |
| .wiki | gh S | en.w | in   |      |      |      |      |      |      |      |      |      | Bowl |
| pedia | teel | ikip |      |      |      |      |      |      |      |      |      |      | Cham |
| .org/ | ers  | edia |      |      |      |      |      |      |      |      |      |      | pion |
| wiki/ |      | .org |      |      |      |      |      |      |      |      |      |      | ship |
| List_ |      | /wik |      |      |      |      |      |      |      |      |      |      |  2   |
| of_cu |      | i/Pi |      |      |      |      |      |      |      |      |      |      | AFC  |
| rrent |      | ttsb |      |      |      |      |      |      |      |      |      |      | Cham |
| _Nati |      | urgh |      |      |      |      |      |      |      |      |      |      | pion |
| onal_ |      | _Ste |      |      |      |      |      |      |      |      |      |      | ship |
| Footb |      | eler |      |      |      |      |      |      |      |      |      |      | s    |
| all_L |      | s    |      |      |      |      |      |      |      |      |      |      |  6   |
| eague |      |      |      |      |      |      |      |      |      |      |      |      | AFC  |
| _head |      |      |      |      |      |      |      |      |      |      |      |      | Nort |
| _coac |      |      |      |      |      |      |      |      |      |      |      |      | h Ch |
| hes   |      |      |      |      |      |      |      |      |      |      |      |      | ampi |
|       |      |      |      |      |      |      |      |      |      |      |      |      | onsh |
|       |      |      |      |      |      |      |      |      |      |      |      |      | ips  |
|       |      |      |      |      |      |      |      |      |      |      |      |      |  8 P |
|       |      |      |      |      |      |      |      |      |      |      |      |      | layo |
|       |      |      |      |      |      |      |      |      |      |      |      |      | ff B |
|       |      |      |      |      |      |      |      |      |      |      |      |      | erth |
|       |      |      |      |      |      |      |      |      |      |      |      |      | s    |
+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| https | San  | http | Kyle | 2017 | 6    | 10   | 0    | 0.37 | 6    | 10   | 0    | 0.37 |      |
| ://en | Fran | s:// | Shan |      |      |      |      | 5    |      |      |      | 5    |      |
| .wiki | cisc | en.w | ahan |      |      |      |      |      |      |      |      |      |      |
| pedia | o 49 | ikip |      |      |      |      |      |      |      |      |      |      |      |
| .org/ | ers  | edia |      |      |      |      |      |      |      |      |      |      |      |
| wiki/ |      | .org |      |      |      |      |      |      |      |      |      |      |      |
| List_ |      | /wik |      |      |      |      |      |      |      |      |      |      |      |
| of_cu |      | i/Sa |      |      |      |      |      |      |      |      |      |      |      |
| rrent |      | n_Fr |      |      |      |      |      |      |      |      |      |      |      |
| _Nati |      | anci |      |      |      |      |      |      |      |      |      |      |      |
| onal_ |      | sco_ |      |      |      |      |      |      |      |      |      |      |      |
| Footb |      | 49er |      |      |      |      |      |      |      |      |      |      |      |
| all_L |      | s    |      |      |      |      |      |      |      |      |      |      |      |
| eague |      |      |      |      |      |      |      |      |      |      |      |      |      |
| _head |      |      |      |      |      |      |      |      |      |      |      |      |      |
| _coac |      |      |      |      |      |      |      |      |      |      |      |      |      |
| hes   |      |      |      |      |      |      |      |      |      |      |      |      |      |
+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| https | Seat | http | Pete | 2010 | 79   | 48   | 1    | 0.62 | 112  | 79   | 1    | 0.58 | 1 Su |
| ://en | tle  | s:// | Carr |      |      |      |      | 1    |      |      |      | 6    | per  |
| .wiki | Seah | en.w | oll  |      |      |      |      |      |      |      |      |      | Bowl |
| pedia | awks | ikip |      |      |      |      |      |      |      |      |      |      | Cham |
| .org/ |      | edia |      |      |      |      |      |      |      |      |      |      | pion |
| wiki/ |      | .org |      |      |      |      |      |      |      |      |      |      | ship |
| List_ |      | /wik |      |      |      |      |      |      |      |      |      |      |  2   |
| of_cu |      | i/Se |      |      |      |      |      |      |      |      |      |      | NFC  |
| rrent |      | attl |      |      |      |      |      |      |      |      |      |      | Cham |
| _Nati |      | e_Se |      |      |      |      |      |      |      |      |      |      | pion |
| onal_ |      | ahaw |      |      |      |      |      |      |      |      |      |      | ship |
| Footb |      | ks   |      |      |      |      |      |      |      |      |      |      | s    |
| all_L |      |      |      |      |      |      |      |      |      |      |      |      |  4   |
| eague |      |      |      |      |      |      |      |      |      |      |      |      | NFC  |
| _head |      |      |      |      |      |      |      |      |      |      |      |      | West |
| _coac |      |      |      |      |      |      |      |      |      |      |      |      | Cham |
| hes   |      |      |      |      |      |      |      |      |      |      |      |      | pion |
|       |      |      |      |      |      |      |      |      |      |      |      |      | ship |
|       |      |      |      |      |      |      |      |      |      |      |      |      | s    |
|       |      |      |      |      |      |      |      |      |      |      |      |      |  6 P |
|       |      |      |      |      |      |      |      |      |      |      |      |      | layo |
|       |      |      |      |      |      |      |      |      |      |      |      |      | ff B |
|       |      |      |      |      |      |      |      |      |      |      |      |      | erth |
|       |      |      |      |      |      |      |      |      |      |      |      |      | s    |
+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| https | Tamp | http | Dirk | 2016 | 14   | 18   | 0    | 0.43 | 14   | 18   | 0    | 0.43 |      |
| ://en | a    | s:// | Koet |      |      |      |      | 8    |      |      |      | 8    |      |
| .wiki | Bay  | en.w | ter  |      |      |      |      |      |      |      |      |      |      |
| pedia | Bucc | ikip |      |      |      |      |      |      |      |      |      |      |      |
| .org/ | anee | edia |      |      |      |      |      |      |      |      |      |      |      |
| wiki/ | rs   | .org |      |      |      |      |      |      |      |      |      |      |      |
| List_ |      | /wik |      |      |      |      |      |      |      |      |      |      |      |
| of_cu |      | i/Ta |      |      |      |      |      |      |      |      |      |      |      |
| rrent |      | mpa_ |      |      |      |      |      |      |      |      |      |      |      |
| _Nati |      | Bay_ |      |      |      |      |      |      |      |      |      |      |      |
| onal_ |      | Bucc |      |      |      |      |      |      |      |      |      |      |      |
| Footb |      | anee |      |      |      |      |      |      |      |      |      |      |      |
| all_L |      | rs   |      |      |      |      |      |      |      |      |      |      |      |
| eague |      |      |      |      |      |      |      |      |      |      |      |      |      |
| _head |      |      |      |      |      |      |      |      |      |      |      |      |      |
| _coac |      |      |      |      |      |      |      |      |      |      |      |      |      |
| hes   |      |      |      |      |      |      |      |      |      |      |      |      |      |
+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| https | Tenn | http | Mike | 2018 | 0    | 0    | 0    | –    | 0    | 0    | 0    | –    |      |
| ://en | esse | s:// | Vrab |      |      |      |      |      |      |      |      |      |      |
| .wiki | e Ti | en.w | el   |      |      |      |      |      |      |      |      |      |      |
| pedia | tans | ikip |      |      |      |      |      |      |      |      |      |      |      |
| .org/ |      | edia |      |      |      |      |      |      |      |      |      |      |      |
| wiki/ |      | .org |      |      |      |      |      |      |      |      |      |      |      |
| List_ |      | /wik |      |      |      |      |      |      |      |      |      |      |      |
| of_cu |      | i/Te |      |      |      |      |      |      |      |      |      |      |      |
| rrent |      | nnes |      |      |      |      |      |      |      |      |      |      |      |
| _Nati |      | see_ |      |      |      |      |      |      |      |      |      |      |      |
| onal_ |      | Tita |      |      |      |      |      |      |      |      |      |      |      |
| Footb |      | ns   |      |      |      |      |      |      |      |      |      |      |      |
| all_L |      |      |      |      |      |      |      |      |      |      |      |      |      |
| eague |      |      |      |      |      |      |      |      |      |      |      |      |      |
| _head |      |      |      |      |      |      |      |      |      |      |      |      |      |
| _coac |      |      |      |      |      |      |      |      |      |      |      |      |      |
| hes   |      |      |      |      |      |      |      |      |      |      |      |      |      |
+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
| https | Wash | http | Jay  | 2014 | 28   | 35   | 1    | 0.44 | 28   | 35   | 1    | 0.44 | 1    |
| ://en | ingt | s:// | Grud |      |      |      |      | 5    |      |      |      | 5    | NFC  |
| .wiki | on R | en.w | en   |      |      |      |      |      |      |      |      |      | East |
| pedia | edsk | ikip |      |      |      |      |      |      |      |      |      |      | Cham |
| .org/ | ins  | edia |      |      |      |      |      |      |      |      |      |      | pion |
| wiki/ |      | .org |      |      |      |      |      |      |      |      |      |      | ship |
| List_ |      | /wik |      |      |      |      |      |      |      |      |      |      |  1 P |
| of_cu |      | i/Wa |      |      |      |      |      |      |      |      |      |      | layo |
| rrent |      | shin |      |      |      |      |      |      |      |      |      |      | ff B |
| _Nati |      | gton |      |      |      |      |      |      |      |      |      |      | erth |
| onal_ |      | _Red |      |      |      |      |      |      |      |      |      |      |      |
| Footb |      | skin |      |      |      |      |      |      |      |      |      |      |      |
| all_L |      | s    |      |      |      |      |      |      |      |      |      |      |      |
| eague |      |      |      |      |      |      |      |      |      |      |      |      |      |
| _head |      |      |      |      |      |      |      |      |      |      |      |      |      |
| _coac |      |      |      |      |      |      |      |      |      |      |      |      |      |
| hes   |      |      |      |      |      |      |      |      |      |      |      |      |      |
+-------+------+------+------+------+------+------+------+------+------+------+------+------+------+
