+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| url    | Rank | Mounta | Height | Height | Promi | Range | Coord | Paren | First | Ascen | Count |
|        |      |        |        |        |       |       | a     |       |       |       |       |
|        |      |        |        |        |       |       | Barwa |       |       |       |       |
|        |      |        |        |        |       |       | (7782 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 29   | Kamet  | 7,756  | 25,446 | 2,825 | Garhw | 30°55 | Nanda | 1931  | 23    | India |
| //en.w |      |        |        |        |       | al Hi | ′12″N | Devi  |       | (14)  |       |
| ikiped |      |        |        |        |       | malay | 79°35 |       |       |       |       |
| ia.org |      |        |        |        |       | a     | ′30″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 30. |       |       |       |       |
| List_o |      |        |        |        |       |       | 92000 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 79 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .5916 |       |       |       |       |
| untain |      |        |        |        |       |       | 7°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 30.92 |       |       |       |       |
| arth   |      |        |        |        |       |       | 000;  |       |       |       |       |
|        |      |        |        |        |       |       | 79.59 |       |       |       |       |
|        |      |        |        |        |       |       | 167   |       |       |       |       |
|        |      |        |        |        |       |       | (29.  |       |       |       |       |
|        |      |        |        |        |       |       | Kamet |       |       |       |       |
|        |      |        |        |        |       |       | (7756 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 30   | Dhaula | 7,751  | 25,430 | 2,397 | Dhaul | 28°45 | Dhaul | 1971  | 4     | Nepal |
| //en.w |      | giri   |        |        |       | agiri | ′46″N | agiri |       | (11)  |       |
| ikiped |      | II     |        |        |       | Himal | 83°23 |       |       |       |       |
| ia.org |      |        |        |        |       | aya   | ′18″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 76278 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 83 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .3883 |       |       |       |       |
| untain |      |        |        |        |       |       | 3°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.76 |       |       |       |       |
| arth   |      |        |        |        |       |       | 278;  |       |       |       |       |
|        |      |        |        |        |       |       | 83.38 |       |       |       |       |
|        |      |        |        |        |       |       | 833   |       |       |       |       |
|        |      |        |        |        |       |       | (30.  |       |       |       |       |
|        |      |        |        |        |       |       | Dhaul |       |       |       |       |
|        |      |        |        |        |       |       | agiri |       |       |       |       |
|        |      |        |        |        |       |       | II    |       |       |       |       |
|        |      |        |        |        |       |       | (7751 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 31   | Saltor | 7,742  | 25,400 | 2,160 | Salto | 35°23 | Gashe | 1962  | 2 (1) | India |
| //en.w |      | o      |        |        |       | ro Ka | ′57″N | rbrum |       |       | • Pak |
| ikiped |      | Kangri |        |        |       | rakor | 76°50 | I     |       |       | istan |
| ia.org |      | / K10  |        |        |       | am    | ′53″E |       |       |       | [dp   |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       | 1][dp |
| List_o |      |        |        |        |       |       | 39917 |       |       |       | 3]    |
| f_high |      |        |        |        |       |       | °N 76 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .8480 |       |       |       |       |
| untain |      |        |        |        |       |       | 6°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.39 |       |       |       |       |
| arth   |      |        |        |        |       |       | 917;  |       |       |       |       |
|        |      |        |        |        |       |       | 76.84 |       |       |       |       |
|        |      |        |        |        |       |       | 806   |       |       |       |       |
|        |      |        |        |        |       |       | (31.  |       |       |       |       |
|        |      |        |        |        |       |       | Salto |       |       |       |       |
|        |      |        |        |        |       |       | ro Ka |       |       |       |       |
|        |      |        |        |        |       |       | ngri  |       |       |       |       |
|        |      |        |        |        |       |       | / K10 |       |       |       |       |
|        |      |        |        |        |       |       | (7742 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 32   | Kumbha | 7,711  | 25,299 | 1,036 | Kangc | 27°40 | Kangc | 1962  | 17    | Nepal |
| //en.w |      | karna  |        |        |       | henju | ′56″N | henju |       | (12)  |       |
| ikiped |      | /      |        |        |       | nga H | 88°02 | nga   |       |       |       |
| ia.org |      | Jannu  |        |        |       | imala | ′40″E |       |       |       |       |
| /wiki/ |      |        |        |        |       | ya    | / 27. |       |       |       |       |
| List_o |      |        |        |        |       |       | 68222 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 88 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .0444 |       |       |       |       |
| untain |      |        |        |        |       |       | 4°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 27.68 |       |       |       |       |
| arth   |      |        |        |        |       |       | 222;  |       |       |       |       |
|        |      |        |        |        |       |       | 88.04 |       |       |       |       |
|        |      |        |        |        |       |       | 444   |       |       |       |       |
|        |      |        |        |        |       |       | (32.  |       |       |       |       |
|        |      |        |        |        |       |       | Jannu |       |       |       |       |
|        |      |        |        |        |       |       | (7711 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 33   | Tirich | 7,708  | 25,289 | 3,910 | Hindu | 36°15 | Batur | 1950  | 20    | Pakis |
| //en.w |      | Mir    |        |        |       | Kush  | ′19″N | a Sar |       | (11)  | tan   |
| ikiped |      |        |        |        |       |       | 71°50 |       |       |       |       |
| ia.org |      |        |        |        |       |       | ′30″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 36. |       |       |       |       |
| List_o |      |        |        |        |       |       | 25528 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 71 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .8416 |       |       |       |       |
| untain |      |        |        |        |       |       | 7°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 36.25 |       |       |       |       |
| arth   |      |        |        |        |       |       | 528;  |       |       |       |       |
|        |      |        |        |        |       |       | 71.84 |       |       |       |       |
|        |      |        |        |        |       |       | 167   |       |       |       |       |
|        |      |        |        |        |       |       | (33.  |       |       |       |       |
|        |      |        |        |        |       |       | Tiric |       |       |       |       |
|        |      |        |        |        |       |       | h Mir |       |       |       |       |
|        |      |        |        |        |       |       | (7708 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 112  | Molame | 7,703  | 25,272 | 433   | Langt | 28°21 | Shish | 1981  | 1 (0) | China |
| //en.w |      | nqing  |        |        |       | ang H | ′18″N | apang |       |       |       |
| ikiped |      |        |        |        |       | imala | 85°48 | ma    |       |       |       |
| ia.org |      |        |        |        |       | ya    | ′35″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 35500 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 85 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .8097 |       |       |       |       |
| untain |      |        |        |        |       |       | 2°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.35 |       |       |       |       |
| arth   |      |        |        |        |       |       | 500;  |       |       |       |       |
|        |      |        |        |        |       |       | 85.80 |       |       |       |       |
|        |      |        |        |        |       |       | 972 ( |       |       |       |       |
|        |      |        |        |        |       |       | Molam |       |       |       |       |
|        |      |        |        |        |       |       | enqin |       |       |       |       |
|        |      |        |        |        |       |       | g     |       |       |       |       |
|        |      |        |        |        |       |       | (7703 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 34   | Gurla  | 7,694  | 25,243 | 2,788 | Nalak | 30°26 | Dhaul | 1985  | 6 (4) | China |
| //en.w |      | Mandha |        |        |       | ankar | ′19″N | agiri |       |       |       |
| ikiped |      | ta     |        |        |       | Himal | 81°17 |       |       |       |       |
| ia.org |      |        |        |        |       | aya   | ′48″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 30. |       |       |       |       |
| List_o |      |        |        |        |       |       | 43861 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 81 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .2966 |       |       |       |       |
| untain |      |        |        |        |       |       | 7°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 30.43 |       |       |       |       |
| arth   |      |        |        |        |       |       | 861;  |       |       |       |       |
|        |      |        |        |        |       |       | 81.29 |       |       |       |       |
|        |      |        |        |        |       |       | 667   |       |       |       |       |
|        |      |        |        |        |       |       | (34.  |       |       |       |       |
|        |      |        |        |        |       |       | Gurla |       |       |       |       |
|        |      |        |        |        |       |       | Mandh |       |       |       |       |
|        |      |        |        |        |       |       | ata   |       |       |       |       |
|        |      |        |        |        |       |       | (7694 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 35   | Saser  | 7,672  | 25,171 | 2,304 | Saser | 34°52 | Gashe | 1973  | 6 (4) | India |
| //en.w |      | Kangri |        |        |       | Karak | ′00″N | rbrum |       |       |       |
| ikiped |      | I /    |        |        |       | oram  | 77°45 | I     |       |       |       |
| ia.org |      | K22    |        |        |       |       | ′09″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 34. |       |       |       |       |
| List_o |      |        |        |        |       |       | 86667 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 77 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .7525 |       |       |       |       |
| untain |      |        |        |        |       |       | 0°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 34.86 |       |       |       |       |
| arth   |      |        |        |        |       |       | 667;  |       |       |       |       |
|        |      |        |        |        |       |       | 77.75 |       |       |       |       |
|        |      |        |        |        |       |       | 250   |       |       |       |       |
|        |      |        |        |        |       |       | (35.  |       |       |       |       |
|        |      |        |        |        |       |       | Saser |       |       |       |       |
|        |      |        |        |        |       |       | Kangr |       |       |       |       |
|        |      |        |        |        |       |       | i I / |       |       |       |       |
|        |      |        |        |        |       |       | K22   |       |       |       |       |
|        |      |        |        |        |       |       | (7672 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 36   | Chogol | 7,665  | 25,148 | 1,624 | Mashe | 35°36 | Mashe | 1975  | 4 (2) | Pakis |
| //en.w |      | isa    |        |        |       | rbrum | ′47″N | rbrum |       |       | tan[d |
| ikiped |      |        |        |        |       | Karak | 76°34 |       |       |       | p 1]  |
| ia.org |      |        |        |        |       | oram  | ′29″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       |       |
| List_o |      |        |        |        |       |       | 61306 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 76 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .5747 |       |       |       |       |
| untain |      |        |        |        |       |       | 2°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.61 |       |       |       |       |
| arth   |      |        |        |        |       |       | 306;  |       |       |       |       |
|        |      |        |        |        |       |       | 76.57 |       |       |       |       |
|        |      |        |        |        |       |       | 472   |       |       |       |       |
|        |      |        |        |        |       |       | (36.  |       |       |       |       |
|        |      |        |        |        |       |       | Chogo |       |       |       |       |
|        |      |        |        |        |       |       | lisa  |       |       |       |       |
|        |      |        |        |        |       |       | (7665 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 113  | Dhaula | 7,661  | 25,135 | 469   | Dhaul | 28°44 | Dhaul | 1975  | 2     | Nepal |
| //en.w |      | giri   |        |        |       | agiri | ′09″N | agiri |       | (10)  |       |
| ikiped |      | IV     |        |        |       | Himal | 83°18 | II    |       |       |       |
| ia.org |      |        |        |        |       | aya   | ′55″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 73583 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 83 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .3152 |       |       |       |       |
| untain |      |        |        |        |       |       | 8°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.73 |       |       |       |       |
| arth   |      |        |        |        |       |       | 583;  |       |       |       |       |
|        |      |        |        |        |       |       | 83.31 |       |       |       |       |
|        |      |        |        |        |       |       | 528 ( |       |       |       |       |
|        |      |        |        |        |       |       | Dhaul |       |       |       |       |
|        |      |        |        |        |       |       | agiri |       |       |       |       |
|        |      |        |        |        |       |       | IV    |       |       |       |       |
|        |      |        |        |        |       |       | (7661 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 37   | Kongur | 7,649  | 25,095 | 3,585 | Kongu | 38°35 | Dista | 1981  | 2 (4) | China |
| //en.w |      | Tagh   |        |        |       | r     | ′36″N | ghil  |       |       |       |
| ikiped |      |        |        |        |       | Shan  | 75°18 | Sar   |       |       |       |
| ia.org |      |        |        |        |       | (East | ′48″E |       |       |       |       |
| /wiki/ |      |        |        |        |       | ern P | / 38. |       |       |       |       |
| List_o |      |        |        |        |       | amirs | 59333 |       |       |       |       |
| f_high |      |        |        |        |       | )     | °N 75 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .3133 |       |       |       |       |
| untain |      |        |        |        |       |       | 3°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 38.59 |       |       |       |       |
| arth   |      |        |        |        |       |       | 333;  |       |       |       |       |
|        |      |        |        |        |       |       | 75.31 |       |       |       |       |
|        |      |        |        |        |       |       | 333   |       |       |       |       |
|        |      |        |        |        |       |       | (37.  |       |       |       |       |
|        |      |        |        |        |       |       | Kongu |       |       |       |       |
|        |      |        |        |        |       |       | r     |       |       |       |       |
|        |      |        |        |        |       |       | Tagh  |       |       |       |       |
|        |      |        |        |        |       |       | (7649 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 114  | Dhaula | 7,618  | 24,993 | 340   | Dhaul | 28°44 | Dhaul | 1975  | 2 (3) | Nepal |
| //en.w |      | giri V |        |        |       | agiri | ′02″N | agiri |       |       |       |
| ikiped |      |        |        |        |       | Himal | 83°21 | IV    |       |       |       |
| ia.org |      |        |        |        |       | aya   | ′41″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 73389 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 83 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .3613 |       |       |       |       |
| untain |      |        |        |        |       |       | 9°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.73 |       |       |       |       |
| arth   |      |        |        |        |       |       | 389;  |       |       |       |       |
|        |      |        |        |        |       |       | 83.36 |       |       |       |       |
|        |      |        |        |        |       |       | 139 ( |       |       |       |       |
|        |      |        |        |        |       |       | Dhaul |       |       |       |       |
|        |      |        |        |        |       |       | agiri |       |       |       |       |
|        |      |        |        |        |       |       | V     |       |       |       |       |
|        |      |        |        |        |       |       | (7618 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 38   | Shispa | 7,611  | 24,970 | 1,240 | Batur | 36°26 | Batur | 1974  | 3 (1) | Pakis |
| //en.w |      | re     |        |        |       | a Kar | ′26″N | a Sar |       |       | tan[d |
| ikiped |      |        |        |        |       | akora | 74°40 |       |       |       | p 1]  |
| ia.org |      |        |        |        |       | m     | ′51″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 36. |       |       |       |       |
| List_o |      |        |        |        |       |       | 44056 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 74 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .6808 |       |       |       |       |
| untain |      |        |        |        |       |       | 3°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 36.44 |       |       |       |       |
| arth   |      |        |        |        |       |       | 056;  |       |       |       |       |
|        |      |        |        |        |       |       | 74.68 |       |       |       |       |
|        |      |        |        |        |       |       | 083   |       |       |       |       |
|        |      |        |        |        |       |       | (38.  |       |       |       |       |
|        |      |        |        |        |       |       | Shisp |       |       |       |       |
|        |      |        |        |        |       |       | are   |       |       |       |       |
|        |      |        |        |        |       |       | (7611 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 39   | Trivor | 7,577  | 24,859 | 997   | Hispa | 36°17 | Dista | 1960  | 2 (5) | Pakis |
| //en.w |      |        |        |        |       | r Kar | ′15″N | ghil  |       |       | tan[d |
| ikiped |      |        |        |        |       | akora | 75°05 | Sar   |       |       | p 1]  |
| ia.org |      |        |        |        |       | m     | ′06″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 36. |       |       |       |       |
| List_o |      |        |        |        |       |       | 28750 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 75 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .0850 |       |       |       |       |
| untain |      |        |        |        |       |       | 0°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 36.28 |       |       |       |       |
| arth   |      |        |        |        |       |       | 750;  |       |       |       |       |
|        |      |        |        |        |       |       | 75.08 |       |       |       |       |
|        |      |        |        |        |       |       | 500   |       |       |       |       |
|        |      |        |        |        |       |       | (39.  |       |       |       |       |
|        |      |        |        |        |       |       | Trivo |       |       |       |       |
|        |      |        |        |        |       |       | r     |       |       |       |       |
|        |      |        |        |        |       |       | (7577 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 40   | Gangkh | 7,570  | 24,836 | 2,995 | Kula  | 28°02 | Kangc | uncli | 0 (3) | Bhuta |
| //en.w |      | ar Pue |        |        |       | Kangr | ′50″N | henju | mbed  |       | n •   |
| ikiped |      | nsum   |        |        |       | i Him | 90°27 | nga   |       |       | China |
| ia.org |      |        |        |        |       | alaya | ′19″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 04722 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 90 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .4552 |       |       |       |       |
| untain |      |        |        |        |       |       | 8°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.04 |       |       |       |       |
| arth   |      |        |        |        |       |       | 722;  |       |       |       |       |
|        |      |        |        |        |       |       | 90.45 |       |       |       |       |
|        |      |        |        |        |       |       | 528   |       |       |       |       |
|        |      |        |        |        |       |       | (40.  |       |       |       |       |
|        |      |        |        |        |       |       | Gangk |       |       |       |       |
|        |      |        |        |        |       |       | har P |       |       |       |       |
|        |      |        |        |        |       |       | uensu |       |       |       |       |
|        |      |        |        |        |       |       | m     |       |       |       |       |
|        |      |        |        |        |       |       | (7570 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 41   | Gongga | 7,556  | 24,790 | 3,642 | Daxue | 29°35 | Mount | 1932  | 6 (7) | China |
| //en.w |      | Shan / |        |        |       | Shan  | ′43″N | Evere |       |       |       |
| ikiped |      |  Minya |        |        |       | (Heng | 101°5 | st    |       |       |       |
| ia.org |      | Konka  |        |        |       | duan  | 2′47″ |       |       |       |       |
| /wiki/ |      |        |        |        |       | Shan) | E / 2 |       |       |       |       |
| List_o |      |        |        |        |       |       | 9.595 |       |       |       |       |
| f_high |      |        |        |        |       |       | 28°N  |       |       |       |       |
| est_mo |      |        |        |        |       |       | 101.8 |       |       |       |       |
| untain |      |        |        |        |       |       | 7972° |       |       |       |       |
| s_on_E |      |        |        |        |       |       | E / 2 |       |       |       |       |
| arth   |      |        |        |        |       |       | 9.595 |       |       |       |       |
|        |      |        |        |        |       |       | 28; 1 |       |       |       |       |
|        |      |        |        |        |       |       | 01.87 |       |       |       |       |
|        |      |        |        |        |       |       | 972   |       |       |       |       |
|        |      |        |        |        |       |       | (41.  |       |       |       |       |
|        |      |        |        |        |       |       | Gongg |       |       |       |       |
|        |      |        |        |        |       |       | a     |       |       |       |       |
|        |      |        |        |        |       |       | Shan  |       |       |       |       |
|        |      |        |        |        |       |       | /     |       |       |       |       |
|        |      |        |        |        |       |       | Minya |       |       |       |       |
|        |      |        |        |        |       |       | Konka |       |       |       |       |
|        |      |        |        |        |       |       | (7556 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 42   | Annapu | 7,555  | 24,787 | 703   | Annap | 28°35 | Annap | 1961  | 10    | Nepal |
| //en.w |      | rna    |        |        |       | urna  | ′06″N | urna  |       | (17)  |       |
| ikiped |      | III    |        |        |       | Himal | 83°59 | I     |       |       |       |
| ia.org |      |        |        |        |       | aya   | ′24″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 58500 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 83 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .9900 |       |       |       |       |
| untain |      |        |        |        |       |       | 0°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.58 |       |       |       |       |
| arth   |      |        |        |        |       |       | 500;  |       |       |       |       |
|        |      |        |        |        |       |       | 83.99 |       |       |       |       |
|        |      |        |        |        |       |       | 000   |       |       |       |       |
|        |      |        |        |        |       |       | (42.  |       |       |       |       |
|        |      |        |        |        |       |       | Annap |       |       |       |       |
|        |      |        |        |        |       |       | urna  |       |       |       |       |
|        |      |        |        |        |       |       | III   |       |       |       |       |
|        |      |        |        |        |       |       | (7555 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 43   | Skyang | 7,545  | 24,754 | 1,085 | Balto | 35°55 | K2    | 1976  | 1 (2) | Pakis |
| //en.w |      | Kangri |        |        |       | ro Ka | ′35″N |       |       |       | tan[d |
| ikiped |      |        |        |        |       | rakor | 76°34 |       |       |       | p 1]  |
| ia.org |      |        |        |        |       | am    | ′03″E |       |       |       | • Chi |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       | na[dp |
| List_o |      |        |        |        |       |       | 92639 |       |       |       | 2]    |
| f_high |      |        |        |        |       |       | °N 76 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .5675 |       |       |       |       |
| untain |      |        |        |        |       |       | 0°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.92 |       |       |       |       |
| arth   |      |        |        |        |       |       | 639;  |       |       |       |       |
|        |      |        |        |        |       |       | 76.56 |       |       |       |       |
|        |      |        |        |        |       |       | 750   |       |       |       |       |
|        |      |        |        |        |       |       | (43.  |       |       |       |       |
|        |      |        |        |        |       |       | Skyan |       |       |       |       |
|        |      |        |        |        |       |       | g Kan |       |       |       |       |
|        |      |        |        |        |       |       | gri   |       |       |       |       |
|        |      |        |        |        |       |       | (7545 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 44   | Changt | 7,543  | 24,747 | 514   | Mahal | 28°01 | Mount | 1982  | 9 (9) | China |
| //en.w |      | se     |        |        |       | angur | ′29″N | Evere |       |       |       |
| ikiped |      |        |        |        |       | Himal | 86°54 | st    |       |       |       |
| ia.org |      |        |        |        |       | aya   | ′51″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 02472 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 86 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .9141 |       |       |       |       |
| untain |      |        |        |        |       |       | 7°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.02 |       |       |       |       |
| arth   |      |        |        |        |       |       | 472;  |       |       |       |       |
|        |      |        |        |        |       |       | 86.91 |       |       |       |       |
|        |      |        |        |        |       |       | 417   |       |       |       |       |
|        |      |        |        |        |       |       | (44.  |       |       |       |       |
|        |      |        |        |        |       |       | Chang |       |       |       |       |
|        |      |        |        |        |       |       | tse   |       |       |       |       |
|        |      |        |        |        |       |       | (7543 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 45   | Kula   | 7,538  | 24,731 | 1,654 | Kula  | 28°13 | Gangk | 1986  | 3 (2) | China |
| //en.w |      | Kangri |        |        |       | Kangr | ′37″N | har P |       |       | ( • B |
| ikiped |      |        |        |        |       | i Him | 90°36 | uensu |       |       | hutan |
| ia.org |      |        |        |        |       | alaya | ′59″E | m     |       |       | )[dp  |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       | 4]    |
| List_o |      |        |        |        |       |       | 22694 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 90 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .6163 |       |       |       |       |
| untain |      |        |        |        |       |       | 9°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.22 |       |       |       |       |
| arth   |      |        |        |        |       |       | 694;  |       |       |       |       |
|        |      |        |        |        |       |       | 90.61 |       |       |       |       |
|        |      |        |        |        |       |       | 639   |       |       |       |       |
|        |      |        |        |        |       |       | (45.  |       |       |       |       |
|        |      |        |        |        |       |       | Kula  |       |       |       |       |
|        |      |        |        |        |       |       | Kangr |       |       |       |       |
|        |      |        |        |        |       |       | i     |       |       |       |       |
|        |      |        |        |        |       |       | (7538 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 46   | Kongur | 7,530  | 24,705 | 840   | Kongu | 38°36 | Kongu | 1956  | 2 (3) | China |
| //en.w |      | Tiube  |        |        |       | r     | ′57″N | r     |       |       |       |
| ikiped |      |        |        |        |       | Shan  | 75°11 | Tagh  |       |       |       |
| ia.org |      |        |        |        |       | (East | ′45″E |       |       |       |       |
| /wiki/ |      |        |        |        |       | ern P | / 38. |       |       |       |       |
| List_o |      |        |        |        |       | amirs | 61583 |       |       |       |       |
| f_high |      |        |        |        |       | )     | °N 75 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .1958 |       |       |       |       |
| untain |      |        |        |        |       |       | 3°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 38.61 |       |       |       |       |
| arth   |      |        |        |        |       |       | 583;  |       |       |       |       |
|        |      |        |        |        |       |       | 75.19 |       |       |       |       |
|        |      |        |        |        |       |       | 583   |       |       |       |       |
|        |      |        |        |        |       |       | (46.  |       |       |       |       |
