+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| url        | Rank | Title     | Title_lin | Type | Opening_D | Closing_D | Performan | Comment   |
|            |      |           |           |      |           |           |           | Vivian    |
|            |      |           |           |      |           |           |           | Beaumont  |
|            |      |           |           |      |           |           |           | Theater)  |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 22   | Hairspray | https://e | M    | August    | January   | 2,642     | 8 Tony    |
| .wikipedia |      |           | n.wikiped |      | 15, 2002  | 4, 2009   |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 2003,     |
| List_of_th |      |           | ki/Hairsp |      |           |           |           | including |
| e_longest- |      |           | ray_(musi |      |           |           |           | Best      |
| running_Br |      |           | cal)      |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  10 Drama |
| ws         |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 2003,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng        |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           | Show      |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 2003      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 23   | Mary      | https://e | M    | November  | March 3,  | 2,619     | A Tony    |
| .wikipedia |      | Poppins   | n.wikiped |      | 16, 2006  | 2013      |           | Award in  |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 2007      |
| List_of_th |      |           | ki/Mary_P |      |           |           |           |  2 Drama  |
| e_longest- |      |           | oppins_(m |      |           |           |           | Desk      |
| running_Br |      |           | usical)   |      |           |           |           | Awards in |
| oadway_sho |      |           |           |      |           |           |           | 2007      |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 24   | Avenue Q  | https://e | M    | July 31,  | September | 2,534     | 3 Tony    |
| .wikipedia |      |           | n.wikiped |      | 2003      | 13, 2009  |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 2004,     |
| List_of_th |      |           | ki/Avenue |      |           |           |           | including |
| e_longest- |      |           | _Q        |      |           |           |           | Best      |
| running_Br |      |           |           |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |           |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 25   | The       | https://e | M    | April 19, | April 22, | 2,502     | 12 Tony   |
| .wikipedia |      | Producers | n.wikiped |      | 2001      | 2007      |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 2001,     |
| List_of_th |      |           | ki/The_Pr |      |           |           |           | including |
| e_longest- |      |           | oducers_( |      |           |           |           | Best      |
| running_Br |      |           | musical)  |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  11 Drama |
| ws         |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 2001,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng        |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           | Show      |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 2002      |
|            |      |           |           |      |           |           |           |  Most     |
|            |      |           |           |      |           |           |           | Tony      |
|            |      |           |           |      |           |           |           | Awards    |
|            |      |           |           |      |           |           |           | won by a  |
|            |      |           |           |      |           |           |           | productio |
|            |      |           |           |      |           |           |           | n         |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 26   | Annie     | https://e | M    | April 21, | January   | 2,377     | 7 Tony    |
| .wikipedia |      |           | n.wikiped |      | 1977      | 2, 1983   |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1977,     |
| List_of_th |      |           | ki/Annie_ |      |           |           |           | including |
| e_longest- |      |           | (musical) |      |           |           |           | Best      |
| running_Br |      |           |           |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  7 Drama  |
| ws         |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 1977,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng        |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best Cast |
|            |      |           |           |      |           |           |           | Show      |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 1978      |
|            |      |           |           |      |           |           |           |  Revivals |
|            |      |           |           |      |           |           |           | in 1997   |
|            |      |           |           |      |           |           |           | (239 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | and 2012  |
|            |      |           |           |      |           |           |           | (487 perf |
|            |      |           |           |      |           |           |           | ormances) |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 26   | Cabaret   | https://e | M    | March 19, | January   | 2,377     | Revival   |
| .wikipedia |      |           | n.wikiped |      | 1998      | 4, 2004   |           |  4 Tony   |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | Awards in |
| List_of_th |      |           | ki/Cabare |      |           |           |           | 1998,     |
| e_longest- |      |           | t_(musica |      |           |           |           | including |
| running_Br |      |           | l)        |      |           |           |           | Best      |
| oadway_sho |      |           |           |      |           |           |           | Revival   |
| ws         |      |           |           |      |           |           |           | of a      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  3 Drama  |
|            |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 1998,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng        |
|            |      |           |           |      |           |           |           | Revival   |
|            |      |           |           |      |           |           |           | of a      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  Original |
|            |      |           |           |      |           |           |           | productio |
|            |      |           |           |      |           |           |           | n in 1966 |
|            |      |           |           |      |           |           |           | (1165 per |
|            |      |           |           |      |           |           |           | formances |
|            |      |           |           |      |           |           |           | ) and     |
|            |      |           |           |      |           |           |           | revivals  |
|            |      |           |           |      |           |           |           | in 1987   |
|            |      |           |           |      |           |           |           | (261 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | and 2014  |
|            |      |           |           |      |           |           |           | (388 perf |
|            |      |           |           |      |           |           |           | ormances) |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 28   | Man of La | https://e | M    | November  | June 26,  | 2,328     | 5 Tony    |
| .wikipedia |      | Mancha    | n.wikiped |      | 22, 1965  | 1971      |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1966,     |
| List_of_th |      |           | ki/Man_of |      |           |           |           | including |
| e_longest- |      |           | _La_Manch |      |           |           |           | Best      |
| running_Br |      |           | a         |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  Revivals |
| ws         |      |           |           |      |           |           |           | in 1972   |
|            |      |           |           |      |           |           |           | (140 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | , 1977    |
|            |      |           |           |      |           |           |           | (124 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | , 1992    |
|            |      |           |           |      |           |           |           | (108 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | , and     |
|            |      |           |           |      |           |           |           | 2002 (304 |
|            |      |           |           |      |           |           |           | performan |
|            |      |           |           |      |           |           |           | ces)      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 28   | Rock of   | https://e | M    | April 7,  | January   | 2,328     |           |
| .wikipedia |      | Ages      | n.wikiped |      | 2009      | 18, 2015  |           |           |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           |           |
| List_of_th |      |           | ki/Rock_o |      |           |           |           |           |
| e_longest- |      |           | f_Ages_(m |      |           |           |           |           |
| running_Br |      |           | usical)   |      |           |           |           |           |
| oadway_sho |      |           |           |      |           |           |           |           |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 30   | Abie's    | https://e | P    | May 23,   | October   | 2,327     | Revivals  |
| .wikipedia |      | Irish     | n.wikiped |      | 1922      | 1, 1927   |           | in 1937   |
| .org/wiki/ |      | Rose      | ia.org/wi |      |           |           |           | (46 perfo |
| List_of_th |      |           | ki/Abie%2 |      |           |           |           | rmances)  |
| e_longest- |      |           | 7s_Irish_ |      |           |           |           | and 1954  |
| running_Br |      |           | Rose      |      |           |           |           | (20 perfo |
| oadway_sho |      |           |           |      |           |           |           | rmances)  |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 31   | Oklahoma! | https://e | M    | March 31, | May 29,   | 2,212     | A Special |
| .wikipedia |      |           | n.wikiped |      | 1943      | 1948      |           | Tony      |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | Award in  |
| List_of_th |      |           | ki/Oklaho |      |           |           |           | 1993 for  |
| e_longest- |      |           | ma!       |      |           |           |           | the       |
| running_Br |      |           |           |      |           |           |           | show's    |
| oadway_sho |      |           |           |      |           |           |           | 50th anni |
| ws         |      |           |           |      |           |           |           | versary   |
|            |      |           |           |      |           |           |           |  Revivals |
|            |      |           |           |      |           |           |           | in 1951   |
|            |      |           |           |      |           |           |           | (100 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | , 1953    |
|            |      |           |           |      |           |           |           | (40 perfo |
|            |      |           |           |      |           |           |           | rmances), |
|            |      |           |           |      |           |           |           | 1979 (293 |
|            |      |           |           |      |           |           |           | performan |
|            |      |           |           |      |           |           |           | ces), and |
|            |      |           |           |      |           |           |           | 2002 (388 |
|            |      |           |           |      |           |           |           | performan |
|            |      |           |           |      |           |           |           | ces)      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 32   | Kinky     | https://e | M    | April 4,  |           | 2,114     | Currently |
| .wikipedia |      | Boots     | n.wikiped |      | 2013      |           |           | running   |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | at the Al |
| List_of_th |      |           | ki/Kinky_ |      |           |           |           | Hirschfel |
| e_longest- |      |           | Boots_(mu |      |           |           |           | d Theatre |
| running_Br |      |           | sical)    |      |           |           |           |  6 Tony   |
| oadway_sho |      |           |           |      |           |           |           | Awards in |
| ws         |      |           |           |      |           |           |           | 2013,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  A Drama  |
|            |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Award in  |
|            |      |           |           |      |           |           |           | 2013      |
|            |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           | Theater   |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 2014      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 33   | Smokey    | https://e | R    | March 2,  | January   | 2,036     | Broadway' |
| .wikipedia |      | Joe's     | n.wikiped |      | 1995      | 16, 2000  |           | s longest |
| .org/wiki/ |      | Cafe      | ia.org/wi |      |           |           |           | running   |
| List_of_th |      |           | ki/Smokey |      |           |           |           | original  |
| e_longest- |      |           | _Joe%27s_ |      |           |           |           | music     |
| running_Br |      |           | Cafe      |      |           |           |           | revue.    |
| oadway_sho |      |           |           |      |           |           |           | The       |
| ws         |      |           |           |      |           |           |           | longest   |
|            |      |           |           |      |           |           |           | running   |
|            |      |           |           |      |           |           |           | musical   |
|            |      |           |           |      |           |           |           | revue,    |
|            |      |           |           |      |           |           |           | Oh! Calcu |
|            |      |           |           |      |           |           |           | tta!, was |
|            |      |           |           |      |           |           |           | a         |
|            |      |           |           |      |           |           |           | revival.  |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 34   | Pippin    | https://e | M    | October   | June 12,  | 1,944     | 5 Tony    |
| .wikipedia |      |           | n.wikiped |      | 23, 1972  | 1977      |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1973      |
| List_of_th |      |           | ki/Pippin |      |           |           |           |  5 Drama  |
| e_longest- |      |           | _(musical |      |           |           |           | Desk      |
| running_Br |      |           | )         |      |           |           |           | Awards in |
| oadway_sho |      |           |           |      |           |           |           | 1973      |
| ws         |      |           |           |      |           |           |           |  Revival  |
|            |      |           |           |      |           |           |           | in 2013   |
|            |      |           |           |      |           |           |           | (709 perf |
|            |      |           |           |      |           |           |           | ormances) |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 35   | South     | https://e | M    | April 7,  | January   | 1,925     | 10 Tony   |
| .wikipedia |      | Pacific   | n.wikiped |      | 1949      | 16, 1954  |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1950,     |
| List_of_th |      |           | ki/South_ |      |           |           |           | including |
| e_longest- |      |           | Pacific_( |      |           |           |           | Best      |
| running_Br |      |           | musical)  |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  Pulitzer |
| ws         |      |           |           |      |           |           |           | Prize for |
|            |      |           |           |      |           |           |           | Drama in  |
|            |      |           |           |      |           |           |           | 1950      |
|            |      |           |           |      |           |           |           |  Revivals |
|            |      |           |           |      |           |           |           | in 1955   |
|            |      |           |           |      |           |           |           | (15 perfo |
|            |      |           |           |      |           |           |           | rmances)  |
|            |      |           |           |      |           |           |           | and 2008  |
|            |      |           |           |      |           |           |           | (996 perf |
|            |      |           |           |      |           |           |           | ormances) |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 36   | The Magic | https://e | M    | May 28,   | December  | 1,920     |           |
| .wikipedia |      | Show      | n.wikiped |      | 1974      | 31, 1978  |           |           |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           |           |
| List_of_th |      |           | ki/The_Ma |      |           |           |           |           |
| e_longest- |      |           | gic_Show  |      |           |           |           |           |
| running_Br |      |           |           |      |           |           |           |           |
| oadway_sho |      |           |           |      |           |           |           |           |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 37   | Aida      | https://e | M    | March 23, | September | 1,852     | 4 Tony    |
| .wikipedia |      |           | n.wikiped |      | 2000      | 5, 2004   |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 2000      |
| List_of_th |      |           | ki/Aida_( |      |           |           |           |  A Drama  |
| e_longest- |      |           | musical)  |      |           |           |           | Desk      |
| running_Br |      |           |           |      |           |           |           | Award in  |
| oadway_sho |      |           |           |      |           |           |           | 2000      |
| ws         |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           | Show      |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 2001      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 38   | Gemini    | https://e | P    | May 21,   | September | 1,819     |           |
| .wikipedia |      |           | n.wikiped |      | 1977      | 6, 1981   |           |           |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           |           |
| List_of_th |      |           | ki/Gemini |      |           |           |           |           |
| e_longest- |      |           | _(play)   |      |           |           |           |           |
| running_Br |      |           |           |      |           |           |           |           |
| oadway_sho |      |           |           |      |           |           |           |           |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 39   | Deathtrap | https://e | P    | February  | June 13,  | 1,793     |           |
| .wikipedia |      |           | n.wikiped |      | 26, 1978  | 1982      |           |           |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           |           |
| List_of_th |      |           | ki/Deatht |      |           |           |           |           |
| e_longest- |      |           | rap_(play |      |           |           |           |           |
| running_Br |      |           | )         |      |           |           |           |           |
| oadway_sho |      |           |           |      |           |           |           |           |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 40   | Beautiful | https://e | M    | January   |           | 1,792     | Currently |
| .wikipedia |      | : The     | n.wikiped |      | 12, 2014  |           |           | running   |
| .org/wiki/ |      | Carole    | ia.org/wi |      |           |           |           | at the    |
| List_of_th |      | King      | ki/Beauti |      |           |           |           | Stephen   |
| e_longest- |      | Musical   | ful:_The_ |      |           |           |           | Sondheim  |
| running_Br |      |           | Carole_Ki |      |           |           |           | Theatre   |
| oadway_sho |      |           | ng_Musica |      |           |           |           |  2 Tony   |
| ws         |      |           | l         |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 2014      |
|            |      |           |           |      |           |           |           |  3 Drama  |
|            |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 2014      |
|            |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           | Theater   |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 2015      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 41   | Harvey    | https://e | P    | November  | January   | 1,775     | Revival   |
| .wikipedia |      |           | n.wikiped |      | 1, 1944   | 15, 1949  |           | in 1970   |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | (79 perfo |
| List_of_th |      |           | ki/Harvey |      |           |           |           | rmances)  |
| e_longest- |      |           | _(play)   |      |           |           |           | and 2012  |
| running_Br |      |           |           |      |           |           |           | (62 perfo |
| oadway_sho |      |           |           |      |           |           |           | rmances)  |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 42   | Dancin'   | https://e | D    | March 27, | June 27,  | 1,774     | 2 Tony    |
| .wikipedia |      |           | n.wikiped |      | 1978      | 1982      |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1978      |
| List_of_th |      |           | ki/Dancin |      |           |           |           |  2 Drama  |
| e_longest- |      |           | %27       |      |           |           |           | Desk      |
| running_Br |      |           |           |      |           |           |           | Awards in |
| oadway_sho |      |           |           |      |           |           |           | 1978      |
| ws         |      |           |           |      |           |           |           |  Broadway |
|            |      |           |           |      |           |           |           | 's        |
|            |      |           |           |      |           |           |           | longest-  |
|            |      |           |           |      |           |           |           | running   |
|            |      |           |           |      |           |           |           | dance     |
|            |      |           |           |      |           |           |           | musical   |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 43   | La Cage   | https://e | M    | August    | November  | 1,761     | 6 Tony    |
| .wikipedia |      | aux       | n.wikiped |      | 21, 1983  | 15, 1987  |           | Awards in |
| .org/wiki/ |      | Folles    | ia.org/wi |      |           |           |           | 1984,     |
| List_of_th |      |           | ki/La_Cag |      |           |           |           | including |
| e_longest- |      |           | e_aux_Fol |      |           |           |           | Best      |
| running_Br |      |           | les_(musi |      |           |           |           | Musical   |
| oadway_sho |      |           | cal)      |      |           |           |           |  3 Drama  |
| ws         |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 1984      |
|            |      |           |           |      |           |           |           |  Revivals |
|            |      |           |           |      |           |           |           | in 2004   |
|            |      |           |           |      |           |           |           | (229 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | and 2010  |
|            |      |           |           |      |           |           |           | (433 perf |
|            |      |           |           |      |           |           |           | ormances) |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 44   | Hair      | https://e | M    | April 29, | July 1,   | 1,750     | A Drama   |
| .wikipedia |      |           | n.wikiped |      | 1968      | 1972      |           | Desk      |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | Award in  |
| List_of_th |      |           | ki/Hair_( |      |           |           |           | 1968      |
| e_longest- |      |           | musical)  |      |           |           |           |  Grammy   |
| running_Br |      |           |           |      |           |           |           | Award for |
| oadway_sho |      |           |           |      |           |           |           | Best      |
| ws         |      |           |           |      |           |           |           | Score     |
|            |      |           |           |      |           |           |           | From an   |
|            |      |           |           |      |           |           |           | Original  |
|            |      |           |           |      |           |           |           | Cast Show |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 1969      |
|            |      |           |           |      |           |           |           |  Revivals |
|            |      |           |           |      |           |           |           | in 1977   |
|            |      |           |           |      |           |           |           | (43 perfo |
|            |      |           |           |      |           |           |           | rmances), |
|            |      |           |           |      |           |           |           | 2004 (1   |
|            |      |           |           |      |           |           |           | benefit p |
|            |      |           |           |      |           |           |           | erformanc |
|            |      |           |           |      |           |           |           | e), 2009  |
|            |      |           |           |      |           |           |           | (519 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | , and     |
|            |      |           |           |      |           |           |           | 2011 (67  |
|            |      |           |           |      |           |           |           | performan |
|            |      |           |           |      |           |           |           | ces)      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 45   | Aladdin   | https://e | M    | March 20, |           | 1,723     | Currently |
| .wikipedia |      |           | n.wikiped |      | 2014      |           |           | running   |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | at the    |
| List_of_th |      |           | ki/Aladdi |      |           |           |           | New       |
| e_longest- |      |           | n_(2011_m |      |           |           |           | Amsterdam |
| running_Br |      |           | usical)   |      |           |           |           | Theatre   |
| oadway_sho |      |           |           |      |           |           |           |  A Tony   |
| ws         |      |           |           |      |           |           |           | Award in  |
|            |      |           |           |      |           |           |           | 2014      |
|            |      |           |           |      |           |           |           |  A Drama  |
|            |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Award in  |
|            |      |           |           |      |           |           |           | 2014      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 46   | The Wiz   | https://e | M    | January   | January   | 1,672     | 7 Tony    |
| .wikipedia |      |           | n.wikiped |      | 5, 1975   | 28, 1979  |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1975,     |
| List_of_th |      |           | ki/The_Wi |      |           |           |           | including |
| e_longest- |      |           | z         |      |           |           |           | Best      |
| running_Br |      |           |           |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  5 Drama  |
| ws         |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 1975,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng        |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best Cast |
|            |      |           |           |      |           |           |           | Show      |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 1976      |
|            |      |           |           |      |           |           |           |  Revival  |
|            |      |           |           |      |           |           |           | in 1984   |
|            |      |           |           |      |           |           |           | (13 perfo |
|            |      |           |           |      |           |           |           | rmances)  |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 47   | Born      | https://e | P    | February  | December  | 1,642     | Revivals  |
| .wikipedia |      | Yesterday | n.wikiped |      | 4, 1946   | 31, 1949  |           | in 1989   |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | (153 perf |
| List_of_th |      |           | ki/Born_Y |      |           |           |           | ormances) |
| e_longest- |      |           | esterday_ |      |           |           |           | and 2011  |
| running_Br |      |           | (play)    |      |           |           |           | (73 perfo |
| oadway_sho |      |           |           |      |           |           |           | rmances)  |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 48   | Crazy for | https://e | M    | February  | January   | 1,622     | 3 Tony    |
| .wikipedia |      | You       | n.wikiped |      | 19, 1992  | 7, 1996   |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1992,     |
