+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| url        | Product    | Product_li | Price     | Store     | Reviews   | Reviews_l | Descripti |
| n+I+but+Fa |            | SEwix6vDh0 |           |           |           |           |           |
| llout%3F&s |            | MTaAhUSjsg |           |           |           |           |           |
| ource=lnms |            | KHdHCAogYA |           |           |           |           |           |
| &tbm=shop& |            | BAZGgJxdQ& |           |           |           |           |           |
| sa=X&ved=0 |            | sig=AOD64_ |           |           |           |           |           |
| ahUKEwistd |            | 0O8Xn4TtJH |           |           |           |           |           |
| nFz8TaAhUs |            | LsXu7NwSrg |           |           |           |           |           |
| Ut8KHZqDCC |            | -0qdTXKQ&c |           |           |           |           |           |
| gQ_AUICigB |            | type=5&q=& |           |           |           |           |           |
| &biw=1291& |            | ved=0ahUKE |           |           |           |           |           |
| bih=610    |            | wi12O3h0MT |           |           |           |           |           |
|            |            | aAhURi6wKH |           |           |           |           |           |
|            |            | VJCAZkQ2Ck |           |           |           |           |           |
|            |            | I8QM&adurl |           |           |           |           |           |
|            |            | =          |           |           |           |           |           |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://ww | FALLOUT 3  | https://ww | $4.24     | from 2    | 2,126     | https://w | Bethesda  |
| w.google.c | [PC Game]  | w.google.c |           | stores    | product   | ww.google | · PC ·    |
| om/search? | - German   | om/shoppin |           |           | reviews   | .com/shop | Role-     |
| q=where+ca |            | g/product/ |           |           |           | ping/prod | playing · |
| n+I+but+Fa |            | 7549727595 |           |           |           | uct/75497 | Action ·  |
| llout%3F&s |            | 718301389? |           |           |           | 275957183 | Disc      |
| ource=lnms |            | q=where+ca |           |           |           | 01389?q=w |           |
| &tbm=shop& |            | n+I+but+Fa |           |           |           | here+can+ |           |
| sa=X&ved=0 |            | llout?biw= |           |           |           | I+but+Fal |           |
| ahUKEwistd |            | 1291&bih=6 |           |           |           | lout?biw= |           |
| nFz8TaAhUs |            | 10&prds=pa |           |           |           | 1291&bih= |           |
| Ut8KHZqDCC |            | ur:ClkAsKr |           |           |           | 610&prds= |           |
| gQ_AUICigB |            | aX2o_EKS_k |           |           |           | hsec:revi |           |
| &biw=1291& |            | sOtjnfPeQ_ |           |           |           | ews,paur: |           |
| bih=610    |            | jmEc-R518i |           |           |           | ClkAsKraX |           |
|            |            | Uv6Qqi1idK |           |           |           | 2o_EKS_ks |           |
|            |            | bFkWSTenx- |           |           |           | OtjnfPeQ_ |           |
|            |            | oQjHRpl5kr |           |           |           | jmEc-R518 |           |
|            |            | I9NJBmo7b8 |           |           |           | iUv6Qqi1i |           |
|            |            | Gqdsl25ZT_ |           |           |           | dKbFkWSTe |           |
|            |            | KIZQl4zUPk |           |           |           | nx-oQjHRp |           |
|            |            | IlP8RKNjJX |           |           |           | l5krI9NJB |           |
|            |            | VskQyUd6Wg |           |           |           | mo7b8Gqds |           |
|            |            | f8nNRIZAFP |           |           |           | l25ZT_KIZ |           |
|            |            | VH73nR4A_e |           |           |           | Ql4zUPkIl |           |
|            |            | Zek54oNL67 |           |           |           | P8RKNjJXV |           |
|            |            | zOip7Qmh6C |           |           |           | skQyUd6Wg |           |
|            |            | Q&sa=X&ved |           |           |           | f8nNRIZAF |           |
|            |            | =0ahUKEwi1 |           |           |           | PVH73nR4A |           |
|            |            | 2O3h0MTaAh |           |           |           | _eZek54oN |           |
|            |            | URi6wKHVJC |           |           |           | L67zOip7Q |           |
|            |            | AZkQ8wII9w |           |           |           | mh6CQ&sa= |           |
|            |            | M          |           |           |           | X&ved=0ah |           |
|            |            |            |           |           |           | UKEwi12O3 |           |
|            |            |            |           |           |           | h0MTaAhUR |           |
|            |            |            |           |           |           | i6wKHVJCA |           |
|            |            |            |           |           |           | ZkQ9AII-  |           |
|            |            |            |           |           |           | AM        |           |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://ww | Fallout    | https://ww | $12.39    | from 25+  | 2 product | https://w | Game of   |
| w.google.c | Nuka-Cola  | w.google.c |           | stores    | reviews   | ww.google | checkers? |
| om/search? | Checkers   | om/shoppin |           |           |           | .com/shop | Sit back  |
| q=where+ca | Game       | g/product/ |           |           |           | ping/prod | with an   |
| n+I+but+Fa |            | 1394661237 |           |           |           | uct/13946 | ice cold  |
| llout%3F&s |            | 6840136989 |           |           |           | 612376840 | bottle of |
| ource=lnms |            | ?q=where+c |           |           |           | 136989?q= | Nuka-Cola |
| &tbm=shop& |            | an+I+but+F |           |           |           | where+can | and get   |
| sa=X&ved=0 |            | allout?biw |           |           |           | +I+but+Fa | ready for |
| ahUKEwistd |            | =1291&bih= |           |           |           | llout?biw | game      |
| nFz8TaAhUs |            | 610&prds=p |           |           |           | =1291&bih | night!    |
| Ut8KHZqDCC |            | aur:ClkAsK |           |           |           | =610&prds | The       |
| gQ_AUICigB |            | raX-VQ0Cwh |           |           |           | =hsec:rev | Fallout   |
| &biw=1291& |            | bd6WLLWPkb |           |           |           | iews,paur | Nuka-Cola |
| bih=610    |            | 4ygTccbBlO |           |           |           | :ClkAsKra | Checkers  |
|            |            | k4lBthExsF |           |           |           | X-VQ0Cwhb | ...       |
|            |            | 6rP6muYO-V |           |           |           | d6WLLWPkb |           |
|            |            | e569q6pwTh |           |           |           | 4ygTccbBl |           |
|            |            | nwzUuNOuya |           |           |           | Ok4lBthEx |           |
|            |            | tbLtLogw9U |           |           |           | sF6rP6muY |           |
|            |            | nEXT0BpphM |           |           |           | O-Ve569q6 |           |
|            |            | daNHMBRXdo |           |           |           | pwThnwzUu |           |
|            |            | SwqU8VS9hp |           |           |           | NOuyatbLt |           |
|            |            | 3-TJrxIZAF |           |           |           | Logw9UnEX |           |
|            |            | PVH70oydeH |           |           |           | T0BpphMda |           |
|            |            | bj3MONOImn |           |           |           | NHMBRXdoS |           |
|            |            | _Vt8UKRZER |           |           |           | wqU8VS9hp |           |
|            |            | -g&sa=X&ve |           |           |           | 3-TJrxIZA |           |
|            |            | d=0ahUKEwi |           |           |           | FPVH70oyd |           |
|            |            | 12O3h0MTaA |           |           |           | eHbj3MONO |           |
|            |            | hURi6wKHVJ |           |           |           | Imn_Vt8UK |           |
|            |            | CAZkQ8wIIh |           |           |           | RZER-g&sa |           |
|            |            | gQ         |           |           |           | =X&ved=0a |           |
|            |            |            |           |           |           | hUKEwi12O |           |
|            |            |            |           |           |           | 3h0MTaAhU |           |
|            |            |            |           |           |           | Ri6wKHVJC |           |
|            |            |            |           |           |           | AZkQ9AIIh |           |
|            |            |            |           |           |           | wQ        |           |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://ww | Fallout 4: | https://ww | $20.73    | from 10+  | 17        | https://w | Game /    |
| w.google.c | Game of    | w.google.c |           | stores    | product   | ww.google | Puzzle ·  |
| om/search? | the Year   | om/shoppin |           |           | reviews   | .com/shop | Paperback |
| q=where+ca | Edition:   | g/product/ |           |           |           | ping/prod | · 544     |
| n+I+but+Fa | Prima      | 4649992080 |           |           |           | uct/46499 | page      |
| llout%3F&s | Official   | 791462570? |           |           |           | 920807914 |           |
| ource=lnms | Guide      | q=where+ca |           |           |           | 62570?q=w |           |
| &tbm=shop& | [Book]     | n+I+but+Fa |           |           |           | here+can+ |           |
| sa=X&ved=0 |            | llout?biw= |           |           |           | I+but+Fal |           |
| ahUKEwistd |            | 1291&bih=6 |           |           |           | lout?biw= |           |
| nFz8TaAhUs |            | 10&prds=pa |           |           |           | 1291&bih= |           |
| Ut8KHZqDCC |            | ur:ClkAsKr |           |           |           | 610&prds= |           |
| gQ_AUICigB |            | aX79gYGTsd |           |           |           | hsec:revi |           |
| &biw=1291& |            | VCzBMFryHn |           |           |           | ews,paur: |           |
| bih=610    |            | 0PEJ-tv6gX |           |           |           | ClkAsKraX |           |
|            |            | wGA5bAQTwy |           |           |           | 79gYGTsdV |           |
|            |            | kDyLa4WZ0- |           |           |           | CzBMFryHn |           |
|            |            | PBeTs-D-Yu |           |           |           | 0PEJ-tv6g |           |
|            |            | b5_OaMsiFr |           |           |           | XwGA5bAQT |           |
|            |            | sPsJ1xcaCZ |           |           |           | wykDyLa4W |           |
|            |            | U9u_gIgyKX |           |           |           | Z0-PBeTs- |           |
|            |            | zZi0ZvbbiA |           |           |           | D-Yub5_Oa |           |
|            |            | usO5kFOZou |           |           |           | MsiFrsPsJ |           |
|            |            | fY1axIZAFP |           |           |           | 1xcaCZU9u |           |
|            |            | VH70MYfjPd |           |           |           | _gIgyKXzZ |           |
|            |            | T5-6dG4R8e |           |           |           | i0ZvbbiAu |           |
|            |            | Q8GiD6hS5V |           |           |           | sO5kFOZou |           |
|            |            | g&sa=X&ved |           |           |           | fY1axIZAF |           |
|            |            | =0ahUKEwi1 |           |           |           | PVH70MYfj |           |
|            |            | 2O3h0MTaAh |           |           |           | PdT5-6dG4 |           |
|            |            | URi6wKHVJC |           |           |           | R8eQ8GiD6 |           |
|            |            | AZkQ8wIIkQ |           |           |           | hS5Vg&sa= |           |
|            |            | Q          |           |           |           | X&ved=0ah |           |
|            |            |            |           |           |           | UKEwi12O3 |           |
|            |            |            |           |           |           | h0MTaAhUR |           |
|            |            |            |           |           |           | i6wKHVJCA |           |
|            |            |            |           |           |           | ZkQ9AIIkg |           |
|            |            |            |           |           |           | Q         |           |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://ww | Fallout    | https://ww | $18.48    | from 2    | 25        | https://w |           |
| w.google.c | Trilogy    | w.google.c |           | stores    | product   | ww.google |           |
| om/search? | [PC Game]  | om/shoppin |           |           | reviews   | .com/shop |           |
| q=where+ca |            | g/product/ |           |           |           | ping/prod |           |
| n+I+but+Fa |            | 1175251755 |           |           |           | uct/11752 |           |
| llout%3F&s |            | 5708633722 |           |           |           | 517555708 |           |
| ource=lnms |            | ?q=where+c |           |           |           | 633722?q= |           |
| &tbm=shop& |            | an+I+but+F |           |           |           | where+can |           |
| sa=X&ved=0 |            | allout?biw |           |           |           | +I+but+Fa |           |
| ahUKEwistd |            | =1291&bih= |           |           |           | llout?biw |           |
| nFz8TaAhUs |            | 610&prds=p |           |           |           | =1291&bih |           |
| Ut8KHZqDCC |            | aur:ClkAsK |           |           |           | =610&prds |           |
| gQ_AUICigB |            | raX4JEQB-k |           |           |           | =hsec:rev |           |
| &biw=1291& |            | XUhuFCF3e0 |           |           |           | iews,paur |           |
| bih=610    |            | -x6OXbSciw |           |           |           | :ClkAsKra |           |
|            |            | zJ6lit7BJE |           |           |           | X4JEQB-kX |           |
|            |            | UCe8q8dQ5K |           |           |           | UhuFCF3e0 |           |
|            |            | 8pUm7sDQYJ |           |           |           | -x6OXbSci |           |
|            |            | eFGAp2fQw3 |           |           |           | wzJ6lit7B |           |
|            |            | Uxja7zd9uv |           |           |           | JEUCe8q8d |           |
|            |            | CUkuzqBye2 |           |           |           | Q5K8pUm7s |           |
|            |            | WkUaSFMTqs |           |           |           | DQYJeFGAp |           |
|            |            | pSMY3SvQE4 |           |           |           | 2fQw3Uxja |           |
|            |            | x8EbqRIZAF |           |           |           | 7zd9uvCUk |           |
|            |            | PVH711WVq4 |           |           |           | uzqBye2Wk |           |
|            |            | 7avcxyVssL |           |           |           | UaSFMTqsp |           |
|            |            | loY-n2lme3 |           |           |           | SMY3SvQE4 |           |
|            |            | pw&sa=X&ve |           |           |           | x8EbqRIZA |           |
|            |            | d=0ahUKEwi |           |           |           | FPVH711WV |           |
|            |            | 12O3h0MTaA |           |           |           | q47avcxyV |           |
|            |            | hURi6wKHVJ |           |           |           | ssLloY-n2 |           |
|            |            | CAZkQ8wIIn |           |           |           | lme3pw&sa |           |
|            |            | gQ         |           |           |           | =X&ved=0a |           |
|            |            |            |           |           |           | hUKEwi12O |           |
|            |            |            |           |           |           | 3h0MTaAhU |           |
|            |            |            |           |           |           | Ri6wKHVJC |           |
|            |            |            |           |           |           | AZkQ9AIIn |           |
|            |            |            |           |           |           | wQ        |           |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://ww | ThinkGeek  | https://ww | $349.99   | from 2    |           |           | Be The    |
| w.google.c | Fallout 4  | w.google.c |           | stores    |           |           | Envy Of   |
| om/search? | T-51 Power | om/shoppin |           |           |           |           | The       |
| q=where+ca | Armor -    | g/product/ |           |           |           |           | Entire Co |
| n+I+but+Fa | Exclusive  | 1714624267 |           |           |           |           | mmonwealt |
| llout%3F&s |            | 3641472458 |           |           |           |           | h With    |
| ource=lnms |            | ?q=where+c |           |           |           |           | This      |
| &tbm=shop& |            | an+I+but+F |           |           |           |           | Thinkgeek |
| sa=X&ved=0 |            | allout?biw |           |           |           |           | And       |
| ahUKEwistd |            | =1291&bih= |           |           |           |           | Bethesda  |
| nFz8TaAhUs |            | 610&prds=p |           |           |           |           | Store     |
| Ut8KHZqDCC |            | aur:ClkAsK |           |           |           |           | Exclusive |
| gQ_AUICigB |            | raX3BHYBv6 |           |           |           |           | Fallout 4 |
| &biw=1291& |            | grUbsJ5G2Y |           |           |           |           | T-51      |
| bih=610    |            | fF86xbVcwe |           |           |           |           | Power     |
|            |            | pW7ViFxP1q |           |           |           |           | Armor     |
|            |            | z4RMooHPub |           |           |           |           | Figure    |
|            |            | YRbsyM5ggc |           |           |           |           | ...       |
|            |            | Tj3za16uUx |           |           |           |           |           |
|            |            | tFic5YshMM |           |           |           |           |           |
|            |            | BAhy-gpd9U |           |           |           |           |           |
|            |            | gunR907ckE |           |           |           |           |           |
|            |            | HTfsE2-_np |           |           |           |           |           |
|            |            | NCoPgxIZAF |           |           |           |           |           |
|            |            | PVH73MuIE_ |           |           |           |           |           |
|            |            | fnf1s4e4-w |           |           |           |           |           |
|            |            | j4fwJI458q |           |           |           |           |           |
|            |            | Mg&sa=X&ve |           |           |           |           |           |
|            |            | d=0ahUKEwi |           |           |           |           |           |
|            |            | 12O3h0MTaA |           |           |           |           |           |
|            |            | hURi6wKHVJ |           |           |           |           |           |
|            |            | CAZkQ8wIIq |           |           |           |           |           |
|            |            | gQ         |           |           |           |           |           |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://ww | Fallout    | https://ww | $25.59    | from Etsy |           |           | $25.59    |
| w.google.c | Mystery    | w.google.c |           | -         |           |           | from Etsy |
| om/search? | Box        | om/aclk?sa |           | driedgear |           |           | -         |
| q=where+ca |            | =l&ai=DChc |           |           |           |           | driedgear |
| n+I+but+Fa |            | SEwix6vDh0 |           |           |           |           |           |
| llout%3F&s |            | MTaAhUSjsg |           |           |           |           |           |
| ource=lnms |            | KHdHCAogYA |           |           |           |           |           |
| &tbm=shop& |            | BAlGgJxdQ& |           |           |           |           |           |
| sa=X&ved=0 |            | sig=AOD64_ |           |           |           |           |           |
| ahUKEwistd |            | 1zfpmbkKRk |           |           |           |           |           |
| nFz8TaAhUs |            | YIsRrTumxR |           |           |           |           |           |
| Ut8KHZqDCC |            | 4srZYS5w&c |           |           |           |           |           |
| gQ_AUICigB |            | type=5&q=& |           |           |           |           |           |
| &biw=1291& |            | ved=0ahUKE |           |           |           |           |           |
| bih=610    |            | wi12O3h0MT |           |           |           |           |           |
|            |            | aAhURi6wKH |           |           |           |           |           |
|            |            | VJCAZkQ2Ck |           |           |           |           |           |
|            |            | IsgQ&adurl |           |           |           |           |           |
|            |            | =          |           |           |           |           |           |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://ww | PipBoy     | https://ww | $48.54    | from Etsy |           |           | $48.54    |
| w.google.c | 3000 | 3D  | w.google.c |           | - MXWEmpo |           |           | from Etsy |
| om/search? | Printed    | om/aclk?sa |           | rium      |           |           | - MXWEmpo |
| q=where+ca | Pip Boy    | =l&ai=DChc |           |           |           |           | rium      |
| n+I+but+Fa | 3000 |     | SEwix6vDh0 |           |           |           |           |           |
| llout%3F&s | Fallout    | MTaAhUSjsg |           |           |           |           |           |
| ource=lnms | Cosplay    | KHdHCAogYA |           |           |           |           |           |
| &tbm=shop& | Prop |     | BAnGgJxdQ& |           |           |           |           |           |
| sa=X&ved=0 | Fallout    | sig=AOD64_ |           |           |           |           |           |
| ahUKEwistd | Costume |  | 3lzHuXZ8XM |           |           |           |           |           |
| nFz8TaAhUs | Fallout 4  | FrJ1gE8RKW |           |           |           |           |           |
| Ut8KHZqDCC | | Fallout  | rGNYECNw&c |           |           |           |           |           |
| gQ_AUICigB | 3 | Pip    | type=5&q=& |           |           |           |           |           |
| &biw=1291& | Boy        | ved=0ahUKE |           |           |           |           |           |
| bih=610    | Replica |  | wi12O3h0MT |           |           |           |           |           |
|            | Fallout    | aAhURi6wKH |           |           |           |           |           |
|            | Glove      | VJCAZkQ2Ck |           |           |           |           |           |
|            |            | IuAQ&adurl |           |           |           |           |           |
|            |            | =          |           |           |           |           |           |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
