+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| url        | No._overal | No._in_sea | Title     | Directed_ | Written_b | Original_ | Descripti |
|            |            |            |           |           |           |           | woman     |
|            |            |            |           |           |           |           | posing as |
|            |            |            |           |           |           |           | Hansen    |
|            |            |            |           |           |           |           | was, and  |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | scares    |
|            |            |            |           |           |           |           | Tatum     |
|            |            |            |           |           |           |           | into      |
|            |            |            |           |           |           |           | getting   |
|            |            |            |           |           |           |           | the IGH   |
|            |            |            |           |           |           |           | files     |
|            |            |            |           |           |           |           | from the  |
|            |            |            |           |           |           |           | hospital. |
|            |            |            |           |           |           |           | In        |
|            |            |            |           |           |           |           | addition  |
|            |            |            |           |           |           |           | to Jones  |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | Coleman,  |
|            |            |            |           |           |           |           | there is  |
|            |            |            |           |           |           |           | a file on |
|            |            |            |           |           |           |           | Inez      |
|            |            |            |           |           |           |           | Green.    |
|            |            |            |           |           |           |           | They find |
|            |            |            |           |           |           |           | her       |
|            |            |            |           |           |           |           | living on |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | streets,  |
|            |            |            |           |           |           |           | where she |
|            |            |            |           |           |           |           | explains  |
|            |            |            |           |           |           |           | that she  |
|            |            |            |           |           |           |           | was a     |
|            |            |            |           |           |           |           | nurse at  |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | hospital  |
|            |            |            |           |           |           |           | who was   |
|            |            |            |           |           |           |           | seriously |
|            |            |            |           |           |           |           | injured   |
|            |            |            |           |           |           |           | by the my |
|            |            |            |           |           |           |           | sterious  |
|            |            |            |           |           |           |           | woman.    |
|            |            |            |           |           |           |           | Jones and |
|            |            |            |           |           |           |           | Walker    |
|            |            |            |           |           |           |           | promise   |
|            |            |            |           |           |           |           | to keep   |
|            |            |            |           |           |           |           | her safe. |
|            |            |            |           |           |           |           | Cheng     |
|            |            |            |           |           |           |           | sends one |
|            |            |            |           |           |           |           | of his    |
|            |            |            |           |           |           |           | men to    |
|            |            |            |           |           |           |           | steal all |
|            |            |            |           |           |           |           | of        |
|            |            |            |           |           |           |           | Jones's   |
|            |            |            |           |           |           |           | research  |
|            |            |            |           |           |           |           | from her  |
|            |            |            |           |           |           |           | office,   |
|            |            |            |           |           |           |           | hoping to |
|            |            |            |           |           |           |           | find      |
|            |            |            |           |           |           |           | something |
|            |            |            |           |           |           |           | to use    |
|            |            |            |           |           |           |           | against   |
|            |            |            |           |           |           |           | her. The  |
|            |            |            |           |           |           |           | man is    |
|            |            |            |           |           |           |           | attacked  |
|            |            |            |           |           |           |           | by the my |
|            |            |            |           |           |           |           | sterious  |
|            |            |            |           |           |           |           | woman,    |
|            |            |            |           |           |           |           | who tears |
|            |            |            |           |           |           |           | him       |
|            |            |            |           |           |           |           | apart.    |
|            |            |            |           |           |           |           | When      |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | arrives,  |
|            |            |            |           |           |           |           | she is    |
|            |            |            |           |           |           |           | arrested  |
|            |            |            |           |           |           |           | for the   |
|            |            |            |           |           |           |           | murder.   |
|            |            |            |           |           |           |           | Walker    |
|            |            |            |           |           |           |           | tries to  |
|            |            |            |           |           |           |           | help her  |
|            |            |            |           |           |           |           | using an  |
|            |            |            |           |           |           |           | IGH perfo |
|            |            |            |           |           |           |           | rmance    |
|            |            |            |           |           |           |           | enhancer  |
|            |            |            |           |           |           |           | she took  |
|            |            |            |           |           |           |           | from      |
|            |            |            |           |           |           |           | Simpson,  |
|            |            |            |           |           |           |           | but is    |
|            |            |            |           |           |           |           | also      |
|            |            |            |           |           |           |           | arrested. |
|            |            |            |           |           |           |           | Ducasse   |
|            |            |            |           |           |           |           | takes     |
|            |            |            |           |           |           |           | Green to  |
|            |            |            |           |           |           |           | safety.   |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://en | 18         | 5          | "AKA The  | Millicent | Jamie     | March 8,  | Jones     |
| .wikipedia |            |            | Octopus"  | Shelton   | King      | 2018      | spends a  |
| .org/wiki/ |            |            |           |           |           |           | day at    |
| Jessica_Jo |            |            |           |           |           |           | the       |
| nes_(seaso |            |            |           |           |           |           | police    |
| n_2)       |            |            |           |           |           |           | station   |
|            |            |            |           |           |           |           | before    |
|            |            |            |           |           |           |           | Hogarth   |
|            |            |            |           |           |           |           | convinces |
|            |            |            |           |           |           |           | her to    |
|            |            |            |           |           |           |           | tell the  |
|            |            |            |           |           |           |           | truth.    |
|            |            |            |           |           |           |           | Detective |
|            |            |            |           |           |           |           | Eddy      |
|            |            |            |           |           |           |           | Costa     |
|            |            |            |           |           |           |           | believes  |
|            |            |            |           |           |           |           | Jones,    |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | releases  |
|            |            |            |           |           |           |           | her with  |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | promise   |
|            |            |            |           |           |           |           | that she  |
|            |            |            |           |           |           |           | will keep |
|            |            |            |           |           |           |           | Costa     |
|            |            |            |           |           |           |           | informed  |
|            |            |            |           |           |           |           | of her in |
|            |            |            |           |           |           |           | vestigati |
|            |            |            |           |           |           |           | on.       |
|            |            |            |           |           |           |           | Walker,   |
|            |            |            |           |           |           |           | bailed    |
|            |            |            |           |           |           |           | out by    |
|            |            |            |           |           |           |           | her       |
|            |            |            |           |           |           |           | mother,   |
|            |            |            |           |           |           |           | struggles |
|            |            |            |           |           |           |           | with      |
|            |            |            |           |           |           |           | after-    |
|            |            |            |           |           |           |           | effects   |
|            |            |            |           |           |           |           | of using  |
|            |            |            |           |           |           |           | the IGH   |
|            |            |            |           |           |           |           | drug. Her |
|            |            |            |           |           |           |           | new       |
|            |            |            |           |           |           |           | boyfriend |
|            |            |            |           |           |           |           | Griffin   |
|            |            |            |           |           |           |           | Sinclair  |
|            |            |            |           |           |           |           | asks her  |
|            |            |            |           |           |           |           | to marry  |
|            |            |            |           |           |           |           | him, but  |
|            |            |            |           |           |           |           | Walker    |
|            |            |            |           |           |           |           | turns him |
|            |            |            |           |           |           |           | down. She |
|            |            |            |           |           |           |           | takes the |
|            |            |            |           |           |           |           | IGH drug  |
|            |            |            |           |           |           |           | again.    |
|            |            |            |           |           |           |           | Ducasse   |
|            |            |            |           |           |           |           | takes     |
|            |            |            |           |           |           |           | Green to  |
|            |            |            |           |           |           |           | Hogarth,  |
|            |            |            |           |           |           |           | who       |
|            |            |            |           |           |           |           | agrees to |
|            |            |            |           |           |           |           | protect   |
|            |            |            |           |           |           |           | her.      |
|            |            |            |           |           |           |           | Hogarth   |
|            |            |            |           |           |           |           | asks      |
|            |            |            |           |           |           |           | Green     |
|            |            |            |           |           |           |           | about     |
|            |            |            |           |           |           |           | IGH's exp |
|            |            |            |           |           |           |           | eriments. |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | meets     |
|            |            |            |           |           |           |           | with      |
|            |            |            |           |           |           |           | David     |
|            |            |            |           |           |           |           | Kawecki,  |
|            |            |            |           |           |           |           | an inmate |
|            |            |            |           |           |           |           | at a      |
|            |            |            |           |           |           |           | mental    |
|            |            |            |           |           |           |           | hospital  |
|            |            |            |           |           |           |           | serving   |
|            |            |            |           |           |           |           | time for  |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | murder of |
|            |            |            |           |           |           |           | Green's   |
|            |            |            |           |           |           |           | fellow    |
|            |            |            |           |           |           |           | nurse,    |
|            |            |            |           |           |           |           | who was   |
|            |            |            |           |           |           |           | actually  |
|            |            |            |           |           |           |           | killed by |
|            |            |            |           |           |           |           | the myste |
|            |            |            |           |           |           |           | rious     |
|            |            |            |           |           |           |           | woman.    |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | learns of |
|            |            |            |           |           |           |           | a shared  |
|            |            |            |           |           |           |           | interest  |
|            |            |            |           |           |           |           | in octopi |
|            |            |            |           |           |           |           | that      |
|            |            |            |           |           |           |           | Kawecki   |
|            |            |            |           |           |           |           | has with  |
|            |            |            |           |           |           |           | an IGH    |
|            |            |            |           |           |           |           | doctor,   |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | visits    |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | aquarium. |
|            |            |            |           |           |           |           | She recog |
|            |            |            |           |           |           |           | nizes the |
|            |            |            |           |           |           |           | doctor,   |
|            |            |            |           |           |           |           | Karl      |
|            |            |            |           |           |           |           | Malus, in |
|            |            |            |           |           |           |           | a new     |
|            |            |            |           |           |           |           | memory    |
|            |            |            |           |           |           |           | from      |
|            |            |            |           |           |           |           | after the |
|            |            |            |           |           |           |           | accident. |
|            |            |            |           |           |           |           | He meets  |
|            |            |            |           |           |           |           | with the  |
|            |            |            |           |           |           |           | mysteriou |
|            |            |            |           |           |           |           | s woman,  |
|            |            |            |           |           |           |           | who upon  |
|            |            |            |           |           |           |           | discoveri |
|            |            |            |           |           |           |           | ng Jones  |
|            |            |            |           |           |           |           | surveilli |
|            |            |            |           |           |           |           | ng them,  |
|            |            |            |           |           |           |           | smashes   |
|            |            |            |           |           |           |           | the glass |
|            |            |            |           |           |           |           | enclosure |
|            |            |            |           |           |           |           | of an     |
|            |            |            |           |           |           |           | aquarium  |
|            |            |            |           |           |           |           | in order  |
|            |            |            |           |           |           |           | to create |
|            |            |            |           |           |           |           | a         |
|            |            |            |           |           |           |           | commotion |
|            |            |            |           |           |           |           | to cover  |
|            |            |            |           |           |           |           | their     |
|            |            |            |           |           |           |           | escape.   |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://en | 19         | 6          | "AKA      | Jet       | Raelle    | March 8,  | Walker    |
| .wikipedia |            |            | Facetime" | Wilkinson | Tucker    | 2018      | becomes   |
| .org/wiki/ |            |            |           |           |           |           | addicted  |
| Jessica_Jo |            |            |           |           |           |           | to the    |
| nes_(seaso |            |            |           |           |           |           | IGH drug, |
| n_2)       |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | starts    |
|            |            |            |           |           |           |           | looking   |
|            |            |            |           |           |           |           | for       |
|            |            |            |           |           |           |           | criminals |
|            |            |            |           |           |           |           | to        |
|            |            |            |           |           |           |           | attack.   |
|            |            |            |           |           |           |           | Security  |
|            |            |            |           |           |           |           | footage   |
|            |            |            |           |           |           |           | from      |
|            |            |            |           |           |           |           | outside   |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | aquarium  |
|            |            |            |           |           |           |           | shows     |
|            |            |            |           |           |           |           | Malus     |
|            |            |            |           |           |           |           | drugging  |
|            |            |            |           |           |           |           | the woman |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | forcing   |
|            |            |            |           |           |           |           | her to    |
|            |            |            |           |           |           |           | leave     |
|            |            |            |           |           |           |           | with him, |
|            |            |            |           |           |           |           | despite   |
|            |            |            |           |           |           |           | the pair  |
|            |            |            |           |           |           |           | appearing |
|            |            |            |           |           |           |           | to be a   |
|            |            |            |           |           |           |           | loving    |
|            |            |            |           |           |           |           | couple    |
|            |            |            |           |           |           |           | before.   |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | sends     |
|            |            |            |           |           |           |           | Ducasse   |
|            |            |            |           |           |           |           | to his    |
|            |            |            |           |           |           |           | old unive |
|            |            |            |           |           |           |           | rsity—whe |
|            |            |            |           |           |           |           | re he was |
|            |            |            |           |           |           |           | suspended |
|            |            |            |           |           |           |           | for his   |
|            |            |            |           |           |           |           | previous  |
|            |            |            |           |           |           |           | drug      |
|            |            |            |           |           |           |           | habit—to  |
|            |            |            |           |           |           |           | investiga |
|            |            |            |           |           |           |           | te Malus; |
|            |            |            |           |           |           |           | they      |
|            |            |            |           |           |           |           | learn of  |
|            |            |            |           |           |           |           | Justis    |
|            |            |            |           |           |           |           | Ambrose,  |
|            |            |            |           |           |           |           | who       |
|            |            |            |           |           |           |           | attended  |
|            |            |            |           |           |           |           | universit |
|            |            |            |           |           |           |           | y with    |
|            |            |            |           |           |           |           | Malus and |
|            |            |            |           |           |           |           | appears   |
|            |            |            |           |           |           |           | to have   |
|            |            |            |           |           |           |           | been      |
|            |            |            |           |           |           |           | paying    |
|            |            |            |           |           |           |           | for all   |
|            |            |            |           |           |           |           | his       |
|            |            |            |           |           |           |           | personal  |
|            |            |            |           |           |           |           | expenses  |
|            |            |            |           |           |           |           | for       |
|            |            |            |           |           |           |           | years.    |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | confronts |
|            |            |            |           |           |           |           | Ambrose,  |
|            |            |            |           |           |           |           | who       |
|            |            |            |           |           |           |           | explains  |
|            |            |            |           |           |           |           | that his  |
|            |            |            |           |           |           |           | son Eric  |
|            |            |            |           |           |           |           | was born  |
|            |            |            |           |           |           |           | with a    |
|            |            |            |           |           |           |           | fatal     |
|            |            |            |           |           |           |           | genetic   |
|            |            |            |           |           |           |           | defect    |
|            |            |            |           |           |           |           | which     |
|            |            |            |           |           |           |           | Malus     |
|            |            |            |           |           |           |           | cured     |
|            |            |            |           |           |           |           | with his  |
|            |            |            |           |           |           |           | experimen |
|            |            |            |           |           |           |           | tal treat |
|            |            |            |           |           |           |           | ments.    |
|            |            |            |           |           |           |           | Eric      |
|            |            |            |           |           |           |           | appears   |
|            |            |            |           |           |           |           | to have   |
|            |            |            |           |           |           |           | no        |
|            |            |            |           |           |           |           | special a |
|            |            |            |           |           |           |           | bilities, |
|            |            |            |           |           |           |           | and Jones |
|            |            |            |           |           |           |           | threatens |
|            |            |            |           |           |           |           | him to    |
|            |            |            |           |           |           |           | gain      |
|            |            |            |           |           |           |           | Malus'    |
|            |            |            |           |           |           |           | location. |
|            |            |            |           |           |           |           | Green     |
|            |            |            |           |           |           |           | realizes  |
|            |            |            |           |           |           |           | that      |
|            |            |            |           |           |           |           | Hogarth   |
|            |            |            |           |           |           |           | has ALS,  |
|            |            |            |           |           |           |           | and tells |
|            |            |            |           |           |           |           | her that  |
|            |            |            |           |           |           |           | there was |
|            |            |            |           |           |           |           | an IGH    |
|            |            |            |           |           |           |           | patient   |
|            |            |            |           |           |           |           | that      |
|            |            |            |           |           |           |           | could     |
|            |            |            |           |           |           |           | heal      |
|            |            |            |           |           |           |           | people by |
|            |            |            |           |           |           |           | touching  |
|            |            |            |           |           |           |           | them, and |
|            |            |            |           |           |           |           | he saved  |
|            |            |            |           |           |           |           | her life  |
|            |            |            |           |           |           |           | after the |
|            |            |            |           |           |           |           | woman had |
|            |            |            |           |           |           |           | attacked  |
|            |            |            |           |           |           |           | her.      |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | goes to   |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | location, |
|            |            |            |           |           |           |           | where she |
|            |            |            |           |           |           |           | finds     |
|            |            |            |           |           |           |           | Malus and |
|            |            |            |           |           |           |           | the woman |
|            |            |            |           |           |           |           | living    |
|            |            |            |           |           |           |           | together. |
|            |            |            |           |           |           |           | The       |
|            |            |            |           |           |           |           | latter    |
|            |            |            |           |           |           |           | claims to |
|            |            |            |           |           |           |           | be        |
|            |            |            |           |           |           |           | Jones's   |
|            |            |            |           |           |           |           | mother.   |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://en | 20         | 7          | "AKA I    | Jennifer  | Hilly     | March 8,  | Years     |
| .wikipedia |            |            | Want Your | Getzinger | Hicks Jr. | 2018      | earlier,  |
| .org/wiki/ |            |            | Cray      |           |           |           | after     |
| Jessica_Jo |            |            | Cray"     |           |           |           | Brian     |
| nes_(seaso |            |            |           |           |           |           | Jones and |
| n_2)       |            |            |           |           |           |           | his son   |
|            |            |            |           |           |           |           | Phillip   |
|            |            |            |           |           |           |           | are       |
|            |            |            |           |           |           |           | killed in |
|            |            |            |           |           |           |           | an        |
|            |            |            |           |           |           |           | accident, |
|            |            |            |           |           |           |           | his wife  |
|            |            |            |           |           |           |           | Alisa and |
|            |            |            |           |           |           |           | daughter  |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | are       |
|            |            |            |           |           |           |           | rushed to |
|            |            |            |           |           |           |           | hospital. |
|            |            |            |           |           |           |           | Dr.       |
|            |            |            |           |           |           |           | Leslie    |
|            |            |            |           |           |           |           | Hansen    |
|            |            |            |           |           |           |           | secretly  |
|            |            |            |           |           |           |           | takes     |
|            |            |            |           |           |           |           | them to   |
|            |            |            |           |           |           |           | IGH.      |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | is saved  |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | returned  |
|            |            |            |           |           |           |           | to        |
|            |            |            |           |           |           |           | hospital  |
|            |            |            |           |           |           |           | in 20     |
|            |            |            |           |           |           |           | days, but |
|            |            |            |           |           |           |           | Alisa's   |
|            |            |            |           |           |           |           | injuries  |
|            |            |            |           |           |           |           | are       |
|            |            |            |           |           |           |           | severe    |
|            |            |            |           |           |           |           | and her t |
|            |            |            |           |           |           |           | reatments |
|            |            |            |           |           |           |           | take      |
|            |            |            |           |           |           |           | years,    |
|            |            |            |           |           |           |           | altering  |
|            |            |            |           |           |           |           | her looks |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | causing   |
|            |            |            |           |           |           |           | increased |
|            |            |            |           |           |           |           | strength  |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | extreme   |
|            |            |            |           |           |           |           | mood      |
|            |            |            |           |           |           |           | swings.   |
|            |            |            |           |           |           |           | Jessica   |
|            |            |            |           |           |           |           | is        |
|            |            |            |           |           |           |           | adopted   |
|            |            |            |           |           |           |           | by the    |
|            |            |            |           |           |           |           | Walkers,  |
|            |            |            |           |           |           |           | but grows |
|            |            |            |           |           |           |           | away from |
|            |            |            |           |           |           |           | her       |
|            |            |            |           |           |           |           | foster    |
|            |            |            |           |           |           |           | family    |
|            |            |            |           |           |           |           | over time |
|            |            |            |           |           |           |           | especiall |
|            |            |            |           |           |           |           | y after   |
|            |            |            |           |           |           |           | her       |
|            |            |            |           |           |           |           | adopted   |
|            |            |            |           |           |           |           | sister    |
|            |            |            |           |           |           |           | Trish     |
|            |            |            |           |           |           |           | becomes a |
|            |            |            |           |           |           |           | drug      |
|            |            |            |           |           |           |           | addict at |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | beginning |
|            |            |            |           |           |           |           | of her    |
|            |            |            |           |           |           |           | pop star  |
|            |            |            |           |           |           |           | career.   |
|            |            |            |           |           |           |           | Intent on |
|            |            |            |           |           |           |           | seeing    |
