+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| url   | State | State | Abbre | State | Capit | Capit | Area_ | Popu | Popu | Popu | Popu | Note |
|       |       |       |       |       |       |       |       |      |      |      |      | larg |
|       |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | city |
|       |       |       |       |       |       |       |       |      |      |      |      | and  |
|       |       |       |       |       |       |       |       |      |      |      |      | coun |
|       |       |       |       |       |       |       |       |      |      |      |      | ty.  |
|       |       |       |       |       |       |       |       |      |      |      |      | Capi |
|       |       |       |       |       |       |       |       |      |      |      |      | tol  |
|       |       |       |       |       |       |       |       |      |      |      |      | buil |
|       |       |       |       |       |       |       |       |      |      |      |      | ding |
|       |       |       |       |       |       |       |       |      |      |      |      | is   |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | olde |
|       |       |       |       |       |       |       |       |      |      |      |      | st   |
|       |       |       |       |       |       |       |       |      |      |      |      | in   |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | U.S. |
|       |       |       |       |       |       |       |       |      |      |      |      | stil |
|       |       |       |       |       |       |       |       |      |      |      |      | l in |
|       |       |       |       |       |       |       |       |      |      |      |      | use. |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Massa | https | MA    | 1788  | Bosto | 1630  | 48.40 | 617, | 4,52 | 1    | 22   | Long |
| ://en | chuse | ://en |       |       | n     |       | 0     | 594  | 2,85 |      |      | est  |
| .wiki | tts   | .wiki |       |       |       |       |       |      | 8    |      |      | cont |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | inuo |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | usly |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | serv |
| List_ |       | Massa |       |       |       |       |       |      |      |      |      | ing  |
| of_ca |       | chuse |       |       |       |       |       |      |      |      |      | capi |
| pital |       | tts   |       |       |       |       |       |      |      |      |      | tal  |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | in   |
| the_U |       |       |       |       |       |       |       |      |      |      |      | the  |
| nited |       |       |       |       |       |       |       |      |      |      |      | U.S. |
| _Stat |       |       |       |       |       |       |       |      |      |      |      |      |
| es    |       |       |       |       |       |       |       |      |      |      |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Michi | https | MI    | 1837  | Lansi | 1847  | 35    | 114, | 464, | 5    | 239  | Only |
| ://en | gan   | ://en |       |       | ng    |       |       | 297  | 036  |      |      | stat |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      | e ca |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | pita |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | l    |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | that |
| List_ |       | Michi |       |       |       |       |       |      |      |      |      | is   |
| of_ca |       | gan   |       |       |       |       |       |      |      |      |      | not  |
| pital |       |       |       |       |       |       |       |      |      |      |      | also |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | its  |
| the_U |       |       |       |       |       |       |       |      |      |      |      | coun |
| nited |       |       |       |       |       |       |       |      |      |      |      | ty   |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | seat |
| es    |       |       |       |       |       |       |       |      |      |      |      | (not |
|       |       |       |       |       |       |       |       |      |      |      |      | coun |
|       |       |       |       |       |       |       |       |      |      |      |      | ting |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | two  |
|       |       |       |       |       |       |       |       |      |      |      |      | stat |
|       |       |       |       |       |       |       |       |      |      |      |      | e ca |
|       |       |       |       |       |       |       |       |      |      |      |      | pita |
|       |       |       |       |       |       |       |       |      |      |      |      | ls   |
|       |       |       |       |       |       |       |       |      |      |      |      | that |
|       |       |       |       |       |       |       |       |      |      |      |      | are  |
|       |       |       |       |       |       |       |       |      |      |      |      | inde |
|       |       |       |       |       |       |       |       |      |      |      |      | pend |
|       |       |       |       |       |       |       |       |      |      |      |      | ent  |
|       |       |       |       |       |       |       |       |      |      |      |      | citi |
|       |       |       |       |       |       |       |       |      |      |      |      | es   |
|       |       |       |       |       |       |       |       |      |      |      |      | and  |
|       |       |       |       |       |       |       |       |      |      |      |      | not  |
|       |       |       |       |       |       |       |       |      |      |      |      | loca |
|       |       |       |       |       |       |       |       |      |      |      |      | ted  |
|       |       |       |       |       |       |       |       |      |      |      |      | in   |
|       |       |       |       |       |       |       |       |      |      |      |      | any  |
|       |       |       |       |       |       |       |       |      |      |      |      | coun |
|       |       |       |       |       |       |       |       |      |      |      |      | ty). |
|       |       |       |       |       |       |       |       |      |      |      |      | Detr |
|       |       |       |       |       |       |       |       |      |      |      |      | oit  |
|       |       |       |       |       |       |       |       |      |      |      |      | is   |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | stat |
|       |       |       |       |       |       |       |       |      |      |      |      | e's  |
|       |       |       |       |       |       |       |       |      |      |      |      | larg |
|       |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | city |
|       |       |       |       |       |       |       |       |      |      |      |      | .    |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Minne | https | MN    | 1858  | Saint | 1849  | 52.80 | 300, | 3,50 | 2    | 64   | Capi |
| ://en | sota  | ://en |       |       | Paul  |       | 0     | 851  | 2,89 |      |      | tal' |
| .wiki |       | .wiki |       |       |       |       |       |      | 1    |      |      | s    |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | twin |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | city |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | , Mi |
| List_ |       | Minne |       |       |       |       |       |      |      |      |      | nnea |
| of_ca |       | sota  |       |       |       |       |       |      |      |      |      | poli |
| pital |       |       |       |       |       |       |       |      |      |      |      | s,   |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | is   |
| the_U |       |       |       |       |       |       |       |      |      |      |      | the  |
| nited |       |       |       |       |       |       |       |      |      |      |      | stat |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | e's  |
| es    |       |       |       |       |       |       |       |      |      |      |      | larg |
|       |       |       |       |       |       |       |       |      |      |      |      | est. |
|       |       |       |       |       |       |       |       |      |      |      |      | The  |
|       |       |       |       |       |       |       |       |      |      |      |      | two  |
|       |       |       |       |       |       |       |       |      |      |      |      | form |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | core |
|       |       |       |       |       |       |       |       |      |      |      |      | of   |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | stat |
|       |       |       |       |       |       |       |       |      |      |      |      | e's  |
|       |       |       |       |       |       |       |       |      |      |      |      | Larg |
|       |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | Metr |
|       |       |       |       |       |       |       |       |      |      |      |      | o Ar |
|       |       |       |       |       |       |       |       |      |      |      |      | ea.  |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Missi | https | MS    | 1817  | Jacks | 1821  | 104.9 | 173, | 539, | 1    | 149  | Only |
| ://en | ssipp | ://en |       |       | on    |       | 00    | 514  | 057  |      |      | stat |
| .wiki | i     | .wiki |       |       |       |       |       |      |      |      |      | e ca |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | pita |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | l    |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | that |
| List_ |       | Missi |       |       |       |       |       |      |      |      |      | shar |
| of_ca |       | ssipp |       |       |       |       |       |      |      |      |      | es   |
| pital |       | i     |       |       |       |       |       |      |      |      |      | its  |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | stat |
| the_U |       |       |       |       |       |       |       |      |      |      |      | us   |
| nited |       |       |       |       |       |       |       |      |      |      |      | as c |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | ount |
| es    |       |       |       |       |       |       |       |      |      |      |      | y    |
|       |       |       |       |       |       |       |       |      |      |      |      | seat |
|       |       |       |       |       |       |       |       |      |      |      |      | with |
|       |       |       |       |       |       |       |       |      |      |      |      | anot |
|       |       |       |       |       |       |       |       |      |      |      |      | her  |
|       |       |       |       |       |       |       |       |      |      |      |      | city |
|       |       |       |       |       |       |       |       |      |      |      |      | (Ray |
|       |       |       |       |       |       |       |       |      |      |      |      | mond |
|       |       |       |       |       |       |       |       |      |      |      |      | , Mi |
|       |       |       |       |       |       |       |       |      |      |      |      | ssis |
|       |       |       |       |       |       |       |       |      |      |      |      | sipp |
|       |       |       |       |       |       |       |       |      |      |      |      | i).  |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Misso | https | MO    | 1821  | Jeffe | 1826  | 27.30 | 43,0 | 149, | 15   |      | Kans |
| ://en | uri   | ://en |       |       | rson  |       | 0     | 79   | 807  |      |      | as   |
| .wiki |       | .wiki |       |       | City  |       |       |      |      |      |      | City |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | is   |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | the  |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | stat |
| List_ |       | Misso |       |       |       |       |       |      |      |      |      | e's  |
| of_ca |       | uri   |       |       |       |       |       |      |      |      |      | larg |
| pital |       |       |       |       |       |       |       |      |      |      |      | est  |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | city |
| the_U |       |       |       |       |       |       |       |      |      |      |      | ,    |
| nited |       |       |       |       |       |       |       |      |      |      |      | and  |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | Grea |
| es    |       |       |       |       |       |       |       |      |      |      |      | ter  |
|       |       |       |       |       |       |       |       |      |      |      |      | St.  |
|       |       |       |       |       |       |       |       |      |      |      |      | Loui |
|       |       |       |       |       |       |       |       |      |      |      |      | s is |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | stat |
|       |       |       |       |       |       |       |       |      |      |      |      | e's  |
|       |       |       |       |       |       |       |       |      |      |      |      | larg |
|       |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | metr |
|       |       |       |       |       |       |       |       |      |      |      |      | opol |
|       |       |       |       |       |       |       |       |      |      |      |      | itan |
|       |       |       |       |       |       |       |       |      |      |      |      | area |
|       |       |       |       |       |       |       |       |      |      |      |      | .    |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Monta | https | MT    | 1889  | Helen | 1875  | 14    | 28,1 | 74,8 | 6    |      | Bill |
| ://en | na    | ://en |       |       | a     |       |       | 90   | 01   |      |      | ings |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      | is   |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | the  |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | stat |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | e's  |
| List_ |       | Monta |       |       |       |       |       |      |      |      |      | larg |
| of_ca |       | na    |       |       |       |       |       |      |      |      |      | est  |
| pital |       |       |       |       |       |       |       |      |      |      |      | city |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | .    |
| the_U |       |       |       |       |       |       |       |      |      |      |      |      |
| nited |       |       |       |       |       |       |       |      |      |      |      |      |
| _Stat |       |       |       |       |       |       |       |      |      |      |      |      |
| es    |       |       |       |       |       |       |       |      |      |      |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Nebra | https | NE    | 1867  | Linco | 1867  | 74.60 | 258, | 302, | 2    | 71   | Omah |
| ://en | ska   | ://en |       |       | ln    |       | 0     | 379  | 157  |      |      | a is |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      | the  |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | stat |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | e's  |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | larg |
| List_ |       | Nebra |       |       |       |       |       |      |      |      |      | est  |
| of_ca |       | ska   |       |       |       |       |       |      |      |      |      | city |
| pital |       |       |       |       |       |       |       |      |      |      |      | . It |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | shar |
| the_U |       |       |       |       |       |       |       |      |      |      |      | es   |
| nited |       |       |       |       |       |       |       |      |      |      |      | the  |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | larg |
| es    |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | metr |
|       |       |       |       |       |       |       |       |      |      |      |      | o    |
|       |       |       |       |       |       |       |       |      |      |      |      | area |
|       |       |       |       |       |       |       |       |      |      |      |      | with |
|       |       |       |       |       |       |       |       |      |      |      |      | Coun |
|       |       |       |       |       |       |       |       |      |      |      |      | cil  |
|       |       |       |       |       |       |       |       |      |      |      |      | Bluf |
|       |       |       |       |       |       |       |       |      |      |      |      | fs,  |
|       |       |       |       |       |       |       |       |      |      |      |      | Iowa |
|       |       |       |       |       |       |       |       |      |      |      |      | .    |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Nevad | https | NV    | 1864  | Carso | 1861  | 143.4 | 55,2 |      | 6    |      | One  |
| ://en | a     | ://en |       |       | n     |       | 00    | 74   |      |      |      | of   |
| .wiki |       | .wiki |       |       | City  |       |       |      |      |      |      | two  |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | inde |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | pend |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | ent  |
| List_ |       | Nevad |       |       |       |       |       |      |      |      |      | citi |
| of_ca |       | a     |       |       |       |       |       |      |      |      |      | es   |
| pital |       |       |       |       |       |       |       |      |      |      |      | that |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | serv |
| the_U |       |       |       |       |       |       |       |      |      |      |      | es   |
| nited |       |       |       |       |       |       |       |      |      |      |      | as a |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | stat |
| es    |       |       |       |       |       |       |       |      |      |      |      | e ca |
|       |       |       |       |       |       |       |       |      |      |      |      | pita |
|       |       |       |       |       |       |       |       |      |      |      |      | l.   |
|       |       |       |       |       |       |       |       |      |      |      |      | Las  |
|       |       |       |       |       |       |       |       |      |      |      |      | Vega |
|       |       |       |       |       |       |       |       |      |      |      |      | s is |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | stat |
|       |       |       |       |       |       |       |       |      |      |      |      | e's  |
|       |       |       |       |       |       |       |       |      |      |      |      | larg |
|       |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | city |
|       |       |       |       |       |       |       |       |      |      |      |      | . It |
|       |       |       |       |       |       |       |       |      |      |      |      | shar |
|       |       |       |       |       |       |       |       |      |      |      |      | es   |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | larg |
|       |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | metr |
|       |       |       |       |       |       |       |       |      |      |      |      | o    |
|       |       |       |       |       |       |       |       |      |      |      |      | area |
|       |       |       |       |       |       |       |       |      |      |      |      | with |
|       |       |       |       |       |       |       |       |      |      |      |      | Para |
|       |       |       |       |       |       |       |       |      |      |      |      | dise |
|       |       |       |       |       |       |       |       |      |      |      |      | .    |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | New H | https | NH    | 1788  | Conco | 1808  | 64.30 | 42,6 |      | 3    |      | Manc |
| ://en | ampsh | ://en |       |       | rd    |       | 0     | 95   |      |      |      | hest |
| .wiki | ire   | .wiki |       |       |       |       |       |      |      |      |      | er   |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | is   |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | the  |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | stat |
| List_ |       | New_H |       |       |       |       |       |      |      |      |      | e's  |
| of_ca |       | ampsh |       |       |       |       |       |      |      |      |      | larg |
| pital |       | ire   |       |       |       |       |       |      |      |      |      | est  |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | city |
| the_U |       |       |       |       |       |       |       |      |      |      |      | .    |
| nited |       |       |       |       |       |       |       |      |      |      |      |      |
| _Stat |       |       |       |       |       |       |       |      |      |      |      |      |
| es    |       |       |       |       |       |       |       |      |      |      |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | New J | https | NJ    | 1787  | Trent | 1784  | 7.660 | 84,9 | 366, | 10   |      | Serv |
| ://en | ersey | ://en |       |       | on    |       |       | 13   | 513  |      |      | ed   |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      | as   |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | the  |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | U.S. |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | capi |
| List_ |       | New_J |       |       |       |       |       |      |      |      |      | tal  |
| of_ca |       | ersey |       |       |       |       |       |      |      |      |      | for  |
| pital |       |       |       |       |       |       |       |      |      |      |      | a sh |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | ort  |
| the_U |       |       |       |       |       |       |       |      |      |      |      | peri |
| nited |       |       |       |       |       |       |       |      |      |      |      | od   |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | in   |
| es    |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | late |
|       |       |       |       |       |       |       |       |      |      |      |      | 18th |
|       |       |       |       |       |       |       |       |      |      |      |      | cent |
|       |       |       |       |       |       |       |       |      |      |      |      | ury. |
|       |       |       |       |       |       |       |       |      |      |      |      | Newa |
|       |       |       |       |       |       |       |       |      |      |      |      | rk   |
|       |       |       |       |       |       |       |       |      |      |      |      | is   |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | stat |
|       |       |       |       |       |       |       |       |      |      |      |      | e's  |
|       |       |       |       |       |       |       |       |      |      |      |      | larg |
|       |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | city |
|       |       |       |       |       |       |       |       |      |      |      |      | , al |
|       |       |       |       |       |       |       |       |      |      |      |      | thou |
|       |       |       |       |       |       |       |       |      |      |      |      | gh T |
|       |       |       |       |       |       |       |       |      |      |      |      | rent |
|       |       |       |       |       |       |       |       |      |      |      |      | on   |
|       |       |       |       |       |       |       |       |      |      |      |      | is   |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | cent |
|       |       |       |       |       |       |       |       |      |      |      |      | er   |
|       |       |       |       |       |       |       |       |      |      |      |      | of   |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | larg |
|       |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | Metr |
|       |       |       |       |       |       |       |       |      |      |      |      | opol |
|       |       |       |       |       |       |       |       |      |      |      |      | itan |
|       |       |       |       |       |       |       |       |      |      |      |      | Stat |
|       |       |       |       |       |       |       |       |      |      |      |      | isti |
|       |       |       |       |       |       |       |       |      |      |      |      | cal  |
|       |       |       |       |       |       |       |       |      |      |      |      | Area |
|       |       |       |       |       |       |       |       |      |      |      |      | cent |
|       |       |       |       |       |       |       |       |      |      |      |      | ered |
|       |       |       |       |       |       |       |       |      |      |      |      | in   |
|       |       |       |       |       |       |       |       |      |      |      |      | New  |
|       |       |       |       |       |       |       |       |      |      |      |      | Jers |
|       |       |       |       |       |       |       |       |      |      |      |      | ey.  |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | New M | https | NM    | 1912  | Santa | 1610  | 37.30 | 75,7 | 183, | 4    |      | Long |
| ://en | exico | ://en |       |       | Fe    |       | 0     | 64   | 732  |      |      | est  |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      | serv |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | ing  |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | capi |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | tal  |
| List_ |       | New_M |       |       |       |       |       |      |      |      |      | in   |
| of_ca |       | exico |       |       |       |       |       |      |      |      |      | the  |
| pital |       |       |       |       |       |       |       |      |      |      |      | Unit |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | ed S |
| the_U |       |       |       |       |       |       |       |      |      |      |      | tate |
| nited |       |       |       |       |       |       |       |      |      |      |      | s. H |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | ighe |
| es    |       |       |       |       |       |       |       |      |      |      |      | st e |
|       |       |       |       |       |       |       |       |      |      |      |      | leva |
|       |       |       |       |       |       |       |       |      |      |      |      | tion |
|       |       |       |       |       |       |       |       |      |      |      |      | of   |
|       |       |       |       |       |       |       |       |      |      |      |      | any  |
|       |       |       |       |       |       |       |       |      |      |      |      | stat |
|       |       |       |       |       |       |       |       |      |      |      |      | e ca |
|       |       |       |       |       |       |       |       |      |      |      |      | pita |
|       |       |       |       |       |       |       |       |      |      |      |      | l. A |
|       |       |       |       |       |       |       |       |      |      |      |      | lbuq |
|       |       |       |       |       |       |       |       |      |      |      |      | uerq |
|       |       |       |       |       |       |       |       |      |      |      |      | ue   |
|       |       |       |       |       |       |       |       |      |      |      |      | is   |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | stat |
|       |       |       |       |       |       |       |       |      |      |      |      | e's  |
|       |       |       |       |       |       |       |       |      |      |      |      | larg |
|       |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | city |
|       |       |       |       |       |       |       |       |      |      |      |      | .    |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | New   | https | NY    | 1788  | Alban | 1797  | 21.40 | 97,8 | 857, | 6    |      | New  |
| ://en | York  | ://en |       |       | y     |       | 0     | 56   | 592  |      |      | York |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      | City |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | is   |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | the  |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | stat |
| List_ |       | New_Y |       |       |       |       |       |      |      |      |      | e's  |
| of_ca |       | ork_( |       |       |       |       |       |      |      |      |      | larg |
| pital |       | state |       |       |       |       |       |      |      |      |      | est  |
| s_in_ |       | )     |       |       |       |       |       |      |      |      |      | city |
| the_U |       |       |       |       |       |       |       |      |      |      |      | .    |
| nited |       |       |       |       |       |       |       |      |      |      |      |      |
| _Stat |       |       |       |       |       |       |       |      |      |      |      |      |
| es    |       |       |       |       |       |       |       |      |      |      |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | North | https | NC    | 1789  | Ralei | 1792  | 114.6 | 403, | 1,13 | 2    | 41   | Char |
| ://en | Carol | ://en |       |       | gh    |       | 00    | 892  | 0,49 |      |      | lott |
| .wiki | ina   | .wiki |       |       |       |       |       |      | 0    |      |      | e is |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | the  |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | stat |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | e's  |
| List_ |       | North |       |       |       |       |       |      |      |      |      | larg |
| of_ca |       | _Caro |       |       |       |       |       |      |      |      |      | est  |
| pital |       | lina  |       |       |       |       |       |      |      |      |      | city |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | .    |
| the_U |       |       |       |       |       |       |       |      |      |      |      |      |
| nited |       |       |       |       |       |       |       |      |      |      |      |      |
| _Stat |       |       |       |       |       |       |       |      |      |      |      |      |
| es    |       |       |       |       |       |       |       |      |      |      |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | North | https | ND    | 1889  | Bisma | 1883  | 26.90 | 61,2 | 108, | 2    |      | Farg |
| ://en | Dakot | ://en |       |       | rck   |       | 0     | 72   | 779  |      |      | o is |
| .wiki | a     | .wiki |       |       |       |       |       |      |      |      |      | the  |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | stat |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | e's  |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | larg |
| List_ |       | North |       |       |       |       |       |      |      |      |      | est  |
| of_ca |       | _Dako |       |       |       |       |       |      |      |      |      | city |
| pital |       | ta    |       |       |       |       |       |      |      |      |      | .    |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      |      |
| the_U |       |       |       |       |       |       |       |      |      |      |      |      |
| nited |       |       |       |       |       |       |       |      |      |      |      |      |
| _Stat |       |       |       |       |       |       |       |      |      |      |      |      |
| es    |       |       |       |       |       |       |       |      |      |      |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Ohio  | https | OH    | 1803  | Colum | 1816  | 210.3 | 822, | 1,96 | 1    | 14   | Thir |
| ://en |       | ://en |       |       | bus   |       | 00    | 553  | 7,06 |      |      | d-la |
| .wiki |       | .wiki |       |       |       |       |       |      | 6    |      |      | rges |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | t st |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | ate  |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | capi |
| List_ |       | Ohio  |       |       |       |       |       |      |      |      |      | tal; |
| of_ca |       |       |       |       |       |       |       |      |      |      |      | howe |
| pital |       |       |       |       |       |       |       |      |      |      |      | ver, |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | the  |
| the_U |       |       |       |       |       |       |       |      |      |      |      | Cinc |
| nited |       |       |       |       |       |       |       |      |      |      |      | inna |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | ti   |
| es    |       |       |       |       |       |       |       |      |      |      |      | and  |
|       |       |       |       |       |       |       |       |      |      |      |      | Clev |
|       |       |       |       |       |       |       |       |      |      |      |      | elan |
|       |       |       |       |       |       |       |       |      |      |      |      | d me |
|       |       |       |       |       |       |       |       |      |      |      |      | trop |
|       |       |       |       |       |       |       |       |      |      |      |      | olit |
|       |       |       |       |       |       |       |       |      |      |      |      | an a |
|       |       |       |       |       |       |       |       |      |      |      |      | reas |
|       |       |       |       |       |       |       |       |      |      |      |      | are  |
|       |       |       |       |       |       |       |       |      |      |      |      | both |
|       |       |       |       |       |       |       |       |      |      |      |      | slig |
|       |       |       |       |       |       |       |       |      |      |      |      | htly |
|       |       |       |       |       |       |       |       |      |      |      |      | larg |
|       |       |       |       |       |       |       |       |      |      |      |      | er,  |
|       |       |       |       |       |       |       |       |      |      |      |      | and  |
|       |       |       |       |       |       |       |       |      |      |      |      | Clev |
|       |       |       |       |       |       |       |       |      |      |      |      | elan |
|       |       |       |       |       |       |       |       |      |      |      |      | d    |
|       |       |       |       |       |       |       |       |      |      |      |      | was  |
|       |       |       |       |       |       |       |       |      |      |      |      | prev |
|       |       |       |       |       |       |       |       |      |      |      |      | ious |
|       |       |       |       |       |       |       |       |      |      |      |      | ly   |
